File_Name,File_Description,Standard,Start_Date,End_Date,Missing_Value_Codes,File_Path
CRC_TR_2022_gw-salinity_L2_v2-1.parquet,Year 2022 sensor data for TR plot at CRC site,,2022-01-01,2022-12-31,'NA',CRC_2022
CRC_TR_2022_gw-salinity_L2_v2-1.pdf,Plots of Jan 2022 sensor data for CRC-TR,,2022-01-01,2022-12-31,,CRC_2022
CRC_TR_2022_gw-spec-cond_L2_v2-1.parquet,Year 2022 sensor data for TR plot at CRC site,,2022-01-01,2022-12-31,'NA',CRC_2022
CRC_TR_2022_gw-spec-cond_L2_v2-1.pdf,Plots of Jan 2022 sensor data for CRC-TR,,2022-01-01,2022-12-31,,CRC_2022
CRC_TR_2022_gw-tds_L2_v2-1.parquet,Year 2022 sensor data for TR plot at CRC site,,2022-01-01,2022-12-31,'NA',CRC_2022
CRC_TR_2022_gw-tds_L2_v2-1.pdf,Plots of Jan 2022 sensor data for CRC-TR,,2022-01-01,2022-12-31,,CRC_2022
CRC_TR_2022_gw-temperature_L2_v2-1.parquet,Year 2022 sensor data for TR plot at CRC site,,2022-01-01,2022-12-31,'NA',CRC_2022
CRC_TR_2022_gw-temperature_L2_v2-1.pdf,Plots of Jan 2022 sensor data for CRC-TR,,2022-01-01,2022-12-31,,CRC_2022
CRC_TR_2022_gw-voltage-ext_L2_v2-1.parquet,Year 2022 sensor data for TR plot at CRC site,,2022-01-01,2022-12-31,'NA',CRC_2022
CRC_TR_2022_gw-voltage-ext_L2_v2-1.pdf,Plots of Jan 2022 sensor data for CRC-TR,,2022-01-01,2022-12-31,,CRC_2022
CRC_TR_2022_gw-wl-below-surface_L2_v2-1.parquet,Year 2022 sensor data for TR plot at CRC site,,2022-01-01,2022-12-31,'NA',CRC_2022
CRC_TR_2022_gw-wl-below-surface_L2_v2-1.pdf,Plots of Jan 2022 sensor data for CRC-TR,,2022-01-01,2022-12-31,,CRC_2022
CRC_TR_2022_sapflow-3.5cm_L2_v2-1.parquet,Year 2022 sensor data for TR plot at CRC site,,2022-01-01,2022-12-31,'NA',CRC_2022
