time,IC
1,0.19
2,0.42
4,0.61
7,0.76
10,0.86
15,1.08
31,1.82
45,2.24
60,2.48
90,2.81
120,3.19
150,3.44
210,3.77
270,4.08
365,4.51
1,0.13
2,0.38
4,0.59
7,0.68
10,0.79
15,0.99
31,1.57
45,1.95
60,2.27
90,2.53
120,2.83
150,3.15
210,3.43
270,3.8
365,4.59
1,0.08
2,0.76
4,0.94
7,1.15
10,1.38
15,1.62
31,2.03
45,2.47
60,2.92
90,3.29
120,3.61
150,3.84
210,4.14
270,4.51
365,4.89
