        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	
  0.0000e+00	  6.9509e+00	  3.0002e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  6.9509e+00	  3.0002e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  6.6908e+00	  2.7553e-04	  1.3631e-05	  2.7052e-06	  1.0546e-05	  2.9710e-04	  7.7224e+02	  4.3826e-01	  8.3534e-01	  9.3852e-01	  9.9951e-01	  4.4952e+00	  1.7780e+01	  9.6818e-05	  5.6937e-03	  4.8839e-01	  5.2407e-02	  5.2407e-02	  1.4404e-01	  2.3236e+01	  2.1679e-02	  1.0000e-03	  1.0002e+00	  1.0000e+00	
  2.0000e+00	  6.6424e+00	  2.7910e-04	  6.9135e-05	  2.7067e-06	  2.2396e-05	  5.9201e-04	  1.1890e+03	  3.6283e-01	  7.6792e-01	  9.0951e-01	  9.9896e-01	  4.2892e+00	  1.7886e+01	  1.2971e-04	  5.3508e-03	  5.0555e-01	  5.2836e-02	  5.2836e-02	  2.1021e-01	  2.3170e+01	  2.9977e-02	  1.0000e-03	  1.0006e+00	  1.0000e+00	
  3.0000e+00	  6.6310e+00	  2.8263e-04	  1.6611e-04	  2.7080e-06	  3.5497e-05	  9.3087e-04	  1.5446e+03	  3.1995e-01	  7.1860e-01	  8.8638e-01	  9.9836e-01	  4.0915e+00	  1.7988e+01	  1.6055e-04	  5.0367e-03	  5.2010e-01	  5.3280e-02	  5.3280e-02	  2.7597e-01	  2.3104e+01	  3.7486e-02	  1.0000e-03	  1.0012e+00	  1.0000e+00	
  4.0000e+00	  6.6329e+00	  2.8613e-04	  2.7999e-04	  2.7092e-06	  4.8932e-05	  1.2975e-03	  1.8675e+03	  2.9059e-01	  6.7908e-01	  8.6651e-01	  9.9772e-01	  3.9018e+00	  1.8087e+01	  1.8955e-04	  4.7554e-03	  5.3212e-01	  5.3736e-02	  5.3736e-02	  3.4075e-01	  2.3039e+01	  4.4566e-02	  1.0000e-03	  1.0019e+00	  1.0000e+00	
  5.0000e+00	  6.6402e+00	  2.8959e-04	  4.0523e-04	  2.7103e-06	  6.2228e-05	  1.6816e-03	  2.1696e+03	  2.6856e-01	  6.4589e-01	  8.4879e-01	  9.9703e-01	  3.7197e+00	  1.8182e+01	  2.1690e-04	  4.5047e-03	  5.4175e-01	  5.4202e-02	  5.4202e-02	  4.0421e-01	  2.2976e+01	  5.1416e-02	  1.0000e-03	  1.0026e+00	  1.0000e+00	
  6.0000e+00	  6.6497e+00	  2.9302e-04	  5.3827e-04	  2.7114e-06	  7.5179e-05	  2.0759e-03	  2.4571e+03	  2.5111e-01	  6.1724e-01	  8.3267e-01	  9.9632e-01	  3.5450e+00	  1.8274e+01	  2.4277e-04	  4.2812e-03	  5.4920e-01	  5.4675e-02	  5.4675e-02	  4.6616e-01	  2.2914e+01	  5.8144e-02	  1.0000e-03	  1.0034e+00	  1.0000e+00	
  7.0000e+00	  6.6595e+00	  2.9641e-04	  6.7653e-04	  2.7124e-06	  8.7713e-05	  2.4754e-03	  2.7332e+03	  2.3678e-01	  5.9203e-01	  8.1780e-01	  9.9556e-01	  3.3773e+00	  1.8362e+01	  2.6733e-04	  4.0811e-03	  5.5468e-01	  5.5155e-02	  5.5155e-02	  5.2646e-01	  2.2854e+01	  6.4808e-02	  1.0000e-03	  1.0043e+00	  1.0000e+00	
  8.0000e+00	  6.6689e+00	  2.9977e-04	  8.1807e-04	  2.7135e-06	  9.9821e-05	  2.8766e-03	  3.0002e+03	  2.2471e-01	  5.6957e-01	  8.0396e-01	  9.9478e-01	  3.2165e+00	  1.8446e+01	  2.9069e-04	  3.9011e-03	  5.5839e-01	  5.5638e-02	  5.5638e-02	  5.8506e-01	  2.2795e+01	  7.1431e-02	  1.0000e-03	  1.0051e+00	  1.0000e+00	
