        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	
  0.0000e+00	  6.9509e+00	  3.0002e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  6.9509e+00	  3.0002e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  6.6963e+00	  2.7554e-04	  2.9349e-05	  2.7055e-06	  1.3073e-05	  3.7226e-04	  7.7357e+02	  4.3795e-01	  8.3510e-01	  9.3843e-01	  9.9951e-01	  4.4952e+00	  1.7780e+01	  9.7282e-05	  5.8277e-03	  4.8909e-01	  5.2408e-02	  5.2408e-02	  1.4632e-01	  2.3234e+01	  2.0118e-02	  1.0000e-03	  1.0003e+00	  1.0000e+00	
  2.0000e+00	  6.6659e+00	  2.7910e-04	  1.5826e-04	  2.7070e-06	  2.9681e-05	  8.1535e-04	  1.1579e+03	  3.6732e-01	  7.7257e-01	  9.1160e-01	  9.9901e-01	  4.2893e+00	  1.7886e+01	  1.3113e-04	  5.5310e-03	  5.0776e-01	  5.2838e-02	  5.2838e-02	  2.1753e-01	  2.3162e+01	  2.5104e-02	  1.0000e-03	  1.0011e+00	  1.0000e+00	
  3.0000e+00	  6.6681e+00	  2.8264e-04	  3.3432e-04	  2.7083e-06	  4.8092e-05	  1.3386e-03	  1.4774e+03	  3.2705e-01	  7.2742e-01	  8.9064e-01	  9.9848e-01	  4.0917e+00	  1.7988e+01	  1.6312e-04	  5.2335e-03	  5.2415e-01	  5.3284e-02	  5.3284e-02	  2.8986e-01	  2.3090e+01	  2.8351e-02	  1.0000e-03	  1.0021e+00	  1.0000e+00	
  4.0000e+00	  6.6801e+00	  2.8614e-04	  5.3855e-04	  2.7095e-06	  6.6812e-05	  1.9116e-03	  1.7652e+03	  2.9914e-01	  6.9111e-01	  8.7269e-01	  9.9793e-01	  3.9022e+00	  1.8087e+01	  1.9331e-04	  4.9567e-03	  5.3811e-01	  5.3745e-02	  5.3745e-02	  3.6221e-01	  2.3018e+01	  3.0568e-02	  1.0000e-03	  1.0033e+00	  1.0000e+00	
  5.0000e+00	  6.6944e+00	  2.8960e-04	  7.6237e-04	  2.7106e-06	  8.5280e-05	  2.5155e-03	  2.0339e+03	  2.7792e-01	  6.6039e-01	  8.5665e-01	  9.9735e-01	  3.7204e+00	  1.8182e+01	  2.2185e-04	  4.7056e-03	  5.4969e-01	  5.4218e-02	  5.4218e-02	  4.3397e-01	  2.2946e+01	  3.2144e-02	  1.0000e-03	  1.0046e+00	  1.0000e+00	
  6.0000e+00	  6.7081e+00	  2.9303e-04	  9.9988e-04	  2.7116e-06	  1.0334e-04	  3.1383e-03	  2.2895e+03	  2.6092e-01	  6.3362e-01	  8.4198e-01	  9.9674e-01	  3.5460e+00	  1.8274e+01	  2.4891e-04	  4.4797e-03	  5.5904e-01	  5.4700e-02	  5.4700e-02	  5.0476e-01	  2.2875e+01	  3.3309e-02	  1.0000e-03	  1.0061e+00	  1.0000e+00	
  7.0000e+00	  6.7202e+00	  2.9643e-04	  1.2469e-03	  2.7127e-06	  1.2100e-04	  3.7720e-03	  2.5354e+03	  2.4683e-01	  6.0987e-01	  8.2839e-01	  9.9611e-01	  3.3788e+00	  1.8362e+01	  2.7463e-04	  4.2768e-03	  5.6632e-01	  5.5190e-02	  5.5190e-02	  5.7434e-01	  2.2806e+01	  3.4196e-02	  1.0000e-03	  1.0075e+00	  1.0000e+00	
  8.0000e+00	  6.7305e+00	  2.9979e-04	  1.5004e-03	  2.7137e-06	  1.3829e-04	  4.4114e-03	  2.7733e+03	  2.3487e-01	  5.8855e-01	  8.1569e-01	  9.9545e-01	  3.2185e+00	  1.8447e+01	  2.9915e-04	  4.0941e-03	  5.7173e-01	  5.5686e-02	  5.5686e-02	  6.4256e-01	  2.2737e+01	  3.4886e-02	  1.0000e-03	  1.0091e+00	  1.0000e+00	
