        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	
  0.0000e+00	  6.9509e+00	  3.0002e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  6.9509e+00	  3.0002e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  6.6246e+00	  1.6965e-08	  9.9591e-06	  2.7056e-06	  2.6133e-05	  6.6520e-04	  8.3445e+02	  4.2440e-01	  8.2451e-01	  9.3405e-01	  9.9944e-01	  4.4956e+00	  1.7780e+01	  1.0114e-04	  5.3846e-03	  4.9901e-01	  5.2416e-02	  5.2416e-02	  1.5959e-01	  2.3220e+01	  8.8726e-03	  7.4416e-03	  1.0000e+00	  1.0000e+00	  1.5727e-02	  4.8836e-05	  0.0000e+00	
  2.0000e+00	  6.5703e+00	  1.3722e-08	  1.3617e-05	  2.7072e-06	  3.1933e-05	  7.5807e-04	  1.2542e+03	  3.5388e-01	  7.5837e-01	  9.0516e-01	  9.9886e-01	  4.2900e+00	  1.7886e+01	  1.3206e-04	  5.0173e-03	  5.1321e-01	  5.2854e-02	  5.2854e-02	  2.1973e-01	  2.3160e+01	  2.1444e-02	  7.4451e-03	  1.0000e+00	  1.0000e+00	  1.5756e-02	  3.5244e-04	  0.0000e+00	
  3.0000e+00	  6.5428e+00	  1.4462e-08	  1.7204e-05	  2.7086e-06	  3.7999e-05	  8.7394e-04	  1.6080e+03	  3.1360e-01	  7.1047e-01	  8.8239e-01	  9.9824e-01	  4.0925e+00	  1.7989e+01	  1.6093e-04	  4.7129e-03	  5.2458e-01	  5.3303e-02	  5.3303e-02	  2.7787e-01	  2.3102e+01	  3.4191e-02	  7.4484e-03	  1.0001e+00	  1.0000e+00	  1.5797e-02	  1.0486e-03	  0.0000e+00	
  4.0000e+00	  6.5274e+00	  1.5318e-08	  2.2395e-05	  2.7099e-06	  4.4444e-05	  1.0068e-03	  1.9242e+03	  2.8611e-01	  6.7259e-01	  8.6312e-01	  9.9760e-01	  3.9027e+00	  1.8087e+01	  1.8805e-04	  4.4549e-03	  5.3350e-01	  5.3762e-02	  5.3762e-02	  3.3423e-01	  2.3046e+01	  4.6950e-02	  7.4517e-03	  1.0002e+00	  1.0000e+00	  1.5849e-02	  2.1898e-03	  0.0000e+00	
  5.0000e+00	  6.5195e+00	  1.6124e-08	  3.2199e-05	  2.7111e-06	  5.1254e-05	  1.1550e-03	  2.2152e+03	  2.6559e-01	  6.4117e-01	  8.4619e-01	  9.9693e-01	  3.7205e+00	  1.8182e+01	  2.1368e-04	  4.2324e-03	  5.4027e-01	  5.4228e-02	  5.4228e-02	  3.8894e-01	  2.2991e+01	  5.9607e-02	  7.4550e-03	  1.0003e+00	  1.0000e+00	  1.5909e-02	  3.7918e-03	  0.0000e+00	
  6.0000e+00	  6.5178e+00	  1.6850e-08	  5.2085e-05	  2.7122e-06	  5.8304e-05	  1.3176e-03	  2.4881e+03	  2.4939e-01	  6.1430e-01	  8.3097e-01	  9.9623e-01	  3.5455e+00	  1.8274e+01	  2.3802e-04	  4.0379e-03	  5.4517e-01	  5.4699e-02	  5.4699e-02	  4.4211e-01	  2.2938e+01	  7.2071e-02	  7.4582e-03	  1.0005e+00	  1.0000e+00	  1.5976e-02	  5.8493e-03	  0.0000e+00	
  7.0000e+00	  6.5209e+00	  1.7500e-08	  8.3938e-05	  2.7133e-06	  6.5474e-05	  1.4938e-03	  2.7472e+03	  2.3611e-01	  5.9082e-01	  8.1706e-01	  9.9552e-01	  3.3775e+00	  1.8362e+01	  2.6121e-04	  3.8655e-03	  5.4843e-01	  5.5174e-02	  5.5174e-02	  4.9381e-01	  2.2886e+01	  8.4278e-02	  7.4614e-03	  1.0007e+00	  1.0000e+00	  1.6049e-02	  8.3444e-03	  0.0000e+00	
  8.0000e+00	  6.5271e+00	  1.8084e-08	  1.2458e-04	  2.7143e-06	  7.2731e-05	  1.6821e-03	  2.9952e+03	  2.2493e-01	  5.6998e-01	  8.0422e-01	  9.9480e-01	  3.2163e+00	  1.8447e+01	  2.8337e-04	  3.7111e-03	  5.5027e-01	  5.5650e-02	  5.5650e-02	  5.4409e-01	  2.2836e+01	  9.6176e-02	  7.4646e-03	  1.0010e+00	  1.0000e+00	  1.6127e-02	  1.1253e-02	  0.0000e+00	
