        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	
  0.0000e+00	  6.9509e+00	  3.0002e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  6.9509e+00	  3.0002e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  6.6946e+00	  2.7554e-04	  2.5100e-05	  2.7052e-06	  1.2855e-05	  3.6422e-04	  7.5896e+02	  4.4138e-01	  8.3769e-01	  9.3948e-01	  9.9953e-01	  4.4952e+00	  1.7780e+01	  9.7232e-05	  5.8012e-03	  4.8902e-01	  5.2408e-02	  5.2408e-02	  1.4607e-01	  2.3234e+01	  2.0297e-02	  1.0000e-03	  1.0003e+00	  1.0000e+00	
  2.0000e+00	  6.6569e+00	  2.7910e-04	  1.3572e-04	  2.7066e-06	  2.8080e-05	  7.5885e-04	  1.1668e+03	  3.6601e-01	  7.7122e-01	  9.1100e-01	  9.9900e-01	  4.2893e+00	  1.7886e+01	  1.3078e-04	  5.4586e-03	  5.0721e-01	  5.2837e-02	  5.2837e-02	  2.1574e-01	  2.3164e+01	  2.6310e-02	  1.0000e-03	  1.0010e+00	  1.0000e+00	
  3.0000e+00	  6.6513e+00	  2.8263e-04	  2.7489e-04	  2.7079e-06	  4.4079e-05	  1.1926e-03	  1.5183e+03	  3.2269e-01	  7.2203e-01	  8.8804e-01	  9.9841e-01	  4.0917e+00	  1.7988e+01	  1.6222e-04	  5.1246e-03	  5.2271e-01	  5.3283e-02	  5.3283e-02	  2.8505e-01	  2.3095e+01	  3.1541e-02	  1.0000e-03	  1.0018e+00	  1.0000e+00	
  4.0000e+00	  6.6562e+00	  2.8613e-04	  4.2639e-04	  2.7090e-06	  5.9703e-05	  1.6419e-03	  1.8405e+03	  2.9279e-01	  6.8221e-01	  8.6813e-01	  9.9777e-01	  3.9020e+00	  1.8087e+01	  1.9168e-04	  4.8216e-03	  5.3546e-01	  5.3742e-02	  5.3742e-02	  3.5306e-01	  2.3027e+01	  3.6586e-02	  1.0000e-03	  1.0027e+00	  1.0000e+00	
  5.0000e+00	  6.6646e+00	  2.8959e-04	  5.8420e-04	  2.7102e-06	  7.4600e-05	  2.0952e-03	  2.1440e+03	  2.7027e-01	  6.4858e-01	  8.5026e-01	  9.9710e-01	  3.7201e+00	  1.8182e+01	  2.1936e-04	  4.5523e-03	  5.4562e-01	  5.4211e-02	  5.4211e-02	  4.1933e-01	  2.2961e+01	  4.1699e-02	  1.0000e-03	  1.0036e+00	  1.0000e+00	
  6.0000e+00	  6.6737e+00	  2.9302e-04	  7.4485e-04	  2.7112e-06	  8.8724e-05	  2.5463e-03	  2.4339e+03	  2.5241e-01	  6.1945e-01	  8.3394e-01	  9.9638e-01	  3.5455e+00	  1.8274e+01	  2.4546e-04	  4.3138e-03	  5.5340e-01	  5.4689e-02	  5.4689e-02	  4.8368e-01	  2.2896e+01	  4.6982e-02	  1.0000e-03	  1.0046e+00	  1.0000e+00	
  7.0000e+00	  6.6825e+00	  2.9641e-04	  9.0617e-04	  2.7123e-06	  1.0213e-04	  2.9918e-03	  2.7130e+03	  2.3776e-01	  5.9381e-01	  8.1887e-01	  9.9562e-01	  3.3781e+00	  1.8362e+01	  2.7017e-04	  4.1023e-03	  5.5904e-01	  5.5173e-02	  5.5173e-02	  5.4601e-01	  2.2834e+01	  5.2462e-02	  1.0000e-03	  1.0056e+00	  1.0000e+00	
  8.0000e+00	  6.6905e+00	  2.9977e-04	  1.0668e-03	  2.7133e-06	  1.1489e-04	  3.4301e-03	  2.9829e+03	  2.2545e-01	  5.7097e-01	  8.0484e-01	  9.9483e-01	  3.2174e+00	  1.8447e+01	  2.9363e-04	  3.9139e-03	  5.6280e-01	  5.5660e-02	  5.5660e-02	  6.0630e-01	  2.2774e+01	  5.8124e-02	  1.0000e-03	  1.0066e+00	  1.0000e+00	
