        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	
  0.0000e+00	  6.9509e+00	  3.0002e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  6.9509e+00	  3.0002e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  6.6934e+00	  2.7553e-04	  2.0205e-05	  2.7054e-06	  1.1862e-05	  3.3591e-04	  7.7248e+02	  4.3821e-01	  8.3529e-01	  9.3850e-01	  9.9951e-01	  4.4952e+00	  1.7780e+01	  9.7058e-05	  5.7637e-03	  4.8875e-01	  5.2408e-02	  5.2408e-02	  1.4522e-01	  2.3235e+01	  2.0871e-02	  1.0000e-03	  1.0003e+00	  1.0000e+00	
  2.0000e+00	  6.6549e+00	  2.7910e-04	  1.1547e-04	  2.7068e-06	  2.6273e-05	  7.0867e-04	  1.1721e+03	  3.6525e-01	  7.7044e-01	  9.1064e-01	  9.9899e-01	  4.2893e+00	  1.7886e+01	  1.3046e-04	  5.4472e-03	  5.0671e-01	  5.2837e-02	  5.2837e-02	  2.1405e-01	  2.3166e+01	  2.7419e-02	  1.0000e-03	  1.0009e+00	  1.0000e+00	
  3.0000e+00	  6.6511e+00	  2.8263e-04	  2.5485e-04	  2.7081e-06	  4.2321e-05	  1.1460e-03	  1.5086e+03	  3.2370e-01	  7.2329e-01	  8.8866e-01	  9.9843e-01	  4.0916e+00	  1.7988e+01	  1.6192e-04	  5.1442e-03	  5.2225e-01	  5.3282e-02	  5.3282e-02	  2.8334e-01	  2.3097e+01	  3.2634e-02	  1.0000e-03	  1.0017e+00	  1.0000e+00	
  4.0000e+00	  6.6591e+00	  2.8613e-04	  4.1770e-04	  2.7093e-06	  5.8757e-05	  1.6245e-03	  1.8130e+03	  2.9506e-01	  6.8543e-01	  8.6979e-01	  9.9783e-01	  3.9020e+00	  1.8087e+01	  1.9157e-04	  4.8673e-03	  5.3534e-01	  5.3741e-02	  5.3741e-02	  3.5226e-01	  2.3028e+01	  3.7055e-02	  1.0000e-03	  1.0026e+00	  1.0000e+00	
  5.0000e+00	  6.6709e+00	  2.8960e-04	  5.9709e-04	  2.7104e-06	  7.5028e-05	  2.1294e-03	  2.0977e+03	  2.7342e-01	  6.5349e-01	  8.5294e-01	  9.9720e-01	  3.7201e+00	  1.8182e+01	  2.1959e-04	  4.6182e-03	  5.4606e-01	  5.4210e-02	  5.4210e-02	  4.2031e-01	  2.2960e+01	  4.0983e-02	  1.0000e-03	  1.0037e+00	  1.0000e+00	
  6.0000e+00	  6.6832e+00	  2.9303e-04	  7.8819e-04	  2.7115e-06	  9.0939e-05	  2.6509e-03	  2.3687e+03	  2.5617e-01	  6.2577e-01	  8.3755e-01	  9.9654e-01	  3.5455e+00	  1.8274e+01	  2.4614e-04	  4.3949e-03	  5.5459e-01	  5.4689e-02	  5.4689e-02	  4.8721e-01	  2.2893e+01	  4.4593e-02	  1.0000e-03	  1.0049e+00	  1.0000e+00	
  7.0000e+00	  6.6949e+00	  2.9642e-04	  9.8749e-04	  2.7125e-06	  1.0644e-04	  3.1820e-03	  2.6294e+03	  2.4193e-01	  6.0126e-01	  8.2332e-01	  9.9585e-01	  3.3781e+00	  1.8362e+01	  2.7137e-04	  4.1944e-03	  5.6110e-01	  5.5174e-02	  5.5174e-02	  5.5275e-01	  2.2827e+01	  4.7990e-02	  1.0000e-03	  1.0061e+00	  1.0000e+00	
  8.0000e+00	  6.7053e+00	  2.9978e-04	  1.1923e-03	  2.7135e-06	  1.2156e-04	  3.7180e-03	  2.8816e+03	  2.2988e-01	  5.7933e-01	  8.1004e-01	  9.9514e-01	  3.2176e+00	  1.8447e+01	  2.9540e-04	  4.0137e-03	  5.6580e-01	  5.5664e-02	  5.5664e-02	  6.1681e-01	  2.2763e+01	  5.1233e-02	  1.0000e-03	  1.0073e+00	  1.0000e+00	
