        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	
  0.0000e+00	  6.9509e+00	  3.0002e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  6.9509e+00	  3.0002e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  6.6242e+00	  1.4446e-08	  8.7418e-06	  2.7055e-06	  2.6178e-05	  6.6530e-04	  8.2854e+02	  4.2566e-01	  8.2553e-01	  9.3447e-01	  9.9945e-01	  4.4956e+00	  1.7780e+01	  1.0113e-04	  5.3824e-03	  4.9901e-01	  5.2416e-02	  5.2416e-02	  1.5956e-01	  2.3220e+01	  8.8907e-03	  7.4417e-03	  1.0000e+00	  1.0000e+00	  1.5724e-02	  3.2859e-05	  0.0000e+00	
  2.0000e+00	  6.5682e+00	  1.1547e-08	  1.1912e-05	  2.7070e-06	  3.1872e-05	  7.5365e-04	  1.2582e+03	  3.5335e-01	  7.5779e-01	  9.0490e-01	  9.9886e-01	  4.2900e+00	  1.7886e+01	  1.3203e-04	  5.0097e-03	  5.1315e-01	  5.2854e-02	  5.2854e-02	  2.1955e-01	  2.3160e+01	  2.1564e-02	  7.4451e-03	  1.0000e+00	  1.0000e+00	  1.5749e-02	  2.3663e-04	  0.0000e+00	
  3.0000e+00	  6.5394e+00	  1.2067e-08	  1.4638e-05	  2.7084e-06	  3.7633e-05	  8.6068e-04	  1.6253e+03	  3.1192e-01	  7.0829e-01	  8.8131e-01	  9.9821e-01	  4.0925e+00	  1.7989e+01	  1.6083e-04	  4.6995e-03	  5.2442e-01	  5.3303e-02	  5.3303e-02	  2.7736e-01	  2.3103e+01	  3.4539e-02	  7.4484e-03	  1.0001e+00	  1.0000e+00	  1.5784e-02	  7.0380e-04	  0.0000e+00	
  4.0000e+00	  6.5228e+00	  1.2730e-08	  1.7902e-05	  2.7097e-06	  4.3565e-05	  9.7985e-04	  1.9563e+03	  2.8365e-01	  6.6897e-01	  8.6121e-01	  9.9752e-01	  3.9027e+00	  1.8087e+01	  1.8786e-04	  4.4358e-03	  5.3318e-01	  5.3762e-02	  5.3762e-02	  3.3315e-01	  2.3047e+01	  4.7666e-02	  7.4518e-03	  1.0001e+00	  1.0000e+00	  1.5827e-02	  1.4702e-03	  0.0000e+00	
  5.0000e+00	  6.5133e+00	  1.3370e-08	  2.2819e-05	  2.7108e-06	  4.9685e-05	  1.1093e-03	  2.2628e+03	  2.6258e-01	  6.3632e-01	  8.4349e-01	  9.9681e-01	  3.7205e+00	  1.8182e+01	  2.1336e-04	  4.2082e-03	  5.3974e-01	  5.4227e-02	  5.4227e-02	  3.8708e-01	  2.2993e+01	  6.0831e-02	  7.4550e-03	  1.0002e+00	  1.0000e+00	  1.5877e-02	  2.5471e-03	  0.0000e+00	
  6.0000e+00	  6.5087e+00	  1.3957e-08	  3.1553e-05	  2.7119e-06	  5.5954e-05	  1.2480e-03	  2.5513e+03	  2.4598e-01	  6.0840e-01	  8.2753e-01	  9.9607e-01	  3.5454e+00	  1.8274e+01	  2.3754e-04	  4.0091e-03	  5.4437e-01	  5.4698e-02	  5.4698e-02	  4.3925e-01	  2.2941e+01	  7.3940e-02	  7.4583e-03	  1.0003e+00	  1.0000e+00	  1.5932e-02	  3.9317e-03	  0.0000e+00	
  7.0000e+00	  6.5084e+00	  1.4488e-08	  4.7377e-05	  2.7130e-06	  6.2282e-05	  1.3955e-03	  2.8260e+03	  2.3241e-01	  5.8403e-01	  8.1293e-01	  9.9530e-01	  3.3774e+00	  1.8362e+01	  2.6054e-04	  3.8328e-03	  5.4734e-01	  5.5171e-02	  5.5171e-02	  4.8975e-01	  2.2890e+01	  8.6917e-02	  7.4615e-03	  1.0005e+00	  1.0000e+00	  1.5993e-02	  5.6126e-03	  0.0000e+00	
  8.0000e+00	  6.5114e+00	  1.4966e-08	  7.1230e-05	  2.7140e-06	  6.8596e-05	  1.5509e-03	  3.0896e+03	  2.2100e-01	  5.6243e-01	  7.9944e-01	  9.9451e-01	  3.2161e+00	  1.8447e+01	  2.8250e-04	  3.6747e-03	  5.4886e-01	  5.5646e-02	  5.5646e-02	  5.3863e-01	  2.2841e+01	  9.9703e-02	  7.4646e-03	  1.0006e+00	  1.0000e+00	  1.6058e-02	  7.5737e-03	  0.0000e+00	
