time,IC
1,0.01
2,0.0192
4,0.0308
7,0.0408
10,0.0642
15,0.08
31,0.1375
45,0.1775
60,0.205
90,0.23
120,0.2558
150,0.2608
210,0.29
270,0.3133
365,0.3242
1,0.0225
2,0.0333
4,0.05
7,0.0592
10,0.0767
15,0.0842
31,0.1275
45,0.15
60,0.17
90,0.1858
120,0.2125
150,0.22
210,0.2483
270,0.275
365,0.3033
1,0.0167
2,0.0258
4,0.0417
7,0.0508
10,0.0692
15,0.085
31,0.1508
45,0.1767
60,0.1983
90,0.2242
120,0.2408
150,0.2467
210,0.2692
270,0.2892
365,0.2992
