          pe	        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	         FeS	      Pyrite	
           4	  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
           4	  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
    -6.68534	  1.0000e+00	  6.6789e+00	  8.0749e-05	  7.2312e-06	  1.4319e-05	  8.6100e-05	  2.6429e-04	  7.8566e+02	  4.3517e-01	  8.3298e-01	  9.3755e-01	  9.9950e-01	  4.5659e+00	  1.5974e+01	  1.7585e+00	  1.9943e-01	  6.2845e-01	  5.2524e-02	  5.2524e-02	  1.9401e-01	  2.3290e+01	  6.7794e-02	  1.0008e+00	  1.0000e+00	  1.0000e+00	  1.9022e-03	  2.4125e-06	  0.0000e+00	  3.2097e-04	  6.4099e-05	  9.8175e-04	  4.3614e-04	  8.7358e-05	  1.9665e-03	  1.8889e-04	  8.4445e-05	  2.6429e-04	  0.0000e+00	  1.4130e-03	
     -6.7512	  2.0000e+00	  6.6010e+00	  8.0699e-05	  9.3754e-06	  1.4324e-05	  1.7863e-04	  4.9225e-04	  1.2441e+03	  3.5523e-01	  7.5983e-01	  9.0583e-01	  9.9888e-01	  4.4252e+00	  1.6047e+01	  1.7531e+00	  6.9842e-02	  6.9137e-01	  5.3136e-02	  5.3136e-02	  3.3866e-01	  2.3145e+01	  9.1144e-02	  1.0026e+00	  1.0000e+00	  1.0000e+00	  6.2689e-03	  1.7167e-05	  0.0000e+00	  4.7953e-04	  8.1469e-05	  1.5521e-03	  6.9209e-04	  6.9997e-05	  3.3166e-03	  3.0235e-04	  1.0438e-04	  4.9225e-04	  0.0000e+00	  1.3838e-03	
    -6.78501	  3.0000e+00	  6.5507e+00	  8.0655e-05	  1.1031e-05	  1.4329e-05	  2.8226e-04	  7.2862e-04	  1.6410e+03	  3.1042e-01	  7.0632e-01	  8.8034e-01	  9.9818e-01	  4.2874e+00	  1.6119e+01	  1.7489e+00	  4.0126e-02	  7.1901e-01	  5.3789e-02	  5.3789e-02	  4.3851e-01	  2.3045e+01	  9.9437e-02	  1.0048e+00	  1.0000e+00	  1.0000e+00	  1.1647e-02	  4.7993e-05	  0.0000e+00	  6.3840e-04	  9.5200e-05	  2.0575e-03	  9.2064e-04	  6.2861e-05	  4.5043e-03	  3.9675e-04	  1.1873e-04	  7.2862e-04	  0.0000e+00	  1.3650e-03	
    -6.80647	  4.0000e+00	  6.5125e+00	  8.0613e-05	  1.2486e-05	  1.4333e-05	  3.9212e-04	  9.6529e-04	  2.0019e+03	  2.8025e-01	  6.6390e-01	  8.5852e-01	  9.9742e-01	  4.1523e+00	  1.6190e+01	  1.7448e+00	  3.4833e-02	  7.3735e-01	  5.4463e-02	  5.4463e-02	  5.2841e-01	  2.2955e+01	  1.0453e-01	  1.0072e+00	  1.0000e+00	  1.0000e+00	  1.7506e-02	  9.5483e-05	  0.0000e+00	  8.0055e-04	  1.0714e-04	  2.5219e-03	  1.1319e-03	  5.9184e-05	  5.6005e-03	  4.8144e-04	  1.3020e-04	  9.6529e-04	  0.0000e+00	  1.3529e-03	
    -6.82112	  5.0000e+00	  6.4811e+00	  8.0574e-05	  1.3846e-05	  1.4336e-05	  5.0739e-04	  1.2026e-03	  2.3382e+03	  2.5797e-01	  6.2877e-01	  8.3925e-01	  9.9662e-01	  4.0199e+00	  1.6259e+01	  1.7408e+00	  3.3168e-02	  7.5390e-01	  5.5154e-02	  5.5154e-02	  6.1875e-01	  2.2864e+01	  1.0875e-01	  1.0097e+00	  1.0000e+00	  1.0000e+00	  2.3731e-02	  1.6059e-04	  0.0000e+00	  9.6645e-04	  1.1802e-04	  2.9572e-03	  1.3309e-03	  5.7178e-05	  6.6351e-03	  5.5994e-04	  1.3987e-04	  1.2026e-03	  0.0000e+00	  1.3463e-03	
    -6.83138	  6.0000e+00	  6.4539e+00	  8.0537e-05	  1.5167e-05	  1.4340e-05	  6.2797e-04	  1.4414e-03	  2.6563e+03	  2.4057e-01	  5.9884e-01	  8.2188e-01	  9.9578e-01	  3.8899e+00	  1.6327e+01	  1.7369e+00	  3.2009e-02	  7.6978e-01	  5.5861e-02	  5.5861e-02	  7.1096e-01	  2.2772e+01	  1.1242e-01	  1.0124e+00	  1.0000e+00	  1.0000e+00	  3.0287e-02	  2.4440e-04	  0.0000e+00	  1.1360e-03	  1.2820e-04	  3.3701e-03	  1.5205e-03	  5.6145e-05	  7.6240e-03	  6.3397e-04	  1.4829e-04	  1.4414e-03	  0.0000e+00	  1.3444e-03	
    -6.83859	  7.0000e+00	  6.4296e+00	  8.0501e-05	  1.6486e-05	  1.4343e-05	  7.5380e-04	  1.6824e-03	  2.9598e+03	  2.2644e-01	  5.7285e-01	  8.0602e-01	  9.9490e-01	  3.7626e+00	  1.6394e+01	  1.7329e+00	  3.0960e-02	  7.8512e-01	  5.6582e-02	  5.6582e-02	  8.0507e-01	  2.2678e+01	  1.1563e-01	  1.0152e+00	  1.0000e+00	  1.0000e+00	  3.7150e-02	  3.4789e-04	  0.0000e+00	  1.3088e-03	  1.3787e-04	  3.7649e-03	  1.7026e-03	  5.5742e-05	  8.5770e-03	  7.0453e-04	  1.5578e-04	  1.6824e-03	  0.0000e+00	  1.3471e-03	
    -6.84357	  8.0000e+00	  6.4075e+00	  8.0467e-05	  1.7829e-05	  1.4347e-05	  8.8477e-04	  1.9257e-03	  3.2515e+03	  2.1466e-01	  5.4995e-01	  7.9140e-01	  9.9400e-01	  3.6379e+00	  1.6459e+01	  1.7290e+00	  2.9970e-02	  7.9994e-01	  5.7318e-02	  5.7318e-02	  9.0093e-01	  2.2582e+01	  1.1841e-01	  1.0182e+00	  1.0000e+00	  1.0000e+00	  4.4294e-02	  4.7188e-04	  0.0000e+00	  1.4845e-03	  1.4717e-04	  4.1447e-03	  1.8784e-03	  5.5776e-05	  9.5004e-03	  7.7223e-04	  1.6256e-04	  1.9257e-03	  0.0000e+00	  1.3541e-03	
