          pe	        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	         FeS	      Pyrite	
           4	  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
           4	  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
    -6.64306	  1.0000e+00	  6.6784e+00	  8.0751e-05	  6.6094e-06	  1.4319e-05	  8.6339e-05	  2.6468e-04	  7.8276e+02	  4.3583e-01	  8.3349e-01	  9.3776e-01	  9.9950e-01	  4.5659e+00	  1.5974e+01	  1.7585e+00	  1.9944e-01	  6.2846e-01	  5.2524e-02	  5.2524e-02	  1.9410e-01	  2.3290e+01	  6.7781e-02	  1.0008e+00	  1.0000e+00	  1.0000e+00	  1.9174e-03	  6.5004e-07	  0.0000e+00	  3.2042e-04	  6.3978e-05	  9.7751e-04	  4.2999e-04	  8.7703e-05	  2.1132e-03	  9.5534e-05	  8.4255e-05	  2.6468e-04	  0.0000e+00	  1.4202e-03	
    -6.70662	  2.0000e+00	  6.5995e+00	  8.0701e-05	  8.5396e-06	  1.4324e-05	  1.7948e-04	  4.9331e-04	  1.2460e+03	  3.5496e-01	  7.5955e-01	  9.0570e-01	  9.9887e-01	  4.4252e+00	  1.6047e+01	  1.7531e+00	  6.9868e-02	  6.9141e-01	  5.3136e-02	  5.3136e-02	  3.3906e-01	  2.3145e+01	  9.1088e-02	  1.0026e+00	  1.0000e+00	  1.0000e+00	  6.3421e-03	  4.6331e-06	  0.0000e+00	  4.7970e-04	  8.1483e-05	  1.5529e-03	  6.8323e-04	  7.0098e-05	  3.5653e-03	  1.5189e-04	  1.0434e-04	  4.9331e-04	  0.0000e+00	  1.3917e-03	
    -6.73895	  3.0000e+00	  6.5485e+00	  8.0657e-05	  1.0011e-05	  1.4328e-05	  2.8396e-04	  7.3047e-04	  1.6491e+03	  3.0964e-01	  7.0530e-01	  8.7983e-01	  9.9816e-01	  4.2875e+00	  1.6119e+01	  1.7489e+00	  4.0156e-02	  7.1911e-01	  5.3789e-02	  5.3789e-02	  4.3934e-01	  2.3044e+01	  9.9319e-02	  1.0048e+00	  1.0000e+00	  1.0000e+00	  1.1811e-02	  1.3046e-05	  0.0000e+00	  6.3945e-04	  9.5343e-05	  2.0654e-03	  9.0993e-04	  6.2907e-05	  4.8411e-03	  1.9889e-04	  1.1884e-04	  7.3047e-04	  0.0000e+00	  1.3706e-03	
    -6.75925	  4.0000e+00	  6.5097e+00	  8.0615e-05	  1.1278e-05	  1.4332e-05	  3.9486e-04	  9.6792e-04	  2.0166e+03	  2.7917e-01	  6.6227e-01	  8.5766e-01	  9.9739e-01	  4.1524e+00	  1.6190e+01	  1.7448e+00	  3.4865e-02	  7.3752e-01	  5.4464e-02	  5.4464e-02	  5.2973e-01	  2.2954e+01	  1.0434e-01	  1.0073e+00	  1.0000e+00	  1.0000e+00	  1.7784e-02	  2.6161e-05	  0.0000e+00	  8.0259e-04	  1.0740e-04	  2.5377e-03	  1.1197e-03	  5.9246e-05	  6.0181e-03	  2.4117e-04	  1.3043e-04	  9.6792e-04	  0.0000e+00	  1.3536e-03	
    -6.77291	  5.0000e+00	  6.4776e+00	  8.0576e-05	  1.2431e-05	  1.4336e-05	  5.1131e-04	  1.2059e-03	  2.3598e+03	  2.5669e-01	  6.2665e-01	  8.3805e-01	  9.9657e-01	  4.0199e+00	  1.6259e+01	  1.7408e+00	  3.3198e-02	  7.5414e-01	  5.5155e-02	  5.5155e-02	  6.2056e-01	  2.2863e+01	  1.0847e-01	  1.0099e+00	  1.0000e+00	  1.0000e+00	  2.4144e-02	  4.4352e-05	  0.0000e+00	  9.6957e-04	  1.1839e-04	  2.9813e-03	  1.3175e-03	  5.7287e-05	  7.1289e-03	  2.8047e-04	  1.4020e-04	  1.2059e-03	  0.0000e+00	  1.3394e-03	
    -6.78226	  6.0000e+00	  6.4498e+00	  8.0539e-05	  1.3514e-05	  1.4340e-05	  6.3320e-04	  1.4454e-03	  2.6847e+03	  2.3915e-01	  5.9631e-01	  8.2037e-01	  9.9570e-01	  3.8900e+00	  1.6327e+01	  1.7369e+00	  3.2037e-02	  7.7011e-01	  5.5861e-02	  5.5861e-02	  7.1326e-01	  2.2770e+01	  1.1206e-01	  1.0126e+00	  1.0000e+00	  1.0000e+00	  3.0852e-02	  6.8032e-05	  0.0000e+00	  1.1402e-03	  1.2867e-04	  3.4028e-03	  1.5060e-03	  5.6323e-05	  8.1905e-03	  3.1763e-04	  1.4872e-04	  1.4454e-03	  0.0000e+00	  1.3276e-03	
     -6.7886	  7.0000e+00	  6.4249e+00	  8.0502e-05	  1.4555e-05	  1.4343e-05	  7.6046e-04	  1.6868e-03	  2.9951e+03	  2.2493e-01	  5.6998e-01	  8.0422e-01	  9.9480e-01	  3.7626e+00	  1.6394e+01	  1.7329e+00	  3.0986e-02	  7.8555e-01	  5.6583e-02	  5.6583e-02	  8.0782e-01	  2.2675e+01	  1.1519e-01	  1.0155e+00	  1.0000e+00	  1.0000e+00	  3.7884e-02	  9.7586e-05	  0.0000e+00	  1.3142e-03	  1.3844e-04	  3.8063e-03	  1.6872e-03	  5.6004e-05	  9.2136e-03	  3.5316e-04	  1.5630e-04	  1.6868e-03	  0.0000e+00	  1.3178e-03	
    -6.79276	  8.0000e+00	  6.4022e+00	  8.0468e-05	  1.5570e-05	  1.4347e-05	  8.9296e-04	  1.9305e-03	  3.2936e+03	  2.1308e-01	  5.4679e-01	  7.8933e-01	  9.9386e-01	  3.6379e+00	  1.6459e+01	  1.7290e+00	  2.9993e-02	  8.0046e-01	  5.7319e-02	  5.7319e-02	  9.0410e-01	  2.2579e+01	  1.1788e-01	  1.0185e+00	  1.0000e+00	  1.0000e+00	  4.5213e-02	  1.3336e-04	  0.0000e+00	  1.4912e-03	  1.4783e-04	  4.1949e-03	  1.8621e-03	  5.6133e-05	  1.0205e-02	  3.8735e-04	  1.6316e-04	  1.9305e-03	  0.0000e+00	  1.3098e-03	
