          pe	        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	         FeS	      Pyrite	
           4	  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
           4	  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
    -6.75139	  1.0000e+00	  6.6798e+00	  8.0746e-05	  8.3180e-06	  1.4320e-05	  8.5699e-05	  2.6368e-04	  7.9140e+02	  4.3386e-01	  8.3197e-01	  9.3714e-01	  9.9949e-01	  4.5659e+00	  1.5974e+01	  1.7585e+00	  1.9942e-01	  6.2844e-01	  5.2524e-02	  5.2524e-02	  1.9387e-01	  2.3290e+01	  6.7815e-02	  1.0008e+00	  1.0000e+00	  1.0000e+00	  1.8737e-03	  8.7282e-06	  0.0000e+00	  3.2207e-04	  6.4342e-05	  9.9026e-04	  4.4841e-04	  8.6721e-05	  1.6735e-03	  3.7519e-04	  8.4827e-05	  2.6368e-04	  0.0000e+00	  1.4012e-03	
     -6.8207	  2.0000e+00	  6.6037e+00	  8.0695e-05	  1.0867e-05	  1.4325e-05	  1.7738e-04	  4.9120e-04	  1.2405e+03	  3.5571e-01	  7.6035e-01	  9.0607e-01	  9.9888e-01	  4.4252e+00	  1.6047e+01	  1.7531e+00	  6.9807e-02	  6.9131e-01	  5.3136e-02	  5.3136e-02	  3.3816e-01	  2.3145e+01	  9.1227e-02	  1.0025e+00	  1.0000e+00	  1.0000e+00	  6.1362e-03	  6.0719e-05	  0.0000e+00	  4.7931e-04	  8.1458e-05	  1.5510e-03	  7.0989e-04	  6.9829e-05	  2.8184e-03	  6.0395e-04	  1.0447e-04	  4.9120e-04	  0.0000e+00	  1.3745e-03	
    -6.85681	  3.0000e+00	  6.5548e+00	  8.0650e-05	  1.2927e-05	  1.4329e-05	  2.7999e-04	  7.2758e-04	  1.6255e+03	  3.1190e-01	  7.0827e-01	  8.8130e-01	  9.9821e-01	  4.2874e+00	  1.6119e+01	  1.7489e+00	  4.0091e-02	  7.1885e-01	  5.3789e-02	  5.3789e-02	  4.3764e-01	  2.3046e+01	  9.9596e-02	  1.0047e+00	  1.0000e+00	  1.0000e+00	  1.1354e-02	  1.6651e-04	  0.0000e+00	  6.3648e-04	  9.4942e-05	  2.0429e-03	  9.4223e-04	  6.2807e-05	  3.8279e-03	  7.9404e-04	  1.1855e-04	  7.2758e-04	  0.0000e+00	  1.3667e-03	
    -6.88012	  4.0000e+00	  6.5180e+00	  8.0609e-05	  1.4854e-05	  1.4333e-05	  3.8880e-04	  9.6485e-04	  1.9735e+03	  2.8235e-01	  6.6704e-01	  8.6019e-01	  9.9749e-01	  4.1523e+00	  1.6190e+01	  1.7448e+00	  3.4804e-02	  7.3709e-01	  5.4463e-02	  5.4463e-02	  5.2729e-01	  2.2956e+01	  1.0477e-01	  1.0070e+00	  1.0000e+00	  1.0000e+00	  1.7015e-02	  3.2568e-04	  0.0000e+00	  7.9672e-04	  1.0666e-04	  2.4922e-03	  1.1564e-03	  5.9116e-05	  4.7606e-03	  9.6412e-04	  1.2978e-04	  9.6485e-04	  0.0000e+00	  1.3729e-03	
     -6.8964	  5.0000e+00	  6.4877e+00	  8.0570e-05	  1.6803e-05	  1.4337e-05	  5.0300e-04	  1.2034e-03	  2.2967e+03	  2.6049e-01	  6.3290e-01	  8.4158e-01	  9.9673e-01	  4.0198e+00	  1.6259e+01	  1.7408e+00	  3.3145e-02	  7.5354e-01	  5.5154e-02	  5.5154e-02	  6.1755e-01	  2.2866e+01	  1.0906e-01	  1.0094e+00	  1.0001e+00	  1.0000e+00	  2.3010e-02	  5.3927e-04	  0.0000e+00	  9.6054e-04	  1.1733e-04	  2.9114e-03	  1.3579e-03	  5.7029e-05	  5.6412e-03	  1.1212e-03	  1.3924e-04	  1.2034e-03	  0.0000e+00	  1.3912e-03	
    -6.90819	  6.0000e+00	  6.4617e+00	  8.0534e-05	  1.8880e-05	  1.4341e-05	  6.2252e-04	  1.4442e-03	  2.6013e+03	  2.4336e-01	  6.0381e-01	  8.2483e-01	  9.9593e-01	  3.8899e+00	  1.6327e+01	  1.7369e+00	  3.1994e-02	  7.6930e-01	  5.5860e-02	  5.5860e-02	  7.0988e-01	  2.2773e+01	  1.1280e-01	  1.0120e+00	  1.0001e+00	  1.0000e+00	  2.9306e-02	  8.0892e-04	  0.0000e+00	  1.1278e-03	  1.2730e-04	  3.3078e-03	  1.5496e-03	  5.5872e-05	  6.4831e-03	  1.2689e-03	  1.4747e-04	  1.4442e-03	  0.0000e+00	  1.4202e-03	
    -6.91687	  7.0000e+00	  6.4386e+00	  8.0498e-05	  2.1185e-05	  1.4344e-05	  7.4731e-04	  1.6878e-03	  2.8914e+03	  2.2944e-01	  5.7852e-01	  8.0954e-01	  9.9511e-01	  3.7626e+00	  1.6394e+01	  1.7329e+00	  3.0954e-02	  7.8454e-01	  5.6580e-02	  5.6580e-02	  8.0432e-01	  2.2678e+01	  1.1607e-01	  1.0147e+00	  1.0001e+00	  1.0000e+00	  3.5881e-02	  1.1359e-03	  0.0000e+00	  1.2983e-03	  1.3678e-04	  3.6858e-03	  1.7335e-03	  5.5311e-05	  7.2944e-03	  1.4091e-03	  1.5480e-04	  1.6878e-03	  0.0000e+00	  1.4590e-03	
    -6.92332	  8.0000e+00	  6.4176e+00	  8.0465e-05	  2.3823e-05	  1.4347e-05	  8.7722e-04	  1.9345e-03	  3.1695e+03	  2.1781e-01	  5.5620e-01	  7.9545e-01	  9.9426e-01	  3.6379e+00	  1.6459e+01	  1.7290e+00	  2.9973e-02	  7.9924e-01	  5.7315e-02	  5.7315e-02	  9.0075e-01	  2.2582e+01	  1.1890e-01	  1.0175e+00	  1.0002e+00	  1.0000e+00	  4.2712e-02	  1.5212e-03	  0.0000e+00	  1.4715e-03	  1.4590e-04	  4.0486e-03	  1.9109e-03	  5.5153e-05	  8.0805e-03	  1.5432e-03	  1.6142e-04	  1.9345e-03	  0.0000e+00	  1.5060e-03	
