time,IC
1,0.27
2,0.36
4,0.42
7,0.52
10,0.75
15,0.91
31,1.31
45,1.55
60,1.67
90,1.75
120,1.92
150,1.98
210,2.21
270,2.37
365,2.58
1,0.18
2,0.34
4,0.44
7,0.53
10,0.76
15,1.14
31,1.42
45,1.54
60,1.76
90,1.92
120,1.97
150,1.98
210,2.23
270,2.36
365,2.48
1,0.15
2,0.36
4,0.55
7,0.73
10,0.92
15,1.05
31,1.38
45,1.48
60,1.69
90,1.85
120,2.03
150,2.15
210,2.35
270,2.54
365,2.71
