          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	       CaPO4	      Fe3PO4	     CaMgCO3	
  6.8176e+00	  2.4583e-02	  7.1684e-04	  3.2691e-03	  3.7954e-03	  7.1702e-05	  3.1268e-02	  2.2105e-03	  5.1139e-04	  5.7163e-04	  8.4114e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.8117e+00	  2.4752e-02	  7.2139e-04	  3.3135e-03	  3.8464e-03	  7.1496e-05	  3.1571e-02	  2.2445e-03	  5.1435e-04	  5.9073e-04	  8.4869e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.8060e+00	  2.4915e-02	  7.2575e-04	  3.3563e-03	  3.8957e-03	  7.1301e-05	  3.1863e-02	  2.2772e-03	  5.1718e-04	  6.0909e-04	  8.5595e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.8005e+00	  2.5072e-02	  7.2995e-04	  3.3977e-03	  3.9433e-03	  7.1117e-05	  3.2145e-02	  2.3087e-03	  5.1991e-04	  6.2676e-04	  8.6294e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.7953e+00	  2.5223e-02	  7.3398e-04	  3.4377e-03	  3.9893e-03	  7.0942e-05	  3.2416e-02	  2.3390e-03	  5.2252e-04	  6.4376e-04	  8.6967e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.7902e+00	  2.5368e-02	  7.3786e-04	  3.4764e-03	  4.0337e-03	  7.0777e-05	  3.2679e-02	  2.3681e-03	  5.2503e-04	  6.6013e-04	  8.7616e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.7853e+00	  2.5508e-02	  7.4159e-04	  3.5138e-03	  4.0767e-03	  7.0620e-05	  3.2931e-02	  2.3961e-03	  5.2744e-04	  6.7588e-04	  8.8241e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.7806e+00	  2.5643e-02	  7.4518e-04	  3.5499e-03	  4.1182e-03	  7.0471e-05	  3.3175e-02	  2.4231e-03	  5.2976e-04	  6.9104e-04	  8.8843e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.7761e+00	  2.5773e-02	  7.4863e-04	  3.5848e-03	  4.1583e-03	  7.0329e-05	  3.3411e-02	  2.4491e-03	  5.3198e-04	  7.0564e-04	  8.9423e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.7718e+00	  2.5897e-02	  7.5196e-04	  3.6185e-03	  4.1970e-03	  7.0194e-05	  3.3637e-02	  2.4741e-03	  5.3412e-04	  7.1970e-04	  8.9982e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.7676e+00	  2.6018e-02	  7.5515e-04	  3.6511e-03	  4.2344e-03	  7.0066e-05	  3.3856e-02	  2.4982e-03	  5.3617e-04	  7.3324e-04	  9.0520e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.7636e+00	  2.6134e-02	  7.5823e-04	  3.6825e-03	  4.2705e-03	  6.9944e-05	  3.4068e-02	  2.5214e-03	  5.3815e-04	  7.4629e-04	  9.1039e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.7597e+00	  2.6245e-02	  7.6119e-04	  3.7129e-03	  4.3054e-03	  6.9828e-05	  3.4272e-02	  2.5437e-03	  5.4005e-04	  7.5886e-04	  9.1540e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.7559e+00	  2.6353e-02	  7.6404e-04	  3.7423e-03	  4.3391e-03	  6.9718e-05	  3.4468e-02	  2.5653e-03	  5.4187e-04	  7.7097e-04	  9.2022e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.7523e+00	  2.6457e-02	  7.6679e-04	  3.7707e-03	  4.3717e-03	  6.9612e-05	  3.4658e-02	  2.5860e-03	  5.4363e-04	  7.8263e-04	  9.2487e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.7489e+00	  2.6557e-02	  7.6943e-04	  3.7981e-03	  4.4032e-03	  6.9512e-05	  3.4841e-02	  2.6060e-03	  5.4532e-04	  7.9388e-04	  9.2935e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.7455e+00	  2.6653e-02	  7.7198e-04	  3.8246e-03	  4.4336e-03	  6.9416e-05	  3.5018e-02	  2.6252e-03	  5.4695e-04	  8.0472e-04	  9.3367e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.7423e+00	  2.6746e-02	  7.7443e-04	  3.8502e-03	  4.4629e-03	  6.9324e-05	  3.5188e-02	  2.6438e-03	  5.4851e-04	  8.1516e-04	  9.3784e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.7392e+00	  2.6836e-02	  7.7680e-04	  3.8750e-03	  4.4913e-03	  6.9236e-05	  3.5353e-02	  2.6617e-03	  5.5002e-04	  8.2523e-04	  9.4186e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.7362e+00	  2.6922e-02	  7.7907e-04	  3.8988e-03	  4.5186e-03	  6.9153e-05	  3.5512e-02	  2.6790e-03	  5.5146e-04	  8.3494e-04	  9.4573e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.7334e+00	  2.7005e-02	  7.8127e-04	  3.9219e-03	  4.5451e-03	  6.9073e-05	  3.5665e-02	  2.6956e-03	  5.5286e-04	  8.4430e-04	  9.4947e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.7306e+00	  2.7085e-02	  7.8338e-04	  3.9442e-03	  4.5706e-03	  6.8996e-05	  3.5813e-02	  2.7116e-03	  5.5420e-04	  8.5332e-04	  9.5307e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.7279e+00	  2.7163e-02	  7.8542e-04	  3.9657e-03	  4.5953e-03	  6.8923e-05	  3.5956e-02	  2.7271e-03	  5.5550e-04	  8.6202e-04	  9.5655e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.7253e+00	  2.7237e-02	  7.8738e-04	  3.9865e-03	  4.6191e-03	  6.8853e-05	  3.6094e-02	  2.7420e-03	  5.5674e-04	  8.7041e-04	  9.5990e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
