          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	       CaPO4	      Fe3PO4	     CaMgCO3	
  6.9295e+00	  8.2879e-02	  1.3557e-03	  1.0808e-02	  2.2034e-03	  1.1949e-05	  5.5735e-02	  1.0899e-02	  3.8817e-04	  2.6963e-02	  1.9666e+04	  7.7202e-02	  1.1140e-01	  0.0000e+00	  1.9757e-01	  2.0367e-01	  2.2439e-03	
  6.9294e+00	  8.2983e-02	  1.3571e-03	  1.0810e-02	  2.2038e-03	  1.1959e-05	  5.5805e-02	  1.0913e-02	  3.8817e-04	  2.6979e-02	  1.9686e+04	  7.7223e-02	  1.1139e-01	  0.0000e+00	  1.9757e-01	  2.0367e-01	  2.2545e-03	
  6.9292e+00	  8.3083e-02	  1.3585e-03	  1.0812e-02	  2.2041e-03	  1.1969e-05	  5.5872e-02	  1.0927e-02	  3.8817e-04	  2.6994e-02	  1.9705e+04	  7.7243e-02	  1.1138e-01	  0.0000e+00	  1.9758e-01	  2.0366e-01	  2.2649e-03	
  6.9291e+00	  8.3180e-02	  1.3597e-03	  1.0814e-02	  2.2045e-03	  1.1979e-05	  5.5937e-02	  1.0940e-02	  3.8818e-04	  2.7010e-02	  1.9724e+04	  7.7262e-02	  1.1137e-01	  0.0000e+00	  1.9758e-01	  2.0366e-01	  2.2748e-03	
  6.9290e+00	  8.3273e-02	  1.3610e-03	  1.0817e-02	  2.2048e-03	  1.1989e-05	  5.6000e-02	  1.0952e-02	  3.8818e-04	  2.7024e-02	  1.9742e+04	  7.7281e-02	  1.1136e-01	  0.0000e+00	  1.9758e-01	  2.0366e-01	  2.2845e-03	
  6.9289e+00	  8.3364e-02	  1.3622e-03	  1.0819e-02	  2.2052e-03	  1.1998e-05	  5.6061e-02	  1.0964e-02	  3.8818e-04	  2.7038e-02	  1.9759e+04	  7.7299e-02	  1.1135e-01	  0.0000e+00	  1.9758e-01	  2.0365e-01	  2.2938e-03	
  6.9288e+00	  8.3451e-02	  1.3634e-03	  1.0821e-02	  2.2055e-03	  1.2007e-05	  5.6120e-02	  1.0976e-02	  3.8818e-04	  2.7052e-02	  1.9775e+04	  7.7316e-02	  1.1134e-01	  0.0000e+00	  1.9758e-01	  2.0365e-01	  2.3027e-03	
  6.9287e+00	  8.3535e-02	  1.3645e-03	  1.0822e-02	  2.2058e-03	  1.2015e-05	  5.6176e-02	  1.0987e-02	  3.8819e-04	  2.7065e-02	  1.9791e+04	  7.7333e-02	  1.1133e-01	  0.0000e+00	  1.9759e-01	  2.0365e-01	  2.3114e-03	
  6.9286e+00	  8.3616e-02	  1.3656e-03	  1.0824e-02	  2.2061e-03	  1.2024e-05	  5.6231e-02	  1.0998e-02	  3.8819e-04	  2.7077e-02	  1.9807e+04	  7.7349e-02	  1.1132e-01	  0.0000e+00	  1.9759e-01	  2.0365e-01	  2.3198e-03	
  6.9285e+00	  8.3694e-02	  1.3666e-03	  1.0826e-02	  2.2064e-03	  1.2032e-05	  5.6284e-02	  1.1009e-02	  3.8819e-04	  2.7090e-02	  1.9822e+04	  7.7364e-02	  1.1132e-01	  0.0000e+00	  1.9759e-01	  2.0364e-01	  2.3278e-03	
  6.9284e+00	  8.3770e-02	  1.3676e-03	  1.0828e-02	  2.2066e-03	  1.2039e-05	  5.6335e-02	  1.1019e-02	  3.8819e-04	  2.7101e-02	  1.9836e+04	  7.7380e-02	  1.1131e-01	  0.0000e+00	  1.9759e-01	  2.0364e-01	  2.3357e-03	
  6.9283e+00	  8.3843e-02	  1.3686e-03	  1.0829e-02	  2.2069e-03	  1.2047e-05	  5.6384e-02	  1.1029e-02	  3.8820e-04	  2.7113e-02	  1.9850e+04	  7.7394e-02	  1.1130e-01	  0.0000e+00	  1.9759e-01	  2.0364e-01	  2.3432e-03	
  6.9282e+00	  8.3914e-02	  1.3695e-03	  1.0831e-02	  2.2072e-03	  1.2054e-05	  5.6431e-02	  1.1038e-02	  3.8820e-04	  2.7124e-02	  1.9864e+04	  7.7408e-02	  1.1129e-01	  0.0000e+00	  1.9759e-01	  2.0364e-01	  2.3505e-03	
  6.9281e+00	  8.3982e-02	  1.3704e-03	  1.0833e-02	  2.2074e-03	  1.2061e-05	  5.6477e-02	  1.1048e-02	  3.8820e-04	  2.7134e-02	  1.9877e+04	  7.7422e-02	  1.1129e-01	  0.0000e+00	  1.9760e-01	  2.0363e-01	  2.3575e-03	
  6.9280e+00	  8.4048e-02	  1.3713e-03	  1.0834e-02	  2.2077e-03	  1.2068e-05	  5.6522e-02	  1.1056e-02	  3.8820e-04	  2.7145e-02	  1.9889e+04	  7.7435e-02	  1.1128e-01	  0.0000e+00	  1.9760e-01	  2.0363e-01	  2.3643e-03	
  6.9279e+00	  8.4112e-02	  1.3722e-03	  1.0835e-02	  2.2079e-03	  1.2074e-05	  5.6564e-02	  1.1065e-02	  3.8820e-04	  2.7154e-02	  1.9901e+04	  7.7447e-02	  1.1127e-01	  0.0000e+00	  1.9760e-01	  2.0363e-01	  2.3708e-03	
  6.9279e+00	  8.4173e-02	  1.3730e-03	  1.0837e-02	  2.2081e-03	  1.2080e-05	  5.6606e-02	  1.1073e-02	  3.8821e-04	  2.7164e-02	  1.9913e+04	  7.7460e-02	  1.1127e-01	  0.0000e+00	  1.9760e-01	  2.0363e-01	  2.3772e-03	
  6.9278e+00	  8.4232e-02	  1.3738e-03	  1.0838e-02	  2.2083e-03	  1.2086e-05	  5.6646e-02	  1.1081e-02	  3.8821e-04	  2.7173e-02	  1.9924e+04	  7.7471e-02	  1.1126e-01	  0.0000e+00	  1.9760e-01	  2.0363e-01	  2.3833e-03	
  6.9277e+00	  8.4289e-02	  1.3745e-03	  1.0839e-02	  2.2085e-03	  1.2092e-05	  5.6684e-02	  1.1089e-02	  3.8821e-04	  2.7182e-02	  1.9935e+04	  7.7483e-02	  1.1126e-01	  0.0000e+00	  1.9760e-01	  2.0362e-01	  2.3892e-03	
  6.9277e+00	  8.4345e-02	  1.3753e-03	  1.0841e-02	  2.2087e-03	  1.2098e-05	  5.6721e-02	  1.1096e-02	  3.8821e-04	  2.7191e-02	  1.9946e+04	  7.7494e-02	  1.1125e-01	  0.0000e+00	  1.9760e-01	  2.0362e-01	  2.3949e-03	
  6.9276e+00	  8.4398e-02	  1.3760e-03	  1.0842e-02	  2.2089e-03	  1.2103e-05	  5.6757e-02	  1.1104e-02	  3.8821e-04	  2.7199e-02	  1.9956e+04	  7.7504e-02	  1.1125e-01	  0.0000e+00	  1.9761e-01	  2.0362e-01	  2.4004e-03	
  6.9275e+00	  8.4450e-02	  1.3767e-03	  1.0843e-02	  2.2091e-03	  1.2109e-05	  5.6792e-02	  1.1110e-02	  3.8821e-04	  2.7207e-02	  1.9966e+04	  7.7515e-02	  1.1124e-01	  0.0000e+00	  1.9761e-01	  2.0362e-01	  2.4057e-03	
  6.9275e+00	  8.4499e-02	  1.3773e-03	  1.0844e-02	  2.2093e-03	  1.2114e-05	  5.6825e-02	  1.1117e-02	  3.8822e-04	  2.7215e-02	  1.9975e+04	  7.7524e-02	  1.1124e-01	  0.0000e+00	  1.9761e-01	  2.0362e-01	  2.4108e-03	
  6.9274e+00	  8.4547e-02	  1.3780e-03	  1.0845e-02	  2.2095e-03	  1.2118e-05	  5.6858e-02	  1.1124e-02	  3.8822e-04	  2.7222e-02	  1.9984e+04	  7.7534e-02	  1.1123e-01	  0.0000e+00	  1.9761e-01	  2.0361e-01	  2.4158e-03	
  6.9273e+00	  8.4594e-02	  1.3786e-03	  1.0846e-02	  2.2096e-03	  1.2123e-05	  5.6889e-02	  1.1130e-02	  3.8822e-04	  2.7229e-02	  1.9993e+04	  7.7543e-02	  1.1123e-01	  0.0000e+00	  1.9761e-01	  2.0361e-01	  2.4205e-03	
  6.9273e+00	  8.4639e-02	  1.3792e-03	  1.0847e-02	  2.2098e-03	  1.2128e-05	  5.6919e-02	  1.1136e-02	  3.8822e-04	  2.7236e-02	  2.0002e+04	  7.7552e-02	  1.1122e-01	  0.0000e+00	  1.9761e-01	  2.0361e-01	  2.4252e-03	
  6.9272e+00	  8.4682e-02	  1.3798e-03	  1.0848e-02	  2.2099e-03	  1.2132e-05	  5.6948e-02	  1.1142e-02	  3.8822e-04	  2.7243e-02	  2.0010e+04	  7.7561e-02	  1.1122e-01	  0.0000e+00	  1.9761e-01	  2.0361e-01	  2.4296e-03	
  6.9272e+00	  8.4724e-02	  1.3803e-03	  1.0849e-02	  2.2101e-03	  1.2136e-05	  5.6976e-02	  1.1147e-02	  3.8822e-04	  2.7250e-02	  2.0018e+04	  7.7569e-02	  1.1121e-01	  0.0000e+00	  1.9761e-01	  2.0361e-01	  2.4339e-03	
  6.9271e+00	  8.4764e-02	  1.3809e-03	  1.0850e-02	  2.2102e-03	  1.2141e-05	  5.7003e-02	  1.1153e-02	  3.8822e-04	  2.7256e-02	  2.0025e+04	  7.7577e-02	  1.1121e-01	  0.0000e+00	  1.9761e-01	  2.0361e-01	  2.4381e-03	
  6.9271e+00	  8.4803e-02	  1.3814e-03	  1.0851e-02	  2.2104e-03	  1.2145e-05	  5.7030e-02	  1.1158e-02	  3.8823e-04	  2.7262e-02	  2.0033e+04	  7.7585e-02	  1.1121e-01	  0.0000e+00	  1.9761e-01	  2.0361e-01	  2.4421e-03	
  6.9270e+00	  8.4841e-02	  1.3819e-03	  1.0852e-02	  2.2105e-03	  1.2148e-05	  5.7055e-02	  1.1163e-02	  3.8823e-04	  2.7268e-02	  2.0040e+04	  7.7592e-02	  1.1120e-01	  0.0000e+00	  1.9761e-01	  2.0361e-01	  2.4460e-03	
  6.9270e+00	  8.4877e-02	  1.3824e-03	  1.0853e-02	  2.2106e-03	  1.2152e-05	  5.7079e-02	  1.1168e-02	  3.8823e-04	  2.7273e-02	  2.0047e+04	  7.7599e-02	  1.1120e-01	  0.0000e+00	  1.9762e-01	  2.0360e-01	  2.4497e-03	
  6.9269e+00	  8.4912e-02	  1.3828e-03	  1.0853e-02	  2.2108e-03	  1.2156e-05	  5.7103e-02	  1.1173e-02	  3.8823e-04	  2.7279e-02	  2.0054e+04	  7.7606e-02	  1.1119e-01	  0.0000e+00	  1.9762e-01	  2.0360e-01	  2.4533e-03	
  6.9269e+00	  8.4946e-02	  1.3833e-03	  1.0854e-02	  2.2109e-03	  1.2159e-05	  5.7126e-02	  1.1177e-02	  3.8823e-04	  2.7284e-02	  2.0060e+04	  7.7613e-02	  1.1119e-01	  0.0000e+00	  1.9762e-01	  2.0360e-01	  2.4568e-03	
  6.9269e+00	  8.4979e-02	  1.3837e-03	  1.0855e-02	  2.2110e-03	  1.2162e-05	  5.7148e-02	  1.1182e-02	  3.8823e-04	  2.7289e-02	  2.0066e+04	  7.7619e-02	  1.1119e-01	  0.0000e+00	  1.9762e-01	  2.0360e-01	  2.4602e-03	
  6.9268e+00	  8.5010e-02	  1.3841e-03	  1.0856e-02	  2.2111e-03	  1.2166e-05	  5.7169e-02	  1.1186e-02	  3.8823e-04	  2.7294e-02	  2.0072e+04	  7.7626e-02	  1.1118e-01	  0.0000e+00	  1.9762e-01	  2.0360e-01	  2.4635e-03	
  6.9268e+00	  8.5041e-02	  1.3845e-03	  1.0856e-02	  2.2112e-03	  1.2169e-05	  5.7190e-02	  1.1190e-02	  3.8823e-04	  2.7299e-02	  2.0078e+04	  7.7632e-02	  1.1118e-01	  0.0000e+00	  1.9762e-01	  2.0360e-01	  2.4666e-03	
  6.9267e+00	  8.5070e-02	  1.3849e-03	  1.0857e-02	  2.2113e-03	  1.2172e-05	  5.7209e-02	  1.1194e-02	  3.8823e-04	  2.7303e-02	  2.0084e+04	  7.7637e-02	  1.1118e-01	  0.0000e+00	  1.9762e-01	  2.0360e-01	  2.4696e-03	
  6.9267e+00	  8.5098e-02	  1.3853e-03	  1.0858e-02	  2.2114e-03	  1.2175e-05	  5.7228e-02	  1.1198e-02	  3.8823e-04	  2.7308e-02	  2.0089e+04	  7.7643e-02	  1.1118e-01	  0.0000e+00	  1.9762e-01	  2.0360e-01	  2.4726e-03	
  6.9267e+00	  8.5126e-02	  1.3857e-03	  1.0858e-02	  2.2115e-03	  1.2177e-05	  5.7247e-02	  1.1201e-02	  3.8824e-04	  2.7312e-02	  2.0094e+04	  7.7649e-02	  1.1117e-01	  0.0000e+00	  1.9762e-01	  2.0360e-01	  2.4754e-03	
  6.9266e+00	  8.5152e-02	  1.3860e-03	  1.0859e-02	  2.2116e-03	  1.2180e-05	  5.7265e-02	  1.1205e-02	  3.8824e-04	  2.7316e-02	  2.0099e+04	  7.7654e-02	  1.1117e-01	  0.0000e+00	  1.9762e-01	  2.0359e-01	  2.4781e-03	
  6.9266e+00	  8.5178e-02	  1.3864e-03	  1.0859e-02	  2.2117e-03	  1.2183e-05	  5.7282e-02	  1.1208e-02	  3.8824e-04	  2.7320e-02	  2.0104e+04	  7.7659e-02	  1.1117e-01	  0.0000e+00	  1.9762e-01	  2.0359e-01	  2.4808e-03	
  6.9266e+00	  8.5203e-02	  1.3867e-03	  1.0860e-02	  2.2118e-03	  1.2185e-05	  5.7299e-02	  1.1212e-02	  3.8824e-04	  2.7324e-02	  2.0109e+04	  7.7664e-02	  1.1117e-01	  0.0000e+00	  1.9762e-01	  2.0359e-01	  2.4833e-03	
  6.9266e+00	  8.5227e-02	  1.3870e-03	  1.0861e-02	  2.2119e-03	  1.2188e-05	  5.7315e-02	  1.1215e-02	  3.8824e-04	  2.7328e-02	  2.0113e+04	  7.7668e-02	  1.1116e-01	  0.0000e+00	  1.9762e-01	  2.0359e-01	  2.4858e-03	
  6.9265e+00	  8.5250e-02	  1.3873e-03	  1.0861e-02	  2.2120e-03	  1.2190e-05	  5.7330e-02	  1.1218e-02	  3.8824e-04	  2.7331e-02	  2.0118e+04	  7.7673e-02	  1.1116e-01	  0.0000e+00	  1.9762e-01	  2.0359e-01	  2.4881e-03	
  6.9265e+00	  8.5272e-02	  1.3876e-03	  1.0862e-02	  2.2121e-03	  1.2192e-05	  5.7345e-02	  1.1221e-02	  3.8824e-04	  2.7335e-02	  2.0122e+04	  7.7677e-02	  1.1116e-01	  0.0000e+00	  1.9762e-01	  2.0359e-01	  2.4904e-03	
  6.9265e+00	  8.5293e-02	  1.3879e-03	  1.0862e-02	  2.2121e-03	  1.2195e-05	  5.7360e-02	  1.1224e-02	  3.8824e-04	  2.7338e-02	  2.0126e+04	  7.7682e-02	  1.1116e-01	  0.0000e+00	  1.9762e-01	  2.0359e-01	  2.4927e-03	
  6.9264e+00	  8.5314e-02	  1.3882e-03	  1.0862e-02	  2.2122e-03	  1.2197e-05	  5.7374e-02	  1.1227e-02	  3.8824e-04	  2.7341e-02	  2.0130e+04	  7.7686e-02	  1.1115e-01	  0.0000e+00	  1.9763e-01	  2.0359e-01	  2.4948e-03	
  6.9264e+00	  8.5334e-02	  1.3885e-03	  1.0863e-02	  2.2123e-03	  1.2199e-05	  5.7387e-02	  1.1229e-02	  3.8824e-04	  2.7344e-02	  2.0134e+04	  7.7690e-02	  1.1115e-01	  0.0000e+00	  1.9763e-01	  2.0359e-01	  2.4969e-03	
  6.9264e+00	  8.5353e-02	  1.3887e-03	  1.0863e-02	  2.2124e-03	  1.2201e-05	  5.7400e-02	  1.1232e-02	  3.8824e-04	  2.7347e-02	  2.0138e+04	  7.7694e-02	  1.1115e-01	  0.0000e+00	  1.9763e-01	  2.0359e-01	  2.4989e-03	
  6.9264e+00	  8.5372e-02	  1.3890e-03	  1.0864e-02	  2.2124e-03	  1.2203e-05	  5.7413e-02	  1.1235e-02	  3.8824e-04	  2.7350e-02	  2.0141e+04	  7.7697e-02	  1.1115e-01	  0.0000e+00	  1.9763e-01	  2.0359e-01	  2.5008e-03	
  6.9263e+00	  8.5390e-02	  1.3892e-03	  1.0864e-02	  2.2125e-03	  1.2204e-05	  5.7425e-02	  1.1237e-02	  3.8824e-04	  2.7353e-02	  2.0145e+04	  7.7701e-02	  1.1115e-01	  0.0000e+00	  1.9763e-01	  2.0359e-01	  2.5026e-03	
  6.9263e+00	  8.5408e-02	  1.3894e-03	  1.0865e-02	  2.2126e-03	  1.2206e-05	  5.7436e-02	  1.1239e-02	  3.8824e-04	  2.7356e-02	  2.0148e+04	  7.7704e-02	  1.1115e-01	  0.0000e+00	  1.9763e-01	  2.0359e-01	  2.5044e-03	
