          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	       CaPO4	      Fe3PO4	     CaMgCO3	
  6.8138e+00	  2.2143e-02	  6.5040e-04	  2.6504e-03	  3.0825e-03	  7.5637e-05	  2.6984e-02	  1.6916e-03	  4.6711e-04	  2.9213e-04	  7.3243e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.8074e+00	  2.2232e-02	  6.5282e-04	  2.6717e-03	  3.1071e-03	  7.5512e-05	  2.7137e-02	  1.7090e-03	  4.6871e-04	  3.0210e-04	  7.3632e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.8013e+00	  2.2318e-02	  6.5515e-04	  2.6923e-03	  3.1309e-03	  7.5392e-05	  2.7285e-02	  1.7257e-03	  4.7025e-04	  3.1169e-04	  7.4007e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.7953e+00	  2.2400e-02	  6.5739e-04	  2.7122e-03	  3.1539e-03	  7.5279e-05	  2.7427e-02	  1.7419e-03	  4.7173e-04	  3.2093e-04	  7.4368e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.7896e+00	  2.2479e-02	  6.5955e-04	  2.7314e-03	  3.1762e-03	  7.5170e-05	  2.7565e-02	  1.7575e-03	  4.7315e-04	  3.2982e-04	  7.4717e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.7841e+00	  2.2556e-02	  6.6163e-04	  2.7500e-03	  3.1977e-03	  7.5067e-05	  2.7698e-02	  1.7725e-03	  4.7452e-04	  3.3839e-04	  7.5053e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.7788e+00	  2.2630e-02	  6.6364e-04	  2.7680e-03	  3.2184e-03	  7.4968e-05	  2.7826e-02	  1.7869e-03	  4.7584e-04	  3.4665e-04	  7.5377e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.7736e+00	  2.2701e-02	  6.6557e-04	  2.7853e-03	  3.2385e-03	  7.4874e-05	  2.7950e-02	  1.8009e-03	  4.7711e-04	  3.5460e-04	  7.5690e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.7687e+00	  2.2769e-02	  6.6743e-04	  2.8021e-03	  3.2579e-03	  7.4784e-05	  2.8069e-02	  1.8143e-03	  4.7834e-04	  3.6227e-04	  7.5991e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.7639e+00	  2.2836e-02	  6.6922e-04	  2.8183e-03	  3.2766e-03	  7.4698e-05	  2.8184e-02	  1.8272e-03	  4.7952e-04	  3.6966e-04	  7.6282e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.7593e+00	  2.2899e-02	  6.7095e-04	  2.8339e-03	  3.2947e-03	  7.4616e-05	  2.8296e-02	  1.8397e-03	  4.8065e-04	  3.7678e-04	  7.6562e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.7549e+00	  2.2961e-02	  6.7261e-04	  2.8491e-03	  3.3122e-03	  7.4538e-05	  2.8403e-02	  1.8517e-03	  4.8175e-04	  3.8364e-04	  7.6832e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.7507e+00	  2.3020e-02	  6.7422e-04	  2.8637e-03	  3.3291e-03	  7.4462e-05	  2.8507e-02	  1.8633e-03	  4.8280e-04	  3.9025e-04	  7.7093e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.7465e+00	  2.3077e-02	  6.7576e-04	  2.8778e-03	  3.3454e-03	  7.4390e-05	  2.8607e-02	  1.8745e-03	  4.8381e-04	  3.9663e-04	  7.7345e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.7426e+00	  2.3132e-02	  6.7726e-04	  2.8914e-03	  3.3611e-03	  7.4322e-05	  2.8703e-02	  1.8853e-03	  4.8479e-04	  4.0277e-04	  7.7588e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
