  Time(hour)	          OC	         NO3	         NO2	         Fe2	         SO4	    Fe(OH)3a	      CH4tot	      CO2tot	       N2tot	       O2tot	      H2Stot	      NaRbio	      FeRbio	      SRAbio	     Methbio	          pH	         fpH	
  0.0000e+00	  2.0000e-02	  1.0000e-02	  5.0000e-04	  1.0000e-04	  3.0000e-03	  0.0000e+00	  0.0000e+00	  1.0000e-03	  0.0000e+00	  2.5000e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  6.0000e+00	  7.8107e-01	
  2.4074e+00	  1.9998e-02	  9.9979e-03	  5.0191e-04	  9.8276e-05	  3.0150e-03	  6.0000e-03	  9.7528e-11	  1.0019e-03	  1.0821e-07	  1.3228e-06	  5.1270e-08	  2.0125e-05	  2.0005e-05	  2.0017e-05	  2.0006e-05	  6.0700e+00	  8.1158e-01	
  4.8148e+00	  1.9996e-02	  9.9958e-03	  5.0383e-04	  9.8269e-05	  3.0147e-03	  6.0000e-03	  1.9472e-10	  1.0039e-03	  2.1748e-07	  1.3128e-06	  1.0272e-07	  2.0250e-05	  2.0009e-05	  2.0034e-05	  2.0011e-05	  6.0703e+00	  8.1170e-01	
  7.2222e+00	  1.9993e-02	  9.9936e-03	  5.0576e-04	  9.8262e-05	  3.0144e-03	  6.0000e-03	  2.9157e-10	  1.0058e-03	  3.2781e-07	  1.3029e-06	  1.5434e-07	  2.0377e-05	  2.0014e-05	  2.0051e-05	  2.0017e-05	  6.0705e+00	  8.1181e-01	
  9.6296e+00	  1.9991e-02	  9.9915e-03	  5.0771e-04	  9.8254e-05	  3.0141e-03	  6.0000e-03	  3.8807e-10	  1.0078e-03	  4.3922e-07	  1.2931e-06	  2.0614e-07	  2.0504e-05	  2.0018e-05	  2.0069e-05	  2.0022e-05	  6.0708e+00	  8.1193e-01	
  1.2037e+01	  1.9989e-02	  9.9893e-03	  5.0966e-04	  9.8247e-05	  3.0137e-03	  6.0000e-03	  4.8425e-10	  1.0098e-03	  5.5172e-07	  1.2833e-06	  2.5811e-07	  2.0632e-05	  2.0023e-05	  2.0086e-05	  2.0028e-05	  6.0711e+00	  8.1205e-01	
  1.4444e+01	  1.9987e-02	  9.9871e-03	  5.1163e-04	  9.8240e-05	  3.0134e-03	  6.0000e-03	  5.8008e-10	  1.0117e-03	  6.6531e-07	  1.2736e-06	  3.1026e-07	  2.0761e-05	  2.0027e-05	  2.0103e-05	  2.0033e-05	  6.0714e+00	  8.1216e-01	
  1.6852e+01	  1.9984e-02	  9.9850e-03	  5.1361e-04	  9.8232e-05	  3.0131e-03	  6.0000e-03	  6.7557e-10	  1.0137e-03	  7.8001e-07	  1.2639e-06	  3.6259e-07	  2.0890e-05	  2.0032e-05	  2.0121e-05	  2.0039e-05	  6.0717e+00	  8.1228e-01	
  1.9259e+01	  1.9982e-02	  9.9827e-03	  5.1560e-04	  9.8225e-05	  3.0128e-03	  6.0000e-03	  7.7073e-10	  1.0157e-03	  8.9583e-07	  1.2542e-06	  4.1510e-07	  2.1021e-05	  2.0036e-05	  2.0138e-05	  2.0045e-05	  6.0719e+00	  8.1240e-01	
  2.1667e+01	  1.9980e-02	  9.9805e-03	  5.1760e-04	  9.8218e-05	  3.0124e-03	  6.0000e-03	  8.6555e-10	  1.0178e-03	  1.0128e-06	  1.2446e-06	  4.6778e-07	  2.1152e-05	  2.0041e-05	  2.0156e-05	  2.0050e-05	  6.0722e+00	  8.1251e-01	
  2.4074e+01	  1.9977e-02	  9.9783e-03	  5.1961e-04	  9.8210e-05	  3.0121e-03	  6.0000e-03	  9.6003e-10	  1.0198e-03	  1.1309e-06	  1.2351e-06	  5.2064e-07	  2.1285e-05	  2.0045e-05	  2.0174e-05	  2.0056e-05	  6.0725e+00	  8.1263e-01	
  2.6481e+01	  1.9975e-02	  9.9761e-03	  5.2164e-04	  9.8203e-05	  3.0118e-03	  6.0000e-03	  1.0542e-09	  1.0218e-03	  1.2502e-06	  1.2256e-06	  5.7368e-07	  2.1418e-05	  2.0050e-05	  2.0191e-05	  2.0061e-05	  6.0728e+00	  8.1275e-01	
  2.8889e+01	  1.9973e-02	  9.9738e-03	  5.2368e-04	  9.8195e-05	  3.0115e-03	  6.0000e-03	  1.1480e-09	  1.0239e-03	  1.3706e-06	  1.2161e-06	  6.2689e-07	  2.1552e-05	  2.0054e-05	  2.0209e-05	  2.0067e-05	  6.0731e+00	  8.1287e-01	
  3.1296e+01	  1.9970e-02	  9.9715e-03	  5.2573e-04	  9.8188e-05	  3.0111e-03	  6.0000e-03	  1.2415e-09	  1.0259e-03	  1.4922e-06	  1.2067e-06	  6.8028e-07	  2.1687e-05	  2.0059e-05	  2.0227e-05	  2.0073e-05	  6.0734e+00	  8.1299e-01	
  3.3704e+01	  1.9968e-02	  9.9692e-03	  5.2779e-04	  9.8180e-05	  3.0108e-03	  6.0000e-03	  1.3346e-09	  1.0280e-03	  1.6150e-06	  1.1974e-06	  7.3385e-07	  2.1823e-05	  2.0064e-05	  2.0245e-05	  2.0078e-05	  6.0737e+00	  8.1311e-01	
  3.6111e+01	  1.9965e-02	  9.9669e-03	  5.2986e-04	  9.8173e-05	  3.0105e-03	  6.0000e-03	  1.4274e-09	  1.0301e-03	  1.7390e-06	  1.1880e-06	  7.8760e-07	  2.1960e-05	  2.0068e-05	  2.0263e-05	  2.0084e-05	  6.0740e+00	  8.1323e-01	
  3.8519e+01	  1.9963e-02	  9.9646e-03	  5.3195e-04	  9.8165e-05	  3.0101e-03	  6.0000e-03	  1.5199e-09	  1.0322e-03	  1.8642e-06	  1.1788e-06	  8.4153e-07	  2.2097e-05	  2.0073e-05	  2.0281e-05	  2.0089e-05	  6.0743e+00	  8.1335e-01	
  4.0926e+01	  1.9960e-02	  9.9623e-03	  5.3405e-04	  9.8158e-05	  3.0098e-03	  6.0000e-03	  1.6120e-09	  1.0343e-03	  1.9907e-06	  1.1696e-06	  8.9563e-07	  2.2236e-05	  2.0077e-05	  2.0300e-05	  2.0095e-05	  6.0745e+00	  8.1347e-01	
  4.3333e+01	  1.9958e-02	  9.9599e-03	  5.3616e-04	  9.8150e-05	  3.0095e-03	  6.0000e-03	  1.7038e-09	  1.0364e-03	  2.1184e-06	  1.1604e-06	  9.4991e-07	  2.2375e-05	  2.0082e-05	  2.0318e-05	  2.0101e-05	  6.0748e+00	  8.1359e-01	
  4.5741e+01	  1.9956e-02	  9.9576e-03	  5.3828e-04	  9.8143e-05	  3.0091e-03	  6.0000e-03	  1.7953e-09	  1.0386e-03	  2.2474e-06	  1.1513e-06	  1.0044e-06	  2.2516e-05	  2.0086e-05	  2.0336e-05	  2.0106e-05	  6.0751e+00	  8.1371e-01	
  4.8148e+01	  1.9953e-02	  9.9552e-03	  5.4042e-04	  9.8135e-05	  3.0088e-03	  6.0000e-03	  1.8864e-09	  1.0407e-03	  2.3776e-06	  1.1422e-06	  1.0590e-06	  2.2657e-05	  2.0091e-05	  2.0355e-05	  2.0112e-05	  6.0754e+00	  8.1383e-01	
  5.0556e+01	  1.9951e-02	  9.9528e-03	  5.4257e-04	  9.8128e-05	  3.0084e-03	  6.0000e-03	  1.9772e-09	  1.0429e-03	  2.5091e-06	  1.1332e-06	  1.1138e-06	  2.2800e-05	  2.0095e-05	  2.0373e-05	  2.0118e-05	  6.0757e+00	  8.1395e-01	
  5.2963e+01	  1.9948e-02	  9.9504e-03	  5.4473e-04	  9.8120e-05	  3.0081e-03	  6.0000e-03	  2.0677e-09	  1.0451e-03	  2.6420e-06	  1.1242e-06	  1.1688e-06	  2.2943e-05	  2.0100e-05	  2.0392e-05	  2.0123e-05	  6.0760e+00	  8.1407e-01	
  5.5370e+01	  1.9945e-02	  9.9480e-03	  5.4691e-04	  9.8113e-05	  3.0077e-03	  6.0000e-03	  2.1579e-09	  1.0472e-03	  2.7761e-06	  1.1153e-06	  1.2240e-06	  2.3087e-05	  2.0105e-05	  2.0411e-05	  2.0129e-05	  6.0763e+00	  8.1420e-01	
  5.7778e+01	  1.9943e-02	  9.9455e-03	  5.4909e-04	  9.8105e-05	  3.0074e-03	  6.0000e-03	  2.2477e-09	  1.0494e-03	  2.9116e-06	  1.1064e-06	  1.2794e-06	  2.3232e-05	  2.0109e-05	  2.0429e-05	  2.0134e-05	  6.0766e+00	  8.1432e-01	
  6.0185e+01	  1.9940e-02	  9.9431e-03	  5.5129e-04	  9.8097e-05	  3.0070e-03	  6.0000e-03	  2.3372e-09	  1.0517e-03	  3.0484e-06	  1.0976e-06	  1.3349e-06	  2.3379e-05	  2.0114e-05	  2.0448e-05	  2.0140e-05	  6.0769e+00	  8.1444e-01	
  6.2593e+01	  1.9938e-02	  9.9406e-03	  5.5351e-04	  9.8090e-05	  3.0067e-03	  6.0000e-03	  2.4263e-09	  1.0539e-03	  3.1865e-06	  1.0888e-06	  1.3906e-06	  2.3526e-05	  2.0118e-05	  2.0467e-05	  2.0146e-05	  6.0772e+00	  8.1456e-01	
  6.5000e+01	  1.9935e-02	  9.9381e-03	  5.5573e-04	  9.8082e-05	  3.0063e-03	  6.0000e-03	  2.5152e-09	  1.0561e-03	  3.3260e-06	  1.0800e-06	  1.4465e-06	  2.3674e-05	  2.0123e-05	  2.0486e-05	  2.0151e-05	  6.0775e+00	  8.1469e-01	
  6.7407e+01	  1.9933e-02	  9.9356e-03	  5.5797e-04	  9.8074e-05	  3.0060e-03	  6.0000e-03	  2.6037e-09	  1.0584e-03	  3.4669e-06	  1.0714e-06	  1.5026e-06	  2.3823e-05	  2.0127e-05	  2.0505e-05	  2.0157e-05	  6.0778e+00	  8.1481e-01	
  6.9815e+01	  1.9930e-02	  9.9331e-03	  5.6022e-04	  9.8067e-05	  3.0056e-03	  6.0000e-03	  2.6918e-09	  1.0606e-03	  3.6093e-06	  1.0627e-06	  1.5588e-06	  2.3973e-05	  2.0132e-05	  2.0524e-05	  2.0163e-05	  6.0781e+00	  8.1493e-01	
  7.2222e+01	  1.9927e-02	  9.9306e-03	  5.6249e-04	  9.8059e-05	  3.0053e-03	  6.0000e-03	  2.7797e-09	  1.0629e-03	  3.7530e-06	  1.0541e-06	  1.6153e-06	  2.4124e-05	  2.0137e-05	  2.0544e-05	  2.0168e-05	  6.0784e+00	  8.1506e-01	
  7.4630e+01	  1.9925e-02	  9.9280e-03	  5.6477e-04	  9.8051e-05	  3.0049e-03	  6.0000e-03	  2.8672e-09	  1.0652e-03	  3.8981e-06	  1.0455e-06	  1.6719e-06	  2.4276e-05	  2.0141e-05	  2.0563e-05	  2.0174e-05	  6.0787e+00	  8.1518e-01	
  7.7037e+01	  1.9922e-02	  9.9255e-03	  5.6706e-04	  9.8043e-05	  3.0046e-03	  6.0000e-03	  2.9544e-09	  1.0675e-03	  4.0447e-06	  1.0370e-06	  1.7287e-06	  2.4430e-05	  2.0146e-05	  2.0582e-05	  2.0179e-05	  6.0790e+00	  8.1531e-01	
  7.9444e+01	  1.9919e-02	  9.9229e-03	  5.6937e-04	  9.8036e-05	  3.0042e-03	  6.0000e-03	  3.0412e-09	  1.0698e-03	  4.1928e-06	  1.0286e-06	  1.7856e-06	  2.4584e-05	  2.0150e-05	  2.0602e-05	  2.0185e-05	  6.0793e+00	  8.1543e-01	
  8.1852e+01	  1.9917e-02	  9.9203e-03	  5.7169e-04	  9.8028e-05	  3.0038e-03	  6.0000e-03	  3.1278e-09	  1.0721e-03	  4.3423e-06	  1.0201e-06	  1.8428e-06	  2.4739e-05	  2.0155e-05	  2.0621e-05	  2.0191e-05	  6.0796e+00	  8.1556e-01	
  8.4259e+01	  1.9914e-02	  9.9177e-03	  5.7402e-04	  9.8020e-05	  3.0035e-03	  6.0000e-03	  3.2140e-09	  1.0744e-03	  4.4933e-06	  1.0118e-06	  1.9001e-06	  2.4895e-05	  2.0160e-05	  2.0641e-05	  2.0196e-05	  6.0800e+00	  8.1569e-01	
  8.6667e+01	  1.9911e-02	  9.9151e-03	  5.7637e-04	  9.8012e-05	  3.0031e-03	  6.0000e-03	  3.2999e-09	  1.0768e-03	  4.6458e-06	  1.0034e-06	  1.9576e-06	  2.5053e-05	  2.0164e-05	  2.0661e-05	  2.0202e-05	  6.0803e+00	  8.1581e-01	
  8.9074e+01	  1.9908e-02	  9.9124e-03	  5.7873e-04	  9.8004e-05	  3.0027e-03	  6.0000e-03	  3.3855e-09	  1.0792e-03	  4.7998e-06	  9.9514e-07	  2.0153e-06	  2.5211e-05	  2.0169e-05	  2.0681e-05	  2.0208e-05	  6.0806e+00	  8.1594e-01	
  9.1481e+01	  1.9906e-02	  9.9097e-03	  5.8111e-04	  9.7997e-05	  3.0024e-03	  6.0000e-03	  3.4707e-09	  1.0815e-03	  4.9554e-06	  9.8690e-07	  2.0732e-06	  2.5370e-05	  2.0173e-05	  2.0700e-05	  2.0213e-05	  6.0809e+00	  8.1606e-01	
  9.3889e+01	  1.9903e-02	  9.9071e-03	  5.8350e-04	  9.7989e-05	  3.0020e-03	  6.0000e-03	  3.5556e-09	  1.0839e-03	  5.1126e-06	  9.7870e-07	  2.1312e-06	  2.5531e-05	  2.0178e-05	  2.0720e-05	  2.0219e-05	  6.0812e+00	  8.1619e-01	
  9.6296e+01	  1.9900e-02	  9.9044e-03	  5.8590e-04	  9.7981e-05	  3.0016e-03	  6.0000e-03	  3.6402e-09	  1.0863e-03	  5.2713e-06	  9.7055e-07	  2.1895e-06	  2.5692e-05	  2.0183e-05	  2.0740e-05	  2.0225e-05	  6.0815e+00	  8.1632e-01	
  9.8704e+01	  1.9897e-02	  9.9016e-03	  5.8832e-04	  9.7973e-05	  3.0012e-03	  6.0000e-03	  3.7245e-09	  1.0888e-03	  5.4315e-06	  9.6244e-07	  2.2479e-06	  2.5855e-05	  2.0187e-05	  2.0761e-05	  2.0230e-05	  6.0818e+00	  8.1645e-01	
  1.0111e+02	  1.9894e-02	  9.8989e-03	  5.9075e-04	  9.7965e-05	  3.0009e-03	  6.0000e-03	  3.8085e-09	  1.0912e-03	  5.5934e-06	  9.5437e-07	  2.3065e-06	  2.6019e-05	  2.0192e-05	  2.0781e-05	  2.0236e-05	  6.0821e+00	  8.1657e-01	
  1.0352e+02	  1.9891e-02	  9.8962e-03	  5.9319e-04	  9.7957e-05	  3.0005e-03	  6.0000e-03	  3.8921e-09	  1.0936e-03	  5.7569e-06	  9.4635e-07	  2.3652e-06	  2.6184e-05	  2.0196e-05	  2.0801e-05	  2.0242e-05	  6.0824e+00	  8.1670e-01	
  1.0593e+02	  1.9889e-02	  9.8934e-03	  5.9566e-04	  9.7949e-05	  3.0001e-03	  6.0000e-03	  3.9755e-09	  1.0961e-03	  5.9221e-06	  9.3838e-07	  2.4242e-06	  2.6350e-05	  2.0201e-05	  2.0821e-05	  2.0247e-05	  6.0828e+00	  8.1683e-01	
  1.0833e+02	  1.9886e-02	  9.8906e-03	  5.9813e-04	  9.7941e-05	  2.9997e-03	  6.0000e-03	  4.0585e-09	  1.0986e-03	  6.0889e-06	  9.3045e-07	  2.4833e-06	  2.6517e-05	  2.0206e-05	  2.0842e-05	  2.0253e-05	  6.0831e+00	  8.1696e-01	
  1.1074e+02	  1.9883e-02	  9.8878e-03	  6.0062e-04	  9.7933e-05	  2.9994e-03	  6.0000e-03	  4.1411e-09	  1.1011e-03	  6.2574e-06	  9.2256e-07	  2.5426e-06	  2.6685e-05	  2.0210e-05	  2.0862e-05	  2.0259e-05	  6.0834e+00	  8.1709e-01	
  1.1315e+02	  1.9880e-02	  9.8850e-03	  6.0312e-04	  9.7925e-05	  2.9990e-03	  6.0000e-03	  4.2235e-09	  1.1036e-03	  6.4275e-06	  9.1472e-07	  2.6021e-06	  2.6854e-05	  2.0215e-05	  2.0883e-05	  2.0264e-05	  6.0837e+00	  8.1722e-01	
  1.1556e+02	  1.9877e-02	  9.8822e-03	  6.0564e-04	  9.7917e-05	  2.9986e-03	  6.0000e-03	  4.3056e-09	  1.1061e-03	  6.5994e-06	  9.0692e-07	  2.6617e-06	  2.7025e-05	  2.0219e-05	  2.0904e-05	  2.0270e-05	  6.0840e+00	  8.1735e-01	
  1.1796e+02	  1.9874e-02	  9.8793e-03	  6.0818e-04	  9.7909e-05	  2.9982e-03	  6.0000e-03	  4.3873e-09	  1.1086e-03	  6.7730e-06	  8.9916e-07	  2.7216e-06	  2.7197e-05	  2.0224e-05	  2.0925e-05	  2.0276e-05	  6.0844e+00	  8.1748e-01	
  1.2037e+02	  1.9871e-02	  9.8764e-03	  6.1073e-04	  9.7901e-05	  2.9978e-03	  6.0000e-03	  4.4687e-09	  1.1112e-03	  6.9484e-06	  8.9145e-07	  2.7816e-06	  2.7369e-05	  2.0229e-05	  2.0945e-05	  2.0281e-05	  6.0847e+00	  8.1761e-01	
  1.2278e+02	  1.9868e-02	  9.8735e-03	  6.1329e-04	  9.7893e-05	  2.9974e-03	  6.0000e-03	  4.5498e-09	  1.1137e-03	  7.1255e-06	  8.8378e-07	  2.8418e-06	  2.7543e-05	  2.0233e-05	  2.0966e-05	  2.0287e-05	  6.0850e+00	  8.1774e-01	
  1.2519e+02	  1.9865e-02	  9.8706e-03	  6.1587e-04	  9.7885e-05	  2.9970e-03	  6.0000e-03	  4.6306e-09	  1.1163e-03	  7.3044e-06	  8.7615e-07	  2.9022e-06	  2.7719e-05	  2.0238e-05	  2.0987e-05	  2.0293e-05	  6.0853e+00	  8.1787e-01	
  1.2759e+02	  1.9862e-02	  9.8677e-03	  6.1846e-04	  9.7877e-05	  2.9966e-03	  6.0000e-03	  4.7111e-09	  1.1189e-03	  7.4851e-06	  8.6857e-07	  2.9627e-06	  2.7895e-05	  2.0243e-05	  2.1009e-05	  2.0298e-05	  6.0857e+00	  8.1800e-01	
  1.3000e+02	  1.9859e-02	  9.8647e-03	  6.2107e-04	  9.7869e-05	  2.9962e-03	  6.0000e-03	  4.7912e-09	  1.1215e-03	  7.6676e-06	  8.6103e-07	  3.0235e-06	  2.8073e-05	  2.0247e-05	  2.1030e-05	  2.0304e-05	  6.0860e+00	  8.1814e-01	
  1.3241e+02	  1.9856e-02	  9.8618e-03	  6.2370e-04	  9.7861e-05	  2.9958e-03	  6.0000e-03	  4.8711e-09	  1.1241e-03	  7.8520e-06	  8.5353e-07	  3.0844e-06	  2.8251e-05	  2.0252e-05	  2.1051e-05	  2.0310e-05	  6.0863e+00	  8.1827e-01	
  1.3481e+02	  1.9852e-02	  9.8588e-03	  6.2634e-04	  9.7853e-05	  2.9954e-03	  6.0000e-03	  4.9506e-09	  1.1267e-03	  8.0382e-06	  8.4608e-07	  3.1455e-06	  2.8431e-05	  2.0256e-05	  2.1073e-05	  2.0315e-05	  6.0866e+00	  8.1840e-01	
  1.3722e+02	  1.9849e-02	  9.8558e-03	  6.2899e-04	  9.7845e-05	  2.9950e-03	  6.0000e-03	  5.0298e-09	  1.1294e-03	  8.2263e-06	  8.3867e-07	  3.2067e-06	  2.8613e-05	  2.0261e-05	  2.1094e-05	  2.0321e-05	  6.0870e+00	  8.1853e-01	
  1.3963e+02	  1.9846e-02	  9.8528e-03	  6.3166e-04	  9.7837e-05	  2.9946e-03	  6.0000e-03	  5.1088e-09	  1.1321e-03	  8.4163e-06	  8.3130e-07	  3.2682e-06	  2.8795e-05	  2.0266e-05	  2.1116e-05	  2.0327e-05	  6.0873e+00	  8.1867e-01	
  1.4204e+02	  1.9843e-02	  9.8497e-03	  6.3435e-04	  9.7829e-05	  2.9942e-03	  6.0000e-03	  5.1874e-09	  1.1347e-03	  8.6082e-06	  8.2397e-07	  3.3298e-06	  2.8979e-05	  2.0270e-05	  2.1137e-05	  2.0332e-05	  6.0876e+00	  8.1880e-01	
  1.4444e+02	  1.9840e-02	  9.8467e-03	  6.3705e-04	  9.7820e-05	  2.9938e-03	  6.0000e-03	  5.2657e-09	  1.1374e-03	  8.8021e-06	  8.1669e-07	  3.3916e-06	  2.9164e-05	  2.0275e-05	  2.1159e-05	  2.0338e-05	  6.0880e+00	  8.1893e-01	
  1.4685e+02	  1.9837e-02	  9.8436e-03	  6.3977e-04	  9.7812e-05	  2.9934e-03	  6.0000e-03	  5.3436e-09	  1.1402e-03	  8.9979e-06	  8.0944e-07	  3.4536e-06	  2.9350e-05	  2.0280e-05	  2.1181e-05	  2.0344e-05	  6.0883e+00	  8.1907e-01	
  1.4926e+02	  1.9833e-02	  9.8405e-03	  6.4251e-04	  9.7804e-05	  2.9930e-03	  6.0000e-03	  5.4213e-09	  1.1429e-03	  9.1957e-06	  8.0224e-07	  3.5157e-06	  2.9537e-05	  2.0284e-05	  2.1203e-05	  2.0349e-05	  6.0886e+00	  8.1920e-01	
  1.5167e+02	  1.9830e-02	  9.8374e-03	  6.4526e-04	  9.7796e-05	  2.9926e-03	  6.0000e-03	  5.4987e-09	  1.1456e-03	  9.3955e-06	  7.9508e-07	  3.5781e-06	  2.9726e-05	  2.0289e-05	  2.1225e-05	  2.0355e-05	  6.0890e+00	  8.1934e-01	
  1.5407e+02	  1.9827e-02	  9.8342e-03	  6.4802e-04	  9.7788e-05	  2.9922e-03	  6.0000e-03	  5.5758e-09	  1.1484e-03	  9.5974e-06	  7.8797e-07	  3.6406e-06	  2.9916e-05	  2.0294e-05	  2.1247e-05	  2.0361e-05	  6.0893e+00	  8.1947e-01	
  1.5648e+02	  1.9824e-02	  9.8310e-03	  6.5081e-04	  9.7779e-05	  2.9918e-03	  6.0000e-03	  5.6525e-09	  1.1512e-03	  9.8013e-06	  7.8089e-07	  3.7032e-06	  3.0107e-05	  2.0298e-05	  2.1269e-05	  2.0366e-05	  6.0896e+00	  8.1961e-01	
  1.5889e+02	  1.9820e-02	  9.8279e-03	  6.5361e-04	  9.7771e-05	  2.9914e-03	  6.0000e-03	  5.7290e-09	  1.1540e-03	  1.0007e-05	  7.7386e-07	  3.7661e-06	  3.0300e-05	  2.0303e-05	  2.1291e-05	  2.0372e-05	  6.0900e+00	  8.1974e-01	
  1.6130e+02	  1.9817e-02	  9.8247e-03	  6.5642e-04	  9.7763e-05	  2.9909e-03	  6.0000e-03	  5.8051e-09	  1.1568e-03	  1.0215e-05	  7.6687e-07	  3.8291e-06	  3.0494e-05	  2.0308e-05	  2.1313e-05	  2.0378e-05	  6.0903e+00	  8.1988e-01	
  1.6370e+02	  1.9814e-02	  9.8214e-03	  6.5926e-04	  9.7755e-05	  2.9905e-03	  6.0000e-03	  5.8809e-09	  1.1596e-03	  1.0425e-05	  7.5991e-07	  3.8923e-06	  3.0689e-05	  2.0312e-05	  2.1336e-05	  2.0384e-05	  6.0906e+00	  8.2002e-01	
  1.6611e+02	  1.9810e-02	  9.8182e-03	  6.6211e-04	  9.7747e-05	  2.9901e-03	  6.0000e-03	  5.9565e-09	  1.1624e-03	  1.0638e-05	  7.5300e-07	  3.9557e-06	  3.0885e-05	  2.0317e-05	  2.1358e-05	  2.0389e-05	  6.0910e+00	  8.2015e-01	
  1.6852e+02	  1.9807e-02	  9.8149e-03	  6.6497e-04	  9.7738e-05	  2.9897e-03	  6.0000e-03	  6.0317e-09	  1.1653e-03	  1.0852e-05	  7.4614e-07	  4.0193e-06	  3.1083e-05	  2.0321e-05	  2.1381e-05	  2.0395e-05	  6.0913e+00	  8.2029e-01	
  1.7093e+02	  1.9803e-02	  9.8116e-03	  6.6785e-04	  9.7730e-05	  2.9893e-03	  6.0000e-03	  6.1066e-09	  1.1682e-03	  1.1069e-05	  7.3931e-07	  4.0830e-06	  3.1283e-05	  2.0326e-05	  2.1404e-05	  2.0401e-05	  6.0917e+00	  8.2043e-01	
  1.7333e+02	  1.9800e-02	  9.8083e-03	  6.7075e-04	  9.7722e-05	  2.9888e-03	  6.0000e-03	  6.1813e-09	  1.1710e-03	  1.1288e-05	  7.3252e-07	  4.1469e-06	  3.1483e-05	  2.0331e-05	  2.1427e-05	  2.0406e-05	  6.0920e+00	  8.2057e-01	
  1.7574e+02	  1.9797e-02	  9.8050e-03	  6.7367e-04	  9.7713e-05	  2.9884e-03	  6.0000e-03	  6.2556e-09	  1.1740e-03	  1.1509e-05	  7.2578e-07	  4.2110e-06	  3.1685e-05	  2.0335e-05	  2.1449e-05	  2.0412e-05	  6.0924e+00	  8.2070e-01	
  1.7815e+02	  1.9793e-02	  9.8017e-03	  6.7660e-04	  9.7705e-05	  2.9880e-03	  6.0000e-03	  6.3296e-09	  1.1769e-03	  1.1732e-05	  7.1907e-07	  4.2753e-06	  3.1889e-05	  2.0340e-05	  2.1472e-05	  2.0418e-05	  6.0927e+00	  8.2084e-01	
  1.8056e+02	  1.9790e-02	  9.7983e-03	  6.7955e-04	  9.7697e-05	  2.9875e-03	  6.0000e-03	  6.4034e-09	  1.1798e-03	  1.1958e-05	  7.1240e-07	  4.3397e-06	  3.2093e-05	  2.0345e-05	  2.1495e-05	  2.0424e-05	  6.0930e+00	  8.2098e-01	
  1.8296e+02	  1.9786e-02	  9.7949e-03	  6.8252e-04	  9.7688e-05	  2.9871e-03	  6.0000e-03	  6.4768e-09	  1.1828e-03	  1.2186e-05	  7.0578e-07	  4.4043e-06	  3.2299e-05	  2.0349e-05	  2.1519e-05	  2.0429e-05	  6.0934e+00	  8.2112e-01	
  1.8537e+02	  1.9782e-02	  9.7915e-03	  6.8551e-04	  9.7680e-05	  2.9867e-03	  6.0000e-03	  6.5499e-09	  1.1857e-03	  1.2416e-05	  6.9920e-07	  4.4691e-06	  3.2507e-05	  2.0354e-05	  2.1542e-05	  2.0435e-05	  6.0937e+00	  8.2126e-01	
  1.8778e+02	  1.9779e-02	  9.7880e-03	  6.8851e-04	  9.7672e-05	  2.9862e-03	  6.0000e-03	  6.6228e-09	  1.1887e-03	  1.2648e-05	  6.9265e-07	  4.5340e-06	  3.2716e-05	  2.0359e-05	  2.1565e-05	  2.0441e-05	  6.0941e+00	  8.2140e-01	
  1.9019e+02	  1.9775e-02	  9.7846e-03	  6.9153e-04	  9.7663e-05	  2.9858e-03	  6.0000e-03	  6.6953e-09	  1.1917e-03	  1.2883e-05	  6.8615e-07	  4.5991e-06	  3.2926e-05	  2.0364e-05	  2.1589e-05	  2.0446e-05	  6.0944e+00	  8.2154e-01	
  1.9259e+02	  1.9772e-02	  9.7811e-03	  6.9457e-04	  9.7655e-05	  2.9854e-03	  6.0000e-03	  6.7675e-09	  1.1948e-03	  1.3121e-05	  6.7968e-07	  4.6644e-06	  3.3138e-05	  2.0368e-05	  2.1612e-05	  2.0452e-05	  6.0948e+00	  8.2168e-01	
  1.9500e+02	  1.9768e-02	  9.7776e-03	  6.9763e-04	  9.7647e-05	  2.9849e-03	  6.0000e-03	  6.8395e-09	  1.1978e-03	  1.3360e-05	  6.7326e-07	  4.7299e-06	  3.3352e-05	  2.0373e-05	  2.1636e-05	  2.0458e-05	  6.0951e+00	  8.2182e-01	
  1.9741e+02	  1.9764e-02	  9.7741e-03	  7.0070e-04	  9.7638e-05	  2.9845e-03	  6.0000e-03	  6.9111e-09	  1.2009e-03	  1.3603e-05	  6.6688e-07	  4.7955e-06	  3.3567e-05	  2.0378e-05	  2.1659e-05	  2.0464e-05	  6.0955e+00	  8.2196e-01	
  1.9981e+02	  1.9761e-02	  9.7705e-03	  7.0379e-04	  9.7630e-05	  2.9840e-03	  6.0000e-03	  6.9825e-09	  1.2040e-03	  1.3847e-05	  6.6053e-07	  4.8613e-06	  3.3783e-05	  2.0382e-05	  2.1683e-05	  2.0469e-05	  6.0959e+00	  8.2210e-01	
  2.0222e+02	  1.9757e-02	  9.7670e-03	  7.0690e-04	  9.7622e-05	  2.9836e-03	  6.0000e-03	  7.0536e-09	  1.2071e-03	  1.4094e-05	  6.5423e-07	  4.9273e-06	  3.4001e-05	  2.0387e-05	  2.1707e-05	  2.0475e-05	  6.0962e+00	  8.2225e-01	
