salinity,rate
1.7147289,469.2530972
1.983154957,478.8533495
1.434028627,498.5057843
2.618457634,550.3744725
2.168886843,576.2949741
2.57151697,604.1352185
3.920952057,552.1857828
4.256483135,540.6657877
4.010425419,577.540282
4.861473575,659.363777
4.656216428,690.197836
4.242016882,287.1307932
4.644647008,299.6107879
5.270339362,506.4687823
5.516397079,541.0287675
6.045353079,523.9179604
6.474759513,491.3525698
6.89975798,514.3925599
8.233657673,498.2335495
8.673146285,510.9770634
9.273155364,490.5535528
11.71597524,342.2716829
12.11860536,322.1111788
12.78966752,315.3911817
12.78966752,326.9111768
13.68046502,363.6549368
14.0159961,347.3346874
14.77275678,188.9591075
15.41750851,195.9426239
15.12672008,224.7431243
15.66043048,479.5293225
16.28281387,458.1458123
16.43939822,465.825809
17.62467538,507.3639274
17.96020048,495.8439323
18.65362501,486.2436801
21.83078346,355.6952713
22.50184561,380.6555169
21.61439888,360.8090314
25.61252022,353.733232
26.1717347,353.733232
27.33492424,143.3848893
26.9994051,159.7051387
28.02836071,152.9851416
