salinity,rate
0.763427994,1
1.017033339,0.911627908
1.176091259,0.869767441
1.477121255,0.823255813
1.648360011,0.562790697
1.84509804,0.437209303
1.954242509,0.390697675
2.06069784,0.302325581
2.146128036,0.213953488
2.206825876,0.130232557
2.243038049,0.083720929
2.278753601,0
0.167115704,0.669064748
0.235999176,0.582733813
0.597015836,0.338129496
0.629587078,0.597122302
0.628909287,0.683453237
0.428582588,0.877697842
0.186484911,0.863309353
0.307807781,0.820143885
0.252580976,0.776978417
0.696412911,0.971223022
0.780605689,1
0.798259509,0.942446043
0.744462835,0.870503597
0.689634161,0.90647482
0.667606035,0.856115108
0.815297264,0.870503597
0.836905198,0.798561151
0.913610824,0.597122302
0.95906888,0.561151079
1.06936592,0.45323741
1.078193966,0.517985611
1.10427467,0.474820144
1.106388397,0.73381295
1.146464642,0.661870503
1.13635664,0.589928058
1.168961579,0.568345324
1.187985282,0.503597122
1.199106243,0.633093525
1.218831714,0.669064748
1.212507991,0.582733813
1.270415144,0.17266187
1.253011024,0.100719424
1.243051793,0.050359712
1.341051705,0
1.352235965,0.021582734
1.412248721,0.35971223
1.416279476,0.424460432
1.431148128,0.338129496
1.437755479,0.287769784
1.445541783,0.237410072
