salinity,rate
0.001961763,1.082157217
0.001891541,0.960780736
0.010918714,0.982463647
0.018312708,1.076330642
0.053128768,1.061669823
0.102083797,1.067697748
0.159313693,0.969401046
0.266209408,0.847420514
0.461424199,0.856934316
1.59196019,0.926400171
0.88403407,0.69433136
2.745487603,0.64249624
4.754102998,0.594675543
15.29845375,0.610255023
7.396579575,0.317630107
42.67369585,0.308959459
22.91922011,0.134262901
71.09629085,0.014975429
132.882719,0.41226475
411.300465,0.164817809
