salinity,rate
1.835644427,91.77083333
1.666499196,86.5625
2.142115488,82.39583333
1.561830118,71.45833333
1.971295552,76.14583333
2.606008842,70.9375
2.271905145,63.125
1.625468917,61.04166667
2.660436763,54.79166667
3.86789925,55.83333333
4.10068328,50.625
4.577136924,46.97916667
4.329280547,42.8125
4.319232315,36.5625
4.283226152,64.16666667
4.614817792,70.41666667
4.86602358,76.66666667
5.341639871,72.5
5.750267953,76.66666667
5.407790729,63.64583333
6.093582529,90.20833333
6.427686227,98.02083333
6.196576902,104.2708333
6.909163987,47.5
6.577572347,41.25
6.889904877,35.52083333
8.439007235,49.0625
8.75636388,46.45833333
9.173365488,55.83333333
11.82861066,57.39583333
12.86357851,51.14583333
12.21463023,47.5
12.88702438,65.72916667
13.86337755,73.02083333
14.19245713,77.70833333
15.5238478,55.83333333
15.35470257,50.625
15.83366827,48.54166667
16.4801045,50.625
16.55462889,46.97916667
18.72337219,45.9375
17.99152599,40.72916667
21.90531217,25.10416667
22.0602224,21.45833333
22.55928457,31.875
26.41278135,28.75
25.99410504,18.33333333
27.19821811,17.29166667
28.08832395,20.9375
27.5289724,23.02083333
