salinity,rate
0.144,0.19
0.371,0.12
0.38,0.21
0.304,0.19
0.239,0.2
0.431,0.17
0.255,0.1
0.31,0.16
0.784,0.2
0.489,0.16
0.402,0.18
0.329,0.2
0.591,0.17
1.164,0.12
0.97,0.21
1.018,0.17
4.49,0.12
1.313,0.2
2.76,0.16
5.06,0.2
1.859,0.19
1.75,0.1
2.44,0.12
2.24,0.16
4.16,0.13
6.94,0.08
1.865,0.13
6.74,0.07
3.41,0.11
5.27,0.08
3.84,0.09
3.33,0.14
5.48,0.08
9.75,0
13.65,0
7.05,0.05
10.85,0.02
