salinity,rate
1.469317678,322.972973
1.721865308,298.6486486
3.953810368,229.7297297
4.261741249,302.7027027
4.255095259,327.027027
2.682764732,381.7567568
1.536331413,377.7027027
2.031457687,365.5405405
1.788879043,353.3783784
4.970646876,408.1081081
6.034005317,416.2162162
6.284337616,400
5.552171023,379.7297297
4.893664156,389.8648649
4.651639344,375.6756757
6.535777581,379.7297297
6.869184759,359.4594595
8.196167479,302.7027027
9.100575986,292.5675676
11.73183429,262.1621622
11.97275144,280.4054054
12.71377935,268.2432432
12.7758086,341.2162162
14.01085512,320.9459459
13.68852459,300.6756757
14.75575986,294.5945946
15.41648206,276.3513514
15.81634914,312.8378378
16.55128489,322.972973
16.31202924,298.6486486
18.63867966,183.1081081
17.90651307,162.8378378
17.50055383,148.6486486
21.93066017,134.4594595
22.50276916,140.5405405
25.83739477,235.8108108
26.07831192,254.0540541
26.98659725,229.7297297
27.40031015,215.5405405
27.89599025,201.3513514
