salinity,rate
0.144,44.974
0.239,36.23
0.255,67.064
0.304,40.777
0.31,34.467
0.329,54.722
0.371,54.853
0.38,86.444
0.402,49.562
0.431,42.332
0.489,39.207
0.591,44.736
0.784,33.318
0.97,40.064
1.018,35.054
1.164,40.895
1.313,36.021
1.75,42.424
1.859,24.197
1.865,55.898
2.24,5.679
2.44,35.791
2.76,18.387
3.33,7.362
3.41,12.836
3.84,9.327
4.16,8.277
4.49,6.613
5.06,7.465
5.27,28.388
5.48,20.567
6.74,3.38
6.94,4.705
7.05,0.328
9.75,3.468
10.85,3.128
13.65,11.612
