salinity,rate
1.40812749,59.38932271
2.131633466,59.08334661
2.704063745,54.01306773
1.660557769,53.67904382
2.473306773,48.93003984
1.996494024,46.38278884
1.359681275,43.51553785
3.942629482,37.20733068
4.173386454,42.29035857
3.924780876,46.09593625
5.372430279,45.16653386
5.527330677,48.02613546
4.956812749,52.14406375
4.626613546,56.58326693
4.771314741,64.52207171
6.063426295,61.05051793
5.912988048,55.96876494
6.252111554,47.08525896
4.131314741,23.24207171
4.620876494,19.44031873
4.386932271,15.94454183
6.550438247,18.51856574
7.025976096,21.70071713
6.770358566,28.99824701
8.248605578,52.83123506
8.57625498,49.66183267
9.155697211,41.09960159
11.82278884,32.88796813
12.69928287,36.39394422
13.83330677,31.65003984
12.7936255,29.41131474
12.07458167,27.49513944
13.92701195,24.98486056
15.052749,24.36780876
15.30326693,19.60988048
15.86868526,18.03155378
15.23187251,15.16430279
16.40988048,28.51633466
16.40223108,32.32573705
17.66884462,41.55219124
17.84286853,34.88828685
18.57657371,29.50310757
21.72557769,21.29912351
22.52239044,24.4863745
21.87282869,27.96812749
25.89705179,23.90501992
26.14438247,20.73434263
27.19681275,16.62406375
28.07649402,18.54278884
26.15266932,16.60749004
27.60605578,12.82103586
