salinity,rate
0.00204425,0.996779624
0.002038746,0.931201054
0.001952329,0.877845276
0.011437207,0.87279514
0.018115759,1.058039962
0.042867929,1.006294372
0.052193792,0.793529971
0.10167944,1.01193003
0.11903266,0.844177706
0.151930789,0.779038279
0.281054559,0.739149528
0.375179349,0.764253824
0.461986227,0.826099685
0.883620058,0.597745737
1.001826211,0.651247896
1.575897983,0.668447632
2.383875902,0.734758106
4.580325268,0.617067994
9.60008828,0.61428676
13.9206652,0.651833419
7.113274392,0.322769524
23.3654414,0.247017492
26.4554584,0.267730367
40.20193667,0.444704677
62.5497115,0.195491473
120.5264108,0.147478592
398.2431502,0.215179682
