          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	       CaPO4	      Fe3PO4	     CaMgCO3	
  7.1872e+00	  1.2462e-02	  5.1081e-04	  1.6592e-03	  1.9760e-03	  8.0183e-05	  1.3084e-02	  5.6762e-04	  3.5697e-04	  4.5480e-04	  4.0078e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1878e+00	  1.2484e-02	  5.1162e-04	  1.6655e-03	  1.9835e-03	  8.0106e-05	  1.3110e-02	  5.7593e-04	  3.5753e-04	  4.7504e-04	  4.0188e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1883e+00	  1.2506e-02	  5.1241e-04	  1.6716e-03	  1.9908e-03	  8.0032e-05	  1.3135e-02	  5.8394e-04	  3.5807e-04	  4.9455e-04	  4.0294e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1888e+00	  1.2527e-02	  5.1317e-04	  1.6775e-03	  1.9978e-03	  7.9960e-05	  1.3159e-02	  5.9165e-04	  3.5860e-04	  5.1336e-04	  4.0395e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1893e+00	  1.2547e-02	  5.1390e-04	  1.6832e-03	  2.0046e-03	  7.9892e-05	  1.3183e-02	  5.9908e-04	  3.5910e-04	  5.3151e-04	  4.0494e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1898e+00	  1.2567e-02	  5.1461e-04	  1.6887e-03	  2.0111e-03	  7.9826e-05	  1.3205e-02	  6.0624e-04	  3.5958e-04	  5.4902e-04	  4.0588e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1903e+00	  1.2585e-02	  5.1529e-04	  1.6940e-03	  2.0174e-03	  7.9763e-05	  1.3227e-02	  6.1313e-04	  3.6005e-04	  5.6590e-04	  4.0680e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1907e+00	  1.2603e-02	  5.1594e-04	  1.6991e-03	  2.0235e-03	  7.9703e-05	  1.3248e-02	  6.1978e-04	  3.6050e-04	  5.8219e-04	  4.0768e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1911e+00	  1.2621e-02	  5.1657e-04	  1.7041e-03	  2.0294e-03	  7.9644e-05	  1.3268e-02	  6.2618e-04	  3.6094e-04	  5.9790e-04	  4.0853e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1915e+00	  1.2638e-02	  5.1718e-04	  1.7088e-03	  2.0351e-03	  7.9588e-05	  1.3288e-02	  6.3236e-04	  3.6136e-04	  6.1305e-04	  4.0935e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1919e+00	  1.2654e-02	  5.1777e-04	  1.7135e-03	  2.0406e-03	  7.9534e-05	  1.3307e-02	  6.3831e-04	  3.6176e-04	  6.2767e-04	  4.1015e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1923e+00	  1.2670e-02	  5.1834e-04	  1.7179e-03	  2.0459e-03	  7.9482e-05	  1.3325e-02	  6.4404e-04	  3.6215e-04	  6.4177e-04	  4.1091e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1927e+00	  1.2685e-02	  5.1889e-04	  1.7222e-03	  2.0511e-03	  7.9432e-05	  1.3343e-02	  6.4957e-04	  3.6253e-04	  6.5538e-04	  4.1165e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1930e+00	  1.2699e-02	  5.1942e-04	  1.7264e-03	  2.0560e-03	  7.9384e-05	  1.3360e-02	  6.5490e-04	  3.6289e-04	  6.6851e-04	  4.1236e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1934e+00	  1.2713e-02	  5.1992e-04	  1.7304e-03	  2.0608e-03	  7.9338e-05	  1.3376e-02	  6.6004e-04	  3.6324e-04	  6.8118e-04	  4.1304e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1937e+00	  1.2727e-02	  5.2042e-04	  1.7343e-03	  2.0654e-03	  7.9294e-05	  1.3392e-02	  6.6499e-04	  3.6358e-04	  6.9340e-04	  4.1371e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1940e+00	  1.2740e-02	  5.2089e-04	  1.7380e-03	  2.0699e-03	  7.9251e-05	  1.3407e-02	  6.6977e-04	  3.6390e-04	  7.0519e-04	  4.1435e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1943e+00	  1.2753e-02	  5.2135e-04	  1.7416e-03	  2.0742e-03	  7.9210e-05	  1.3422e-02	  6.7437e-04	  3.6422e-04	  7.1657e-04	  4.1496e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1946e+00	  1.2765e-02	  5.2179e-04	  1.7451e-03	  2.0784e-03	  7.9170e-05	  1.3436e-02	  6.7882e-04	  3.6452e-04	  7.2755e-04	  4.1556e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1949e+00	  1.2777e-02	  5.2221e-04	  1.7485e-03	  2.0824e-03	  7.9132e-05	  1.3450e-02	  6.8310e-04	  3.6481e-04	  7.3815e-04	  4.1613e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1952e+00	  1.2788e-02	  5.2262e-04	  1.7518e-03	  2.0863e-03	  7.9095e-05	  1.3463e-02	  6.8723e-04	  3.6510e-04	  7.4837e-04	  4.1669e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1955e+00	  1.2799e-02	  5.2302e-04	  1.7549e-03	  2.0900e-03	  7.9060e-05	  1.3476e-02	  6.9121e-04	  3.6537e-04	  7.5824e-04	  4.1722e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1957e+00	  1.2810e-02	  5.2340e-04	  1.7580e-03	  2.0936e-03	  7.9026e-05	  1.3489e-02	  6.9506e-04	  3.6563e-04	  7.6776e-04	  4.1774e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1960e+00	  1.2820e-02	  5.2377e-04	  1.7609e-03	  2.0971e-03	  7.8993e-05	  1.3501e-02	  6.9876e-04	  3.6588e-04	  7.7695e-04	  4.1824e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1962e+00	  1.2830e-02	  5.2413e-04	  1.7638e-03	  2.1005e-03	  7.8961e-05	  1.3512e-02	  7.0234e-04	  3.6613e-04	  7.8581e-04	  4.1872e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
