"","Na","K","Ca","Mg","PO4","Cl","NH4","SO4"
"1",0.602780899872431,0.164303051291276,0.245145161827925,0.293047400140339,-0.867500567704723,1.51686083640195,0.10483406131558,0.955511445027436
"2",0.888946191042815,0.354821375289409,0.541819892161709,0.619443984772811,-0.441832752279039,2.14712600693198,0.195796255377315,0.514817645035528
"3",1.2315654794841,0.27714285856361,0.502151750621212,0.67868135102131,-0.538996500732687,2.11746392201015,0.257105707214024,0.924002852360494
"4",1.37157906209487,0.340791897765729,0.585912250107769,0.764071518896644,-0.544727175441672,2.30942088144015,0.271269042810451,1.22125124012621
"5",1.55132666383888,0.413513441290993,0.617215222492418,0.774682425823988,-0.722134717433198,2.30069218509526,0.402359515550011,1.23324601467635
"6",1.44537848967393,0.433944579430033,0.808282551091898,0.8783056186891,-1.69644928942373,1.96394490296362,0.413370287615278,1.59986846141795
"7",1.66315343355025,0.44514359192634,0.727186222783368,0.8783056186891,-1.07044141170141,2.12252817644327,0.468478075936899,1.6141885151927
"8",1.61452615989392,0.534976083998274,0.785958181161464,0.996657273747413,-1.27296567581289,2.09544591579657,0.418083572067376,2.12026353620009
"9",1.66329586658695,0.545763675127271,0.923999041609986,1.02490909288097,-1.47590651980958,2.18251372681965,0.492191544221098,2.00485268468876
"10",1.70360183316933,0.570544858467613,0.817639471986564,1.07880966137193,-1.32175583998232,2.39226966149813,0.483426649577876,2.03339760317843
"11",1.79233753340927,0.618423634364009,0.87184481553002,1.15300334413811,-1.26113121816588,2.44582373937032,0.445397818443536,2.09801792725277
"12",1.6790424514988,0.618423634364009,0.927310867589985,1.14123910512987,-1.51412773262978,2.19917400745877,0.47505839990736,2.11797520568208
"13",1.71178692943726,0.64814981462921,0.954801570645387,1.14123910512987,-1.52939520476056,2.17748723353363,0.488414191088915,1.81645208181843
"14",1.78730511887867,0.708249948745702,0.925077636482464,1.24302179943982,-1.13943428318837,2.24224096419485,0.448390152825198,1.79360960851622
"15",1.68153706554012,0.654925967739748,0.942466867042427,1.24302179943982,-1.38629436111989,2.11087174498679,0.446708066642213,1.7559403714231
"16",0.602780899872431,0.164303051291276,0.245145161827925,0.293047400140339,-0.867500567704723,1.51686083640195,0.10483406131558,0.955511445027436
"17",0.888946191042815,0.354821375289409,0.541819892161709,0.619443984772811,-0.441832752279039,2.14712600693198,0.195796255377315,0.514817645035528
"18",1.2315654794841,0.27714285856361,0.502151750621212,0.67868135102131,-0.538996500732687,2.11746392201015,0.257105707214024,0.924002852360494
"19",1.37157906209487,0.340791897765729,0.585912250107769,0.764071518896644,-0.544727175441672,2.30942088144015,0.271269042810451,1.22125124012621
"20",1.55132666383888,0.413513441290993,0.617215222492418,0.774682425823988,-0.722134717433198,2.30069218509526,0.402359515550011,1.23324601467635
"21",1.44537848967393,0.433944579430033,0.808282551091898,0.8783056186891,-1.69644928942373,1.96394490296362,0.413370287615278,1.59986846141795
"22",1.66315343355025,0.44514359192634,0.727186222783368,0.8783056186891,-1.07044141170141,2.12252817644327,0.468478075936899,1.6141885151927
"23",1.61452615989392,0.534976083998274,0.785958181161464,0.996657273747413,-1.27296567581289,2.09544591579657,0.418083572067376,2.12026353620009
"24",1.66329586658695,0.545763675127271,0.923999041609986,1.02490909288097,-1.47590651980958,2.18251372681965,0.492191544221098,2.00485268468876
"25",1.70360183316933,0.570544858467613,0.817639471986564,1.07880966137193,-1.32175583998232,2.39226966149813,0.483426649577876,2.03339760317843
"26",1.79233753340927,0.618423634364009,0.87184481553002,1.15300334413811,-1.26113121816588,2.44582373937032,0.445397818443536,2.09801792725277
"27",1.6790424514988,0.618423634364009,0.927310867589985,1.14123910512987,-1.51412773262978,2.19917400745877,0.47505839990736,2.11797520568208
"28",1.71178692943726,0.64814981462921,0.954801570645387,1.14123910512987,-1.52939520476056,2.17748723353363,0.488414191088915,1.81645208181843
"29",1.78730511887867,0.708249948745702,0.925077636482464,1.24302179943982,-1.13943428318837,2.24224096419485,0.448390152825198,1.79360960851622
"30",1.68153706554012,0.654925967739748,0.942466867042427,1.24302179943982,-1.38629436111989,2.11087174498679,0.446708066642213,1.7559403714231
