          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	       CaPO4	      Fe3PO4	     CaMgCO3	
  6.4348e+00	  1.2644e-01	  2.5049e-03	  2.3032e-02	  5.3557e-03	  1.7242e-05	  1.4304e-01	  1.3875e-02	  4.3176e-04	  8.2283e-03	  3.4488e+04	  1.1109e-01	  9.4452e-02	  0.0000e+00	  2.0133e-01	  1.9803e-01	  0.0000e+00	
  6.4268e+00	  1.3091e-01	  2.5843e-03	  2.3648e-02	  5.5179e-03	  1.7537e-05	  1.4803e-01	  1.4374e-02	  4.3187e-04	  8.4768e-03	  3.5528e+04	  1.1269e-01	  9.3652e-02	  0.0000e+00	  2.0151e-01	  1.9776e-01	  0.0000e+00	
  6.4193e+00	  1.3522e-01	  2.6611e-03	  2.4240e-02	  5.6750e-03	  1.7824e-05	  1.5284e-01	  1.4855e-02	  4.3197e-04	  8.7159e-03	  3.6528e+04	  1.1423e-01	  9.2882e-02	  0.0000e+00	  2.0168e-01	  1.9750e-01	  0.0000e+00	
  6.4121e+00	  1.3939e-01	  2.7352e-03	  2.4811e-02	  5.8272e-03	  1.8102e-05	  1.5749e-01	  1.5320e-02	  4.3206e-04	  8.9460e-03	  3.7488e+04	  1.1571e-01	  9.2143e-02	  0.0000e+00	  2.0184e-01	  1.9725e-01	  0.0000e+00	
  6.4052e+00	  1.4341e-01	  2.8067e-03	  2.5361e-02	  5.9748e-03	  1.8372e-05	  1.6198e-01	  1.5769e-02	  4.3215e-04	  9.1674e-03	  3.8410e+04	  1.1713e-01	  9.1432e-02	  0.0000e+00	  2.0200e-01	  1.9701e-01	  0.0000e+00	
  6.3987e+00	  1.4730e-01	  2.8758e-03	  2.5890e-02	  6.1177e-03	  1.8634e-05	  1.6632e-01	  1.6203e-02	  4.3223e-04	  9.3806e-03	  3.9297e+04	  1.1850e-01	  9.0748e-02	  0.0000e+00	  2.0216e-01	  1.9678e-01	  0.0000e+00	
  6.3925e+00	  1.5105e-01	  2.9426e-03	  2.6401e-02	  6.2562e-03	  1.8888e-05	  1.7050e-01	  1.6621e-02	  4.3231e-04	  9.5857e-03	  4.0150e+04	  1.1982e-01	  9.0091e-02	  0.0000e+00	  2.0231e-01	  1.9655e-01	  0.0000e+00	
  6.3866e+00	  1.5468e-01	  3.0070e-03	  2.6892e-02	  6.3903e-03	  1.9134e-05	  1.7454e-01	  1.7025e-02	  4.3238e-04	  9.7832e-03	  4.0970e+04	  1.2108e-01	  8.9458e-02	  0.0000e+00	  2.0245e-01	  1.9634e-01	  0.0000e+00	
  6.3810e+00	  1.5818e-01	  3.0693e-03	  2.7366e-02	  6.5202e-03	  1.9373e-05	  1.7845e-01	  1.7416e-02	  4.3245e-04	  9.9733e-03	  4.1758e+04	  1.2230e-01	  8.8850e-02	  0.0000e+00	  2.0258e-01	  1.9614e-01	  0.0000e+00	
  6.3756e+00	  1.6156e-01	  3.1294e-03	  2.7823e-02	  6.6460e-03	  1.9604e-05	  1.8221e-01	  1.7793e-02	  4.3251e-04	  1.0156e-02	  4.2517e+04	  1.2347e-01	  8.8264e-02	  0.0000e+00	  2.0272e-01	  1.9594e-01	  0.0000e+00	
  6.3705e+00	  1.6482e-01	  3.1874e-03	  2.8263e-02	  6.7678e-03	  1.9829e-05	  1.8585e-01	  1.8156e-02	  4.3257e-04	  1.0333e-02	  4.3247e+04	  1.2460e-01	  8.7701e-02	  0.0000e+00	  2.0284e-01	  1.9575e-01	  0.0000e+00	
  6.3656e+00	  1.6797e-01	  3.2434e-03	  2.8687e-02	  6.8857e-03	  2.0046e-05	  1.8937e-01	  1.8508e-02	  4.3263e-04	  1.0502e-02	  4.3949e+04	  1.2568e-01	  8.7159e-02	  0.0000e+00	  2.0296e-01	  1.9557e-01	  0.0000e+00	
  6.3609e+00	  1.7102e-01	  3.2976e-03	  2.9096e-02	  6.9999e-03	  2.0256e-05	  1.9276e-01	  1.8847e-02	  4.3268e-04	  1.0666e-02	  4.4625e+04	  1.2672e-01	  8.6637e-02	  0.0000e+00	  2.0308e-01	  1.9539e-01	  0.0000e+00	
  6.3564e+00	  1.7395e-01	  3.3498e-03	  2.9490e-02	  7.1104e-03	  2.0460e-05	  1.9604e-01	  1.9175e-02	  4.3273e-04	  1.0823e-02	  4.5276e+04	  1.2773e-01	  8.6135e-02	  0.0000e+00	  2.0319e-01	  1.9522e-01	  0.0000e+00	
  6.3521e+00	  1.7679e-01	  3.4003e-03	  2.9862e-02	  7.2158e-03	  2.0663e-05	  1.9920e-01	  1.9491e-02	  4.3277e-04	  1.0944e-02	  4.5901e+04	  1.2867e-01	  8.5662e-02	  3.2545e-05	  2.0330e-01	  1.9506e-01	  0.0000e+00	
  6.3480e+00	  1.7953e-01	  3.4490e-03	  3.0209e-02	  7.3155e-03	  2.0868e-05	  2.0226e-01	  1.9797e-02	  4.3282e-04	  1.1016e-02	  4.6500e+04	  1.2955e-01	  8.5224e-02	  1.1088e-04	  2.0340e-01	  1.9491e-01	  0.0000e+00	
  6.3441e+00	  1.8218e-01	  3.4961e-03	  3.0545e-02	  7.4121e-03	  2.1066e-05	  2.0521e-01	  2.0092e-02	  4.3286e-04	  1.1085e-02	  4.7077e+04	  1.3039e-01	  8.4801e-02	  1.8636e-04	  2.0349e-01	  1.9477e-01	  0.0000e+00	
  6.3403e+00	  1.8474e-01	  3.5415e-03	  3.0868e-02	  7.5056e-03	  2.1258e-05	  2.0805e-01	  2.0376e-02	  4.3290e-04	  1.1152e-02	  4.7633e+04	  1.3121e-01	  8.4395e-02	  2.5908e-04	  2.0359e-01	  1.9463e-01	  0.0000e+00	
  6.3367e+00	  1.8720e-01	  3.5854e-03	  3.1180e-02	  7.5961e-03	  2.1443e-05	  2.1080e-01	  2.0651e-02	  4.3294e-04	  1.1216e-02	  4.8168e+04	  1.3199e-01	  8.4004e-02	  3.2915e-04	  2.0367e-01	  1.9450e-01	  0.0000e+00	
  6.3333e+00	  1.8959e-01	  3.6278e-03	  3.1481e-02	  7.6837e-03	  2.1623e-05	  2.1346e-01	  2.0917e-02	  4.3297e-04	  1.1278e-02	  4.8684e+04	  1.3274e-01	  8.3628e-02	  3.9667e-04	  2.0376e-01	  1.9437e-01	  0.0000e+00	
  6.3300e+00	  1.9189e-01	  3.6687e-03	  3.1771e-02	  7.7685e-03	  2.1797e-05	  2.1603e-01	  2.1173e-02	  4.3301e-04	  1.1339e-02	  4.9181e+04	  1.3347e-01	  8.3265e-02	  4.6172e-04	  2.0384e-01	  1.9425e-01	  0.0000e+00	
  6.3268e+00	  1.9411e-01	  3.7082e-03	  3.2051e-02	  7.8506e-03	  2.1965e-05	  2.1850e-01	  2.1421e-02	  4.3304e-04	  1.1397e-02	  4.9660e+04	  1.3417e-01	  8.2916e-02	  5.2442e-04	  2.0392e-01	  1.9413e-01	  0.0000e+00	
  6.3237e+00	  1.9625e-01	  3.7463e-03	  3.2321e-02	  7.9299e-03	  2.2128e-05	  2.2089e-01	  2.1660e-02	  4.3307e-04	  1.1453e-02	  5.0121e+04	  1.3484e-01	  8.2580e-02	  5.8484e-04	  2.0399e-01	  1.9402e-01	  0.0000e+00	
  6.3208e+00	  1.9833e-01	  3.7832e-03	  3.2582e-02	  8.0068e-03	  2.2286e-05	  2.2320e-01	  2.1891e-02	  4.3310e-04	  1.1507e-02	  5.0566e+04	  1.3549e-01	  8.2256e-02	  6.4307e-04	  2.0407e-01	  1.9391e-01	  0.0000e+00	
  6.3180e+00	  2.0033e-01	  3.8188e-03	  3.2833e-02	  8.0811e-03	  2.2438e-05	  2.2543e-01	  2.2114e-02	  4.3313e-04	  1.1560e-02	  5.0995e+04	  1.3611e-01	  8.1944e-02	  6.9919e-04	  2.0414e-01	  1.9381e-01	  0.0000e+00	
  6.3153e+00	  2.0226e-01	  3.8531e-03	  3.3076e-02	  8.1530e-03	  2.2586e-05	  2.2758e-01	  2.2329e-02	  4.3316e-04	  1.1611e-02	  5.1408e+04	  1.3671e-01	  8.1644e-02	  7.5329e-04	  2.0420e-01	  1.9370e-01	  0.0000e+00	
  6.3127e+00	  2.0412e-01	  3.8863e-03	  3.3310e-02	  8.2226e-03	  2.2729e-05	  2.2966e-01	  2.2537e-02	  4.3318e-04	  1.1660e-02	  5.1806e+04	  1.3729e-01	  8.1354e-02	  8.0543e-04	  2.0427e-01	  1.9361e-01	  0.0000e+00	
  6.3102e+00	  2.0593e-01	  3.9183e-03	  3.3536e-02	  8.2898e-03	  2.2867e-05	  2.3167e-01	  2.2738e-02	  4.3321e-04	  1.1707e-02	  5.2189e+04	  1.3785e-01	  8.1076e-02	  8.5570e-04	  2.0433e-01	  1.9351e-01	  0.0000e+00	
  6.3078e+00	  2.0766e-01	  3.9493e-03	  3.3754e-02	  8.3549e-03	  2.3000e-05	  2.3361e-01	  2.2932e-02	  4.3323e-04	  1.1752e-02	  5.2559e+04	  1.3838e-01	  8.0807e-02	  9.0415e-04	  2.0439e-01	  1.9342e-01	  0.0000e+00	
  6.3055e+00	  2.0934e-01	  3.9791e-03	  3.3964e-02	  8.4179e-03	  2.3130e-05	  2.3548e-01	  2.3119e-02	  4.3325e-04	  1.1797e-02	  5.2916e+04	  1.3890e-01	  8.0548e-02	  9.5086e-04	  2.0445e-01	  1.9333e-01	  0.0000e+00	
