          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	
  7.2840e+00	  6.0263e-03	  4.1886e-04	  8.0095e-03	  1.7490e-03	  9.1274e-07	  1.4766e-02	  1.1333e-03	  5.2559e-04	  5.6775e-04	  4.8044e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2776e+00	  6.0772e-03	  4.2103e-04	  8.0940e-03	  1.7676e-03	  9.2546e-07	  1.4997e-02	  1.1576e-03	  5.2788e-04	  5.8140e-04	  4.8620e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2714e+00	  6.1264e-03	  4.2312e-04	  8.1755e-03	  1.7857e-03	  9.3801e-07	  1.5219e-02	  1.1809e-03	  5.3007e-04	  5.9456e-04	  4.9175e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2654e+00	  6.1740e-03	  4.2512e-04	  8.2541e-03	  1.8031e-03	  9.5037e-07	  1.5434e-02	  1.2034e-03	  5.3217e-04	  6.0723e-04	  4.9709e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2597e+00	  6.2200e-03	  4.2705e-04	  8.3301e-03	  1.8199e-03	  9.6255e-07	  1.5641e-02	  1.2250e-03	  5.3419e-04	  6.1945e-04	  5.0224e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2542e+00	  6.2644e-03	  4.2891e-04	  8.4033e-03	  1.8361e-03	  9.7453e-07	  1.5840e-02	  1.2458e-03	  5.3612e-04	  6.3122e-04	  5.0720e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2488e+00	  6.3073e-03	  4.3070e-04	  8.4741e-03	  1.8517e-03	  9.8632e-07	  1.6033e-02	  1.2659e-03	  5.3798e-04	  6.4256e-04	  5.1198e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2436e+00	  6.3487e-03	  4.3242e-04	  8.5424e-03	  1.8668e-03	  9.9791e-07	  1.6218e-02	  1.2852e-03	  5.3977e-04	  6.5349e-04	  5.1659e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2387e+00	  6.3887e-03	  4.3407e-04	  8.6083e-03	  1.8814e-03	  1.0093e-06	  1.6397e-02	  1.3038e-03	  5.4149e-04	  6.6403e-04	  5.2103e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2338e+00	  6.4274e-03	  4.3567e-04	  8.6719e-03	  1.8955e-03	  1.0205e-06	  1.6569e-02	  1.3217e-03	  5.4314e-04	  6.7419e-04	  5.2530e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2292e+00	  6.4648e-03	  4.3720e-04	  8.7333e-03	  1.9091e-03	  1.0314e-06	  1.6735e-02	  1.3390e-03	  5.4473e-04	  6.8399e-04	  5.2943e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2247e+00	  6.5009e-03	  4.3868e-04	  8.7925e-03	  1.9222e-03	  1.0422e-06	  1.6896e-02	  1.3557e-03	  5.4626e-04	  6.9343e-04	  5.3340e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2204e+00	  6.5358e-03	  4.4011e-04	  8.8498e-03	  1.9349e-03	  1.0527e-06	  1.7051e-02	  1.3718e-03	  5.4772e-04	  7.0254e-04	  5.3723e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2162e+00	  6.5695e-03	  4.4148e-04	  8.9050e-03	  1.9471e-03	  1.0631e-06	  1.7200e-02	  1.3872e-03	  5.4914e-04	  7.1132e-04	  5.4093e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2122e+00	  6.6020e-03	  4.4280e-04	  8.9583e-03	  1.9589e-03	  1.0732e-06	  1.7344e-02	  1.4022e-03	  5.5049e-04	  7.1979e-04	  5.4449e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2083e+00	  6.6335e-03	  4.4407e-04	  9.0097e-03	  1.9703e-03	  1.0831e-06	  1.7483e-02	  1.4165e-03	  5.5180e-04	  7.2796e-04	  5.4792e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2045e+00	  6.6638e-03	  4.4530e-04	  9.0594e-03	  1.9813e-03	  1.0927e-06	  1.7617e-02	  1.4304e-03	  5.5306e-04	  7.3583e-04	  5.5123e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2009e+00	  6.6932e-03	  4.4648e-04	  9.1074e-03	  1.9919e-03	  1.1022e-06	  1.7746e-02	  1.4438e-03	  5.5427e-04	  7.4343e-04	  5.5443e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1974e+00	  6.7215e-03	  4.4762e-04	  9.1537e-03	  2.0022e-03	  1.1115e-06	  1.7871e-02	  1.4567e-03	  5.5543e-04	  7.5076e-04	  5.5751e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1940e+00	  6.7489e-03	  4.4871e-04	  9.1983e-03	  2.0121e-03	  1.1205e-06	  1.7991e-02	  1.4691e-03	  5.5655e-04	  7.5783e-04	  5.6048e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1908e+00	  6.7754e-03	  4.4977e-04	  9.2415e-03	  2.0216e-03	  1.1293e-06	  1.8108e-02	  1.4811e-03	  5.5763e-04	  7.6465e-04	  5.6334e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1876e+00	  6.8009e-03	  4.5079e-04	  9.2831e-03	  2.0309e-03	  1.1380e-06	  1.8220e-02	  1.4927e-03	  5.5867e-04	  7.7123e-04	  5.6610e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1846e+00	  6.8256e-03	  4.5177e-04	  9.3233e-03	  2.0398e-03	  1.1464e-06	  1.8328e-02	  1.5039e-03	  5.5967e-04	  7.7758e-04	  5.6877e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
