          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	
  6.5972e+00	  3.1838e-02	  8.2280e-04	  9.1931e-03	  2.0388e-03	  1.6307e-05	  3.7237e-02	  3.2965e-03	  4.2716e-04	  2.7263e-03	  1.0697e+04	  9.9046e-02	  1.0048e-01	  0.0000e+00	
  6.5953e+00	  3.2609e-02	  8.3653e-04	  9.3131e-03	  2.0667e-03	  1.6278e-05	  3.8104e-02	  3.3832e-03	  4.2723e-04	  2.7725e-03	  1.0909e+04	  9.9058e-02	  1.0047e-01	  0.0000e+00	
  6.5935e+00	  3.3355e-02	  8.4978e-04	  9.4288e-03	  2.0936e-03	  1.6251e-05	  3.8941e-02	  3.4669e-03	  4.2730e-04	  2.8172e-03	  1.1114e+04	  9.9069e-02	  1.0047e-01	  0.0000e+00	
  6.5918e+00	  3.4075e-02	  8.6258e-04	  9.5402e-03	  2.1196e-03	  1.6227e-05	  3.9749e-02	  3.5477e-03	  4.2737e-04	  2.8603e-03	  1.1312e+04	  9.9079e-02	  1.0046e-01	  0.0000e+00	
  6.5902e+00	  3.4770e-02	  8.7494e-04	  9.6476e-03	  2.1447e-03	  1.6204e-05	  4.0530e-02	  3.6258e-03	  4.2743e-04	  2.9018e-03	  1.1502e+04	  9.9088e-02	  1.0046e-01	  0.0000e+00	
  6.5886e+00	  3.5441e-02	  8.8688e-04	  9.7511e-03	  2.1689e-03	  1.6184e-05	  4.1284e-02	  3.7011e-03	  4.2749e-04	  2.9420e-03	  1.1686e+04	  9.9097e-02	  1.0045e-01	  0.0000e+00	
  6.5871e+00	  3.6089e-02	  8.9840e-04	  9.8509e-03	  2.1922e-03	  1.6165e-05	  4.2012e-02	  3.7739e-03	  4.2755e-04	  2.9807e-03	  1.1863e+04	  9.9105e-02	  1.0045e-01	  0.0000e+00	
  6.5857e+00	  3.6715e-02	  9.0954e-04	  9.9471e-03	  2.2147e-03	  1.6147e-05	  4.2714e-02	  3.8442e-03	  4.2760e-04	  3.0182e-03	  1.2033e+04	  9.9113e-02	  1.0044e-01	  0.0000e+00	
  6.5844e+00	  3.7320e-02	  9.2029e-04	  1.0040e-02	  2.2365e-03	  1.6131e-05	  4.3393e-02	  3.9120e-03	  4.2765e-04	  3.0543e-03	  1.2198e+04	  9.9120e-02	  1.0044e-01	  0.0000e+00	
  6.5831e+00	  3.7904e-02	  9.3067e-04	  1.0129e-02	  2.2574e-03	  1.6116e-05	  4.4048e-02	  3.9776e-03	  4.2770e-04	  3.0891e-03	  1.2356e+04	  9.9127e-02	  1.0044e-01	  0.0000e+00	
  6.5818e+00	  3.8467e-02	  9.4069e-04	  1.0216e-02	  2.2777e-03	  1.6102e-05	  4.4681e-02	  4.0408e-03	  4.2775e-04	  3.1228e-03	  1.2509e+04	  9.9133e-02	  1.0043e-01	  0.0000e+00	
  6.5806e+00	  3.9012e-02	  9.5037e-04	  1.0299e-02	  2.2972e-03	  1.6089e-05	  4.5292e-02	  4.1019e-03	  4.2779e-04	  3.1553e-03	  1.2657e+04	  9.9139e-02	  1.0043e-01	  0.0000e+00	
  6.5795e+00	  3.9538e-02	  9.5972e-04	  1.0379e-02	  2.3161e-03	  1.6077e-05	  4.5882e-02	  4.1609e-03	  4.2784e-04	  3.1867e-03	  1.2799e+04	  9.9144e-02	  1.0043e-01	  0.0000e+00	
  6.5784e+00	  4.0045e-02	  9.6875e-04	  1.0457e-02	  2.3343e-03	  1.6066e-05	  4.6452e-02	  4.2179e-03	  4.2788e-04	  3.2169e-03	  1.2936e+04	  9.9150e-02	  1.0042e-01	  0.0000e+00	
  6.5773e+00	  4.0536e-02	  9.7747e-04	  1.0531e-02	  2.3519e-03	  1.6055e-05	  4.7002e-02	  4.2729e-03	  4.2792e-04	  3.2462e-03	  1.3068e+04	  9.9154e-02	  1.0042e-01	  0.0000e+00	
  6.5763e+00	  4.1009e-02	  9.8589e-04	  1.0603e-02	  2.3689e-03	  1.6046e-05	  4.7533e-02	  4.3260e-03	  4.2796e-04	  3.2744e-03	  1.3196e+04	  9.9159e-02	  1.0042e-01	  0.0000e+00	
  6.5754e+00	  4.1466e-02	  9.9402e-04	  1.0673e-02	  2.3853e-03	  1.6037e-05	  4.8046e-02	  4.3773e-03	  4.2799e-04	  3.3016e-03	  1.3319e+04	  9.9163e-02	  1.0042e-01	  0.0000e+00	
  6.5745e+00	  4.1908e-02	  1.0019e-03	  1.0740e-02	  2.4011e-03	  1.6028e-05	  4.8541e-02	  4.4268e-03	  4.2803e-04	  3.3279e-03	  1.3438e+04	  9.9167e-02	  1.0042e-01	  0.0000e+00	
  6.5736e+00	  4.2334e-02	  1.0094e-03	  1.0805e-02	  2.4164e-03	  1.6020e-05	  4.9020e-02	  4.4746e-03	  4.2806e-04	  3.3533e-03	  1.3552e+04	  9.9171e-02	  1.0041e-01	  0.0000e+00	
  6.5727e+00	  4.2746e-02	  1.0168e-03	  1.0867e-02	  2.4311e-03	  1.6013e-05	  4.9481e-02	  4.5208e-03	  4.2809e-04	  3.3779e-03	  1.3663e+04	  9.9175e-02	  1.0041e-01	  0.0000e+00	
  6.5719e+00	  4.3143e-02	  1.0238e-03	  1.0927e-02	  2.4454e-03	  1.6006e-05	  4.9927e-02	  4.5654e-03	  4.2812e-04	  3.4015e-03	  1.3769e+04	  9.9178e-02	  1.0041e-01	  0.0000e+00	
  6.5711e+00	  4.3527e-02	  1.0307e-03	  1.0986e-02	  2.4591e-03	  1.5999e-05	  5.0358e-02	  4.6084e-03	  4.2815e-04	  3.4244e-03	  1.3872e+04	  9.9181e-02	  1.0041e-01	  0.0000e+00	
  6.5703e+00	  4.3898e-02	  1.0373e-03	  1.1042e-02	  2.4724e-03	  1.5993e-05	  5.0774e-02	  4.6500e-03	  4.2818e-04	  3.4464e-03	  1.3971e+04	  9.9185e-02	  1.0041e-01	  0.0000e+00	
  6.5696e+00	  4.4256e-02	  1.0436e-03	  1.1096e-02	  2.4852e-03	  1.5987e-05	  5.1175e-02	  4.6901e-03	  4.2821e-04	  3.4677e-03	  1.4067e+04	  9.9187e-02	  1.0041e-01	  0.0000e+00	
  6.5689e+00	  4.4602e-02	  1.0498e-03	  1.1148e-02	  2.4976e-03	  1.5981e-05	  5.1563e-02	  4.7289e-03	  4.2824e-04	  3.4883e-03	  1.4160e+04	  9.9190e-02	  1.0040e-01	  0.0000e+00	
  6.5682e+00	  4.4935e-02	  1.0557e-03	  1.1199e-02	  2.5096e-03	  1.5976e-05	  5.1937e-02	  4.7663e-03	  4.2826e-04	  3.5081e-03	  1.4249e+04	  9.9193e-02	  1.0040e-01	  0.0000e+00	
  6.5676e+00	  4.5258e-02	  1.0614e-03	  1.1247e-02	  2.5211e-03	  1.5971e-05	  5.2299e-02	  4.8024e-03	  4.2828e-04	  3.5273e-03	  1.4335e+04	  9.9195e-02	  1.0040e-01	  0.0000e+00	
  6.5670e+00	  4.5569e-02	  1.0670e-03	  1.1294e-02	  2.5323e-03	  1.5967e-05	  5.2648e-02	  4.8373e-03	  4.2831e-04	  3.5458e-03	  1.4418e+04	  9.9198e-02	  1.0040e-01	  0.0000e+00	
  6.5664e+00	  4.5870e-02	  1.0723e-03	  1.1340e-02	  2.5430e-03	  1.5962e-05	  5.2985e-02	  4.8710e-03	  4.2833e-04	  3.5637e-03	  1.4498e+04	  9.9200e-02	  1.0040e-01	  0.0000e+00	
  6.5658e+00	  4.6160e-02	  1.0775e-03	  1.1383e-02	  2.5534e-03	  1.5958e-05	  5.3310e-02	  4.9036e-03	  4.2835e-04	  3.5809e-03	  1.4575e+04	  9.9202e-02	  1.0040e-01	  0.0000e+00	
  6.5652e+00	  4.6440e-02	  1.0825e-03	  1.1426e-02	  2.5634e-03	  1.5954e-05	  5.3624e-02	  4.9350e-03	  4.2837e-04	  3.5976e-03	  1.4650e+04	  9.9204e-02	  1.0040e-01	  0.0000e+00	
  6.5647e+00	  4.6711e-02	  1.0873e-03	  1.1466e-02	  2.5731e-03	  1.5951e-05	  5.3928e-02	  4.9653e-03	  4.2839e-04	  3.6137e-03	  1.4722e+04	  9.9206e-02	  1.0040e-01	  0.0000e+00	
  6.5642e+00	  4.6972e-02	  1.0919e-03	  1.1506e-02	  2.5825e-03	  1.5947e-05	  5.4221e-02	  4.9946e-03	  4.2841e-04	  3.6292e-03	  1.4791e+04	  9.9208e-02	  1.0040e-01	  0.0000e+00	
  6.5637e+00	  4.7224e-02	  1.0964e-03	  1.1544e-02	  2.5915e-03	  1.5944e-05	  5.4504e-02	  5.0229e-03	  4.2843e-04	  3.6442e-03	  1.4858e+04	  9.9210e-02	  1.0039e-01	  0.0000e+00	
  6.5632e+00	  4.7468e-02	  1.1007e-03	  1.1581e-02	  2.6002e-03	  1.5941e-05	  5.4777e-02	  5.0502e-03	  4.2845e-04	  3.6586e-03	  1.4923e+04	  9.9212e-02	  1.0039e-01	  0.0000e+00	
  6.5628e+00	  4.7703e-02	  1.1049e-03	  1.1616e-02	  2.6087e-03	  1.5938e-05	  5.5041e-02	  5.0766e-03	  4.2846e-04	  3.6726e-03	  1.4985e+04	  9.9213e-02	  1.0039e-01	  0.0000e+00	
  6.5623e+00	  4.7931e-02	  1.1090e-03	  1.1650e-02	  2.6168e-03	  1.5935e-05	  5.5295e-02	  5.1021e-03	  4.2848e-04	  3.6861e-03	  1.5046e+04	  9.9215e-02	  1.0039e-01	  0.0000e+00	
  6.5619e+00	  4.8150e-02	  1.1129e-03	  1.1683e-02	  2.6247e-03	  1.5932e-05	  5.5541e-02	  5.1267e-03	  4.2849e-04	  3.6991e-03	  1.5104e+04	  9.9216e-02	  1.0039e-01	  0.0000e+00	
  6.5615e+00	  4.8362e-02	  1.1166e-03	  1.1715e-02	  2.6322e-03	  1.5930e-05	  5.5779e-02	  5.1504e-03	  4.2851e-04	  3.7117e-03	  1.5160e+04	  9.9218e-02	  1.0039e-01	  0.0000e+00	
  6.5611e+00	  4.8567e-02	  1.1203e-03	  1.1746e-02	  2.6396e-03	  1.5927e-05	  5.6008e-02	  5.1733e-03	  4.2852e-04	  3.7239e-03	  1.5214e+04	  9.9219e-02	  1.0039e-01	  0.0000e+00	
  6.5607e+00	  4.8764e-02	  1.1238e-03	  1.1775e-02	  2.6466e-03	  1.5925e-05	  5.6230e-02	  5.1955e-03	  4.2854e-04	  3.7356e-03	  1.5266e+04	  9.9220e-02	  1.0039e-01	  0.0000e+00	
  6.5603e+00	  4.8955e-02	  1.1272e-03	  1.1804e-02	  2.6535e-03	  1.5923e-05	  5.6443e-02	  5.2169e-03	  4.2855e-04	  3.7469e-03	  1.5317e+04	  9.9222e-02	  1.0039e-01	  0.0000e+00	
  6.5600e+00	  4.9139e-02	  1.1305e-03	  1.1832e-02	  2.6601e-03	  1.5921e-05	  5.6650e-02	  5.2375e-03	  4.2856e-04	  3.7578e-03	  1.5366e+04	  9.9223e-02	  1.0039e-01	  0.0000e+00	
  6.5597e+00	  4.9317e-02	  1.1336e-03	  1.1858e-02	  2.6664e-03	  1.5919e-05	  5.6849e-02	  5.2574e-03	  4.2858e-04	  3.7684e-03	  1.5413e+04	  9.9224e-02	  1.0039e-01	  0.0000e+00	
  6.5593e+00	  4.9489e-02	  1.1367e-03	  1.1884e-02	  2.6726e-03	  1.5917e-05	  5.7042e-02	  5.2767e-03	  4.2859e-04	  3.7786e-03	  1.5458e+04	  9.9225e-02	  1.0039e-01	  0.0000e+00	
  6.5590e+00	  4.9654e-02	  1.1396e-03	  1.1909e-02	  2.6785e-03	  1.5915e-05	  5.7228e-02	  5.2953e-03	  4.2860e-04	  3.7884e-03	  1.5502e+04	  9.9226e-02	  1.0039e-01	  0.0000e+00	
  6.5587e+00	  4.9815e-02	  1.1425e-03	  1.1933e-02	  2.6842e-03	  1.5913e-05	  5.7407e-02	  5.3132e-03	  4.2861e-04	  3.7979e-03	  1.5544e+04	  9.9227e-02	  1.0039e-01	  0.0000e+00	
  6.5584e+00	  4.9969e-02	  1.1452e-03	  1.1956e-02	  2.6898e-03	  1.5912e-05	  5.7580e-02	  5.3305e-03	  4.2862e-04	  3.8071e-03	  1.5585e+04	  9.9228e-02	  1.0039e-01	  0.0000e+00	
  6.5581e+00	  5.0119e-02	  1.1479e-03	  1.1979e-02	  2.6951e-03	  1.5910e-05	  5.7748e-02	  5.3473e-03	  4.2863e-04	  3.8159e-03	  1.5624e+04	  9.9229e-02	  1.0038e-01	  0.0000e+00	
  6.5579e+00	  5.0263e-02	  1.1504e-03	  1.2000e-02	  2.7003e-03	  1.5909e-05	  5.7909e-02	  5.3634e-03	  4.2864e-04	  3.8245e-03	  1.5662e+04	  9.9230e-02	  1.0038e-01	  0.0000e+00	
  6.5576e+00	  5.0402e-02	  1.1529e-03	  1.2021e-02	  2.7053e-03	  1.5907e-05	  5.8065e-02	  5.3790e-03	  4.2865e-04	  3.8327e-03	  1.5699e+04	  9.9231e-02	  1.0038e-01	  0.0000e+00	
  6.5573e+00	  5.0536e-02	  1.1553e-03	  1.2041e-02	  2.7101e-03	  1.5906e-05	  5.8216e-02	  5.3941e-03	  4.2866e-04	  3.8407e-03	  1.5735e+04	  9.9232e-02	  1.0038e-01	  0.0000e+00	
  6.5571e+00	  5.0666e-02	  1.1576e-03	  1.2061e-02	  2.7147e-03	  1.5904e-05	  5.8362e-02	  5.4086e-03	  4.2867e-04	  3.8484e-03	  1.5769e+04	  9.9232e-02	  1.0038e-01	  0.0000e+00	
  6.5569e+00	  5.0792e-02	  1.1598e-03	  1.2079e-02	  2.7192e-03	  1.5903e-05	  5.8502e-02	  5.4227e-03	  4.2868e-04	  3.8558e-03	  1.5802e+04	  9.9233e-02	  1.0038e-01	  0.0000e+00	
  6.5566e+00	  5.0913e-02	  1.1620e-03	  1.2097e-02	  2.7235e-03	  1.5902e-05	  5.8638e-02	  5.4363e-03	  4.2869e-04	  3.8630e-03	  1.5834e+04	  9.9234e-02	  1.0038e-01	  0.0000e+00	
  6.5564e+00	  5.1030e-02	  1.1641e-03	  1.2115e-02	  2.7277e-03	  1.5901e-05	  5.8769e-02	  5.4493e-03	  4.2869e-04	  3.8699e-03	  1.5864e+04	  9.9235e-02	  1.0038e-01	  0.0000e+00	
  6.5562e+00	  5.1142e-02	  1.1661e-03	  1.2132e-02	  2.7318e-03	  1.5900e-05	  5.8895e-02	  5.4620e-03	  4.2870e-04	  3.8766e-03	  1.5894e+04	  9.9235e-02	  1.0038e-01	  0.0000e+00	
  6.5560e+00	  5.1251e-02	  1.1680e-03	  1.2148e-02	  2.7357e-03	  1.5899e-05	  5.9017e-02	  5.4742e-03	  4.2871e-04	  3.8831e-03	  1.5923e+04	  9.9236e-02	  1.0038e-01	  0.0000e+00	
  6.5558e+00	  5.1357e-02	  1.1699e-03	  1.2164e-02	  2.7394e-03	  1.5898e-05	  5.9135e-02	  5.4860e-03	  4.2872e-04	  3.8893e-03	  1.5951e+04	  9.9237e-02	  1.0038e-01	  0.0000e+00	
  6.5556e+00	  5.1458e-02	  1.1717e-03	  1.2179e-02	  2.7431e-03	  1.5897e-05	  5.9249e-02	  5.4974e-03	  4.2872e-04	  3.8953e-03	  1.5977e+04	  9.9237e-02	  1.0038e-01	  0.0000e+00	
  6.5554e+00	  5.1556e-02	  1.1734e-03	  1.2194e-02	  2.7466e-03	  1.5896e-05	  5.9359e-02	  5.5084e-03	  4.2873e-04	  3.9011e-03	  1.6003e+04	  9.9238e-02	  1.0038e-01	  0.0000e+00	
  6.5552e+00	  5.1651e-02	  1.1751e-03	  1.2208e-02	  2.7500e-03	  1.5895e-05	  5.9465e-02	  5.5190e-03	  4.2874e-04	  3.9068e-03	  1.6028e+04	  9.9238e-02	  1.0038e-01	  0.0000e+00	
  6.5551e+00	  5.1743e-02	  1.1767e-03	  1.2222e-02	  2.7533e-03	  1.5894e-05	  5.9568e-02	  5.5292e-03	  4.2874e-04	  3.9122e-03	  1.6052e+04	  9.9239e-02	  1.0038e-01	  0.0000e+00	
  6.5549e+00	  5.1831e-02	  1.1783e-03	  1.2235e-02	  2.7564e-03	  1.5893e-05	  5.9667e-02	  5.5391e-03	  4.2875e-04	  3.9174e-03	  1.6075e+04	  9.9239e-02	  1.0038e-01	  0.0000e+00	
  6.5548e+00	  5.1916e-02	  1.1798e-03	  1.2248e-02	  2.7595e-03	  1.5892e-05	  5.9762e-02	  5.5487e-03	  4.2875e-04	  3.9225e-03	  1.6098e+04	  9.9240e-02	  1.0038e-01	  0.0000e+00	
  6.5546e+00	  5.1999e-02	  1.1813e-03	  1.2260e-02	  2.7624e-03	  1.5892e-05	  5.9855e-02	  5.5579e-03	  4.2876e-04	  3.9273e-03	  1.6119e+04	  9.9240e-02	  1.0038e-01	  0.0000e+00	
  6.5545e+00	  5.2078e-02	  1.1827e-03	  1.2272e-02	  2.7653e-03	  1.5891e-05	  5.9944e-02	  5.5668e-03	  4.2876e-04	  3.9321e-03	  1.6140e+04	  9.9241e-02	  1.0038e-01	  0.0000e+00	
  6.5543e+00	  5.2155e-02	  1.1841e-03	  1.2283e-02	  2.7680e-03	  1.5890e-05	  6.0030e-02	  5.5754e-03	  4.2877e-04	  3.9366e-03	  1.6161e+04	  9.9241e-02	  1.0038e-01	  0.0000e+00	
  6.5542e+00	  5.2229e-02	  1.1854e-03	  1.2294e-02	  2.7707e-03	  1.5890e-05	  6.0113e-02	  5.5837e-03	  4.2877e-04	  3.9410e-03	  1.6180e+04	  9.9242e-02	  1.0038e-01	  0.0000e+00	
  6.5540e+00	  5.2301e-02	  1.1867e-03	  1.2305e-02	  2.7732e-03	  1.5889e-05	  6.0193e-02	  5.5918e-03	  4.2878e-04	  3.9452e-03	  1.6199e+04	  9.9242e-02	  1.0038e-01	  0.0000e+00	
  6.5539e+00	  5.2370e-02	  1.1879e-03	  1.2315e-02	  2.7757e-03	  1.5888e-05	  6.0271e-02	  5.5995e-03	  4.2878e-04	  3.9493e-03	  1.6217e+04	  9.9242e-02	  1.0038e-01	  0.0000e+00	
  6.5538e+00	  5.2437e-02	  1.1891e-03	  1.2325e-02	  2.7781e-03	  1.5888e-05	  6.0345e-02	  5.6070e-03	  4.2879e-04	  3.9533e-03	  1.6235e+04	  9.9243e-02	  1.0038e-01	  0.0000e+00	
  6.5537e+00	  5.2501e-02	  1.1902e-03	  1.2335e-02	  2.7804e-03	  1.5887e-05	  6.0418e-02	  5.6142e-03	  4.2879e-04	  3.9571e-03	  1.6252e+04	  9.9243e-02	  1.0038e-01	  0.0000e+00	
  6.5536e+00	  5.2563e-02	  1.1913e-03	  1.2344e-02	  2.7826e-03	  1.5887e-05	  6.0487e-02	  5.6212e-03	  4.2880e-04	  3.9608e-03	  1.6268e+04	  9.9244e-02	  1.0038e-01	  0.0000e+00	
  6.5534e+00	  5.2623e-02	  1.1924e-03	  1.2353e-02	  2.7848e-03	  1.5886e-05	  6.0555e-02	  5.6279e-03	  4.2880e-04	  3.9643e-03	  1.6284e+04	  9.9244e-02	  1.0038e-01	  0.0000e+00	
  6.5533e+00	  5.2681e-02	  1.1934e-03	  1.2362e-02	  2.7869e-03	  1.5886e-05	  6.0620e-02	  5.6344e-03	  4.2880e-04	  3.9678e-03	  1.6299e+04	  9.9244e-02	  1.0038e-01	  0.0000e+00	
  6.5532e+00	  5.2737e-02	  1.1944e-03	  1.2370e-02	  2.7889e-03	  1.5885e-05	  6.0683e-02	  5.6407e-03	  4.2881e-04	  3.9711e-03	  1.6314e+04	  9.9245e-02	  1.0038e-01	  0.0000e+00	
  6.5531e+00	  5.2792e-02	  1.1954e-03	  1.2378e-02	  2.7908e-03	  1.5885e-05	  6.0743e-02	  5.6468e-03	  4.2881e-04	  3.9743e-03	  1.6328e+04	  9.9245e-02	  1.0038e-01	  0.0000e+00	
