          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	
  7.2354e+00	  6.8651e-03	  4.7954e-04	  1.0838e-02	  2.3635e-03	  8.4923e-07	  2.2094e-02	  1.9134e-03	  6.0368e-04	  1.0228e-03	  6.5663e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2284e+00	  6.9521e-03	  4.8376e-04	  1.1037e-02	  2.4071e-03	  8.5811e-07	  2.2596e-02	  1.9647e-03	  6.0847e-04	  1.0518e-03	  6.6878e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2217e+00	  7.0360e-03	  4.8781e-04	  1.1230e-02	  2.4492e-03	  8.6692e-07	  2.3080e-02	  2.0140e-03	  6.1305e-04	  1.0796e-03	  6.8045e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2153e+00	  7.1169e-03	  4.9169e-04	  1.1415e-02	  2.4898e-03	  8.7565e-07	  2.3546e-02	  2.0614e-03	  6.1742e-04	  1.1065e-03	  6.9167e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2091e+00	  7.1950e-03	  4.9541e-04	  1.1595e-02	  2.5290e-03	  8.8428e-07	  2.3995e-02	  2.1070e-03	  6.2160e-04	  1.1323e-03	  7.0247e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2031e+00	  7.2704e-03	  4.9898e-04	  1.1768e-02	  2.5668e-03	  8.9282e-07	  2.4427e-02	  2.1508e-03	  6.2561e-04	  1.1572e-03	  7.1285e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1974e+00	  7.3431e-03	  5.0240e-04	  1.1935e-02	  2.6032e-03	  9.0124e-07	  2.4843e-02	  2.1930e-03	  6.2944e-04	  1.1812e-03	  7.2283e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1919e+00	  7.4132e-03	  5.0568e-04	  1.2096e-02	  2.6384e-03	  9.0954e-07	  2.5244e-02	  2.2337e-03	  6.3311e-04	  1.2043e-03	  7.3245e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1866e+00	  7.4809e-03	  5.0884e-04	  1.2251e-02	  2.6724e-03	  9.1773e-07	  2.5631e-02	  2.2728e-03	  6.3663e-04	  1.2265e-03	  7.4170e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1815e+00	  7.5463e-03	  5.1186e-04	  1.2401e-02	  2.7052e-03	  9.2578e-07	  2.6004e-02	  2.3105e-03	  6.4000e-04	  1.2480e-03	  7.5060e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1766e+00	  7.6094e-03	  5.1477e-04	  1.2546e-02	  2.7368e-03	  9.3370e-07	  2.6363e-02	  2.3468e-03	  6.4324e-04	  1.2687e-03	  7.5917e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1718e+00	  7.6702e-03	  5.1757e-04	  1.2685e-02	  2.7673e-03	  9.4148e-07	  2.6709e-02	  2.3818e-03	  6.4634e-04	  1.2886e-03	  7.6743e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1669e+00	  7.7288e-03	  5.2024e-04	  1.2819e-02	  2.7966e-03	  9.5042e-07	  2.7044e-02	  2.4155e-03	  6.4929e-04	  1.3048e-03	  7.7535e+03	  0.0000e+00	  1.4999e-01	  4.7858e-05	
  7.1614e+00	  7.7851e-03	  5.2279e-04	  1.2947e-02	  2.8246e-03	  9.6173e-07	  2.7367e-02	  2.4481e-03	  6.5210e-04	  1.3149e-03	  7.8293e+03	  0.0000e+00	  1.4999e-01	  1.8597e-04	
  7.1561e+00	  7.8394e-03	  5.2525e-04	  1.3070e-02	  2.8516e-03	  9.7281e-07	  2.7678e-02	  2.4795e-03	  6.5479e-04	  1.3247e-03	  7.9024e+03	  0.0000e+00	  1.4999e-01	  3.1737e-04	
  7.1511e+00	  7.8918e-03	  5.2761e-04	  1.3189e-02	  2.8777e-03	  9.8365e-07	  2.7979e-02	  2.5097e-03	  6.5738e-04	  1.3343e-03	  7.9728e+03	  0.0000e+00	  1.4999e-01	  4.4242e-04	
  7.1462e+00	  7.9425e-03	  5.2988e-04	  1.3304e-02	  2.9028e-03	  9.9427e-07	  2.8269e-02	  2.5389e-03	  6.5986e-04	  1.3437e-03	  8.0406e+03	  0.0000e+00	  1.4999e-01	  5.6144e-04	
  7.1415e+00	  7.9914e-03	  5.3206e-04	  1.3415e-02	  2.9271e-03	  1.0046e-06	  2.8548e-02	  2.5670e-03	  6.6225e-04	  1.3528e-03	  8.1060e+03	  0.0000e+00	  1.4999e-01	  6.7476e-04	
  7.1369e+00	  8.0386e-03	  5.3416e-04	  1.3523e-02	  2.9506e-03	  1.0148e-06	  2.8817e-02	  2.5942e-03	  6.6455e-04	  1.3617e-03	  8.1690e+03	  0.0000e+00	  1.4999e-01	  7.8267e-04	
  7.1326e+00	  8.0842e-03	  5.3619e-04	  1.3626e-02	  2.9732e-03	  1.0247e-06	  2.9077e-02	  2.6203e-03	  6.6675e-04	  1.3704e-03	  8.2297e+03	  0.0000e+00	  1.4999e-01	  8.8547e-04	
  7.1284e+00	  8.1282e-03	  5.3814e-04	  1.3726e-02	  2.9951e-03	  1.0344e-06	  2.9328e-02	  2.6455e-03	  6.6888e-04	  1.3788e-03	  8.2883e+03	  0.0000e+00	  1.4999e-01	  9.8341e-04	
  7.1243e+00	  8.1707e-03	  5.4001e-04	  1.3822e-02	  3.0162e-03	  1.0438e-06	  2.9570e-02	  2.6698e-03	  6.7092e-04	  1.3871e-03	  8.3447e+03	  0.0000e+00	  1.4999e-01	  1.0768e-03	
  7.1204e+00	  8.2118e-03	  5.4182e-04	  1.3915e-02	  3.0365e-03	  1.0530e-06	  2.9803e-02	  2.6932e-03	  6.7288e-04	  1.3951e-03	  8.3992e+03	  0.0000e+00	  1.4999e-01	  1.1657e-03	
  7.1167e+00	  8.2515e-03	  5.4356e-04	  1.4005e-02	  3.0562e-03	  1.0620e-06	  3.0029e-02	  2.7159e-03	  6.7477e-04	  1.4029e-03	  8.4516e+03	  0.0000e+00	  1.4999e-01	  1.2506e-03	
  7.1131e+00	  8.2897e-03	  5.4524e-04	  1.4092e-02	  3.0752e-03	  1.0708e-06	  3.0246e-02	  2.7377e-03	  6.7659e-04	  1.4105e-03	  8.5022e+03	  0.0000e+00	  1.4999e-01	  1.3315e-03	
  7.1096e+00	  8.3267e-03	  5.4685e-04	  1.4176e-02	  3.0935e-03	  1.0793e-06	  3.0455e-02	  2.7587e-03	  6.7834e-04	  1.4179e-03	  8.5510e+03	  0.0000e+00	  1.4999e-01	  1.4087e-03	
  7.1062e+00	  8.3624e-03	  5.4841e-04	  1.4256e-02	  3.1112e-03	  1.0877e-06	  3.0657e-02	  2.7790e-03	  6.8002e-04	  1.4251e-03	  8.5981e+03	  0.0000e+00	  1.4999e-01	  1.4824e-03	
  7.1030e+00	  8.3969e-03	  5.4991e-04	  1.4335e-02	  3.1283e-03	  1.0958e-06	  3.0853e-02	  2.7985e-03	  6.8164e-04	  1.4321e-03	  8.6435e+03	  0.0000e+00	  1.4999e-01	  1.5527e-03	
  7.0999e+00	  8.4302e-03	  5.5135e-04	  1.4410e-02	  3.1448e-03	  1.1037e-06	  3.1041e-02	  2.8174e-03	  6.8320e-04	  1.4389e-03	  8.6873e+03	  0.0000e+00	  1.4999e-01	  1.6198e-03	
  7.0969e+00	  8.4624e-03	  5.5274e-04	  1.4483e-02	  3.1607e-03	  1.1113e-06	  3.1223e-02	  2.8356e-03	  6.8470e-04	  1.4454e-03	  8.7295e+03	  0.0000e+00	  1.4999e-01	  1.6839e-03	
  7.0940e+00	  8.4934e-03	  5.5409e-04	  1.4553e-02	  3.1761e-03	  1.1188e-06	  3.1398e-02	  2.8532e-03	  6.8615e-04	  1.4519e-03	  8.7702e+03	  0.0000e+00	  1.4999e-01	  1.7451e-03	
  7.0912e+00	  8.5234e-03	  5.5538e-04	  1.4621e-02	  3.1910e-03	  1.1261e-06	  3.1567e-02	  2.8702e-03	  6.8754e-04	  1.4581e-03	  8.8095e+03	  0.0000e+00	  1.4999e-01	  1.8036e-03	
  7.0885e+00	  8.5524e-03	  5.5662e-04	  1.4686e-02	  3.2053e-03	  1.1331e-06	  3.1730e-02	  2.8865e-03	  6.8888e-04	  1.4641e-03	  8.8474e+03	  0.0000e+00	  1.4999e-01	  1.8595e-03	
  7.0859e+00	  8.5803e-03	  5.5783e-04	  1.4749e-02	  3.2191e-03	  1.1400e-06	  3.1888e-02	  2.9023e-03	  6.9018e-04	  1.4700e-03	  8.8840e+03	  0.0000e+00	  1.4999e-01	  1.9130e-03	
  7.0834e+00	  8.6074e-03	  5.5898e-04	  1.4810e-02	  3.2325e-03	  1.1467e-06	  3.2040e-02	  2.9175e-03	  6.9142e-04	  1.4757e-03	  8.9193e+03	  0.0000e+00	  1.4999e-01	  1.9641e-03	
  7.0810e+00	  8.6334e-03	  5.6010e-04	  1.4869e-02	  3.2454e-03	  1.1532e-06	  3.2187e-02	  2.9322e-03	  6.9262e-04	  1.4812e-03	  8.9533e+03	  0.0000e+00	  1.4999e-01	  2.0130e-03	
  7.0787e+00	  8.6586e-03	  5.6118e-04	  1.4926e-02	  3.2578e-03	  1.1595e-06	  3.2328e-02	  2.9464e-03	  6.9378e-04	  1.4865e-03	  8.9861e+03	  0.0000e+00	  1.4999e-01	  2.0597e-03	
