          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	
  7.1854e+00	  7.1993e-03	  4.8156e-04	  1.0943e-02	  2.3914e-03	  1.0044e-06	  2.1631e-02	  1.8319e-03	  6.0259e-04	  1.3795e-03	  6.5564e+03	  0.0000e+00	  1.4998e-01	  8.4600e-02	
  7.1745e+00	  7.2810e-03	  4.8503e-04	  1.1105e-02	  2.4273e-03	  1.0320e-06	  2.2043e-02	  1.8738e-03	  6.0636e-04	  1.4050e-03	  6.6565e+03	  0.0000e+00	  1.4998e-01	  8.4527e-02	
  7.1640e+00	  7.3600e-03	  4.8835e-04	  1.1262e-02	  2.4619e-03	  1.0593e-06	  2.2440e-02	  1.9141e-03	  6.0998e-04	  1.4298e-03	  6.7529e+03	  0.0000e+00	  1.4998e-01	  8.4445e-02	
  7.1540e+00	  7.4363e-03	  4.9155e-04	  1.1414e-02	  2.4954e-03	  1.0861e-06	  2.2823e-02	  1.9530e-03	  6.1346e-04	  1.4541e-03	  6.8457e+03	  0.0000e+00	  1.4998e-01	  8.4354e-02	
  7.1445e+00	  7.5101e-03	  4.9462e-04	  1.1560e-02	  2.5277e-03	  1.1125e-06	  2.3192e-02	  1.9904e-03	  6.1678e-04	  1.4778e-03	  6.9351e+03	  0.0000e+00	  1.4998e-01	  8.4257e-02	
  7.1354e+00	  7.5813e-03	  4.9757e-04	  1.1701e-02	  2.5589e-03	  1.1384e-06	  2.3548e-02	  2.0265e-03	  6.1998e-04	  1.5010e-03	  7.0213e+03	  0.0000e+00	  1.4998e-01	  8.4153e-02	
  7.1267e+00	  7.6502e-03	  5.0040e-04	  1.1837e-02	  2.5890e-03	  1.1639e-06	  2.3891e-02	  2.0613e-03	  6.2304e-04	  1.5235e-03	  7.1042e+03	  0.0000e+00	  1.4997e-01	  8.4045e-02	
  7.1184e+00	  7.7167e-03	  5.0313e-04	  1.1969e-02	  2.6181e-03	  1.1889e-06	  2.4222e-02	  2.0948e-03	  6.2598e-04	  1.5454e-03	  7.1842e+03	  0.0000e+00	  1.4997e-01	  8.3933e-02	
  7.1104e+00	  7.7810e-03	  5.0575e-04	  1.2096e-02	  2.6462e-03	  1.2133e-06	  2.4542e-02	  2.1271e-03	  6.2881e-04	  1.5668e-03	  7.2613e+03	  0.0000e+00	  1.4997e-01	  8.3817e-02	
  7.1028e+00	  7.8431e-03	  5.0827e-04	  1.2219e-02	  2.6734e-03	  1.2373e-06	  2.4850e-02	  2.1582e-03	  6.3152e-04	  1.5876e-03	  7.3355e+03	  0.0000e+00	  1.4997e-01	  8.3699e-02	
  7.0955e+00	  7.9031e-03	  5.1069e-04	  1.2338e-02	  2.6996e-03	  1.2607e-06	  2.5147e-02	  2.1883e-03	  6.3412e-04	  1.6078e-03	  7.4071e+03	  0.0000e+00	  1.4997e-01	  8.3579e-02	
  7.0885e+00	  7.9610e-03	  5.1303e-04	  1.2452e-02	  2.7249e-03	  1.2836e-06	  2.5433e-02	  2.2172e-03	  6.3663e-04	  1.6275e-03	  7.4761e+03	  0.0000e+00	  1.4997e-01	  8.3458e-02	
  7.0818e+00	  8.0171e-03	  5.1527e-04	  1.2562e-02	  2.7493e-03	  1.3060e-06	  2.5710e-02	  2.2452e-03	  6.3903e-04	  1.6466e-03	  7.5426e+03	  0.0000e+00	  1.4997e-01	  8.3335e-02	
  7.0754e+00	  8.0712e-03	  5.1743e-04	  1.2669e-02	  2.7729e-03	  1.3278e-06	  2.5977e-02	  2.2721e-03	  6.4134e-04	  1.6651e-03	  7.6067e+03	  0.0000e+00	  1.4997e-01	  8.3213e-02	
  7.0693e+00	  8.1235e-03	  5.1951e-04	  1.2772e-02	  2.7957e-03	  1.3492e-06	  2.6234e-02	  2.2981e-03	  6.4357e-04	  1.6832e-03	  7.6685e+03	  0.0000e+00	  1.4997e-01	  8.3091e-02	
  7.0634e+00	  8.1740e-03	  5.2151e-04	  1.2872e-02	  2.8177e-03	  1.3700e-06	  2.6483e-02	  2.3231e-03	  6.4570e-04	  1.7007e-03	  7.7281e+03	  0.0000e+00	  1.4997e-01	  8.2969e-02	
  7.0578e+00	  8.2228e-03	  5.2344e-04	  1.2968e-02	  2.8389e-03	  1.3903e-06	  2.6722e-02	  2.3473e-03	  6.4776e-04	  1.7176e-03	  7.7856e+03	  0.0000e+00	  1.4997e-01	  8.2847e-02	
  7.0524e+00	  8.2700e-03	  5.2529e-04	  1.3060e-02	  2.8594e-03	  1.4100e-06	  2.6954e-02	  2.3706e-03	  6.4973e-04	  1.7341e-03	  7.8410e+03	  0.0000e+00	  1.4997e-01	  8.2727e-02	
