          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	
  7.2256e+00	  7.3132e-03	  4.6990e-04	  1.0277e-02	  2.2368e-03	  9.2362e-07	  2.0314e-02	  1.6992e-03	  5.8209e-04	  1.3035e-03	  6.2399e+03	  0.0000e+00	  1.4999e-01	  8.4647e-02	
  7.2131e+00	  7.4193e-03	  4.7386e-04	  1.0452e-02	  2.2750e-03	  9.5243e-07	  2.0775e-02	  1.7463e-03	  5.8612e-04	  1.3307e-03	  6.3524e+03	  0.0000e+00	  1.4998e-01	  8.4609e-02	
  7.2012e+00	  7.5219e-03	  4.7765e-04	  1.0621e-02	  2.3119e-03	  9.8092e-07	  2.1219e-02	  1.7916e-03	  5.8999e-04	  1.3574e-03	  6.4607e+03	  0.0000e+00	  1.4998e-01	  8.4557e-02	
  7.1898e+00	  7.6212e-03	  4.8129e-04	  1.0784e-02	  2.3476e-03	  1.0091e-06	  2.1646e-02	  1.8352e-03	  5.9368e-04	  1.3836e-03	  6.5650e+03	  0.0000e+00	  1.4998e-01	  8.4492e-02	
  7.1789e+00	  7.7172e-03	  4.8479e-04	  1.0941e-02	  2.3820e-03	  1.0369e-06	  2.2058e-02	  1.8772e-03	  5.9722e-04	  1.4091e-03	  6.6654e+03	  0.0000e+00	  1.4998e-01	  8.4416e-02	
  7.1686e+00	  7.8101e-03	  4.8815e-04	  1.1092e-02	  2.4153e-03	  1.0642e-06	  2.2456e-02	  1.9176e-03	  6.0061e-04	  1.4341e-03	  6.7621e+03	  0.0000e+00	  1.4998e-01	  8.4331e-02	
  7.1586e+00	  7.8999e-03	  4.9138e-04	  1.1239e-02	  2.4473e-03	  1.0912e-06	  2.2839e-02	  1.9566e-03	  6.0386e-04	  1.4585e-03	  6.8552e+03	  0.0000e+00	  1.4998e-01	  8.4238e-02	
  7.1492e+00	  7.9868e-03	  4.9448e-04	  1.1380e-02	  2.4783e-03	  1.1177e-06	  2.3208e-02	  1.9941e-03	  6.0698e-04	  1.4823e-03	  6.9449e+03	  0.0000e+00	  1.4998e-01	  8.4137e-02	
  7.1401e+00	  8.0708e-03	  4.9747e-04	  1.1517e-02	  2.5082e-03	  1.1438e-06	  2.3565e-02	  2.0303e-03	  6.0996e-04	  1.5056e-03	  7.0313e+03	  0.0000e+00	  1.4998e-01	  8.4031e-02	
  7.1315e+00	  8.1520e-03	  5.0034e-04	  1.1648e-02	  2.5371e-03	  1.1693e-06	  2.3908e-02	  2.0651e-03	  6.1282e-04	  1.5282e-03	  7.1145e+03	  0.0000e+00	  1.4998e-01	  8.3920e-02	
  7.1232e+00	  8.2305e-03	  5.0310e-04	  1.1776e-02	  2.5649e-03	  1.1944e-06	  2.4240e-02	  2.0987e-03	  6.1557e-04	  1.5502e-03	  7.1948e+03	  0.0000e+00	  1.4998e-01	  8.3805e-02	
  7.1153e+00	  8.3065e-03	  5.0575e-04	  1.1898e-02	  2.5918e-03	  1.2189e-06	  2.4559e-02	  2.1311e-03	  6.1821e-04	  1.5717e-03	  7.2721e+03	  0.0000e+00	  1.4998e-01	  8.3686e-02	
  7.1077e+00	  8.3799e-03	  5.0830e-04	  1.2017e-02	  2.6178e-03	  1.2430e-06	  2.4868e-02	  2.1623e-03	  6.2074e-04	  1.5926e-03	  7.3466e+03	  0.0000e+00	  1.4998e-01	  8.3566e-02	
  7.1005e+00	  8.4509e-03	  5.1076e-04	  1.2131e-02	  2.6429e-03	  1.2665e-06	  2.5165e-02	  2.1924e-03	  6.2317e-04	  1.6129e-03	  7.4184e+03	  0.0000e+00	  1.4998e-01	  8.3443e-02	
  7.0935e+00	  8.5195e-03	  5.1313e-04	  1.2242e-02	  2.6671e-03	  1.2895e-06	  2.5452e-02	  2.2215e-03	  6.2550e-04	  1.6326e-03	  7.4876e+03	  0.0000e+00	  1.4998e-01	  8.3320e-02	
  7.0869e+00	  8.5858e-03	  5.1540e-04	  1.2348e-02	  2.6904e-03	  1.3120e-06	  2.5729e-02	  2.2495e-03	  6.2775e-04	  1.6518e-03	  7.5543e+03	  0.0000e+00	  1.4998e-01	  8.3195e-02	
  7.0806e+00	  8.6499e-03	  5.1760e-04	  1.2451e-02	  2.7130e-03	  1.3340e-06	  2.5996e-02	  2.2765e-03	  6.2990e-04	  1.6705e-03	  7.6187e+03	  0.0000e+00	  1.4998e-01	  8.3071e-02	
  7.0745e+00	  8.7119e-03	  5.1971e-04	  1.2551e-02	  2.7348e-03	  1.3554e-06	  2.6253e-02	  2.3025e-03	  6.3197e-04	  1.6886e-03	  7.6807e+03	  0.0000e+00	  1.4998e-01	  8.2946e-02	
  7.0686e+00	  8.7719e-03	  5.2174e-04	  1.2646e-02	  2.7558e-03	  1.3763e-06	  2.6502e-02	  2.3276e-03	  6.3396e-04	  1.7061e-03	  7.7405e+03	  0.0000e+00	  1.4998e-01	  8.2822e-02	
  7.0630e+00	  8.8298e-03	  5.2370e-04	  1.2739e-02	  2.7761e-03	  1.3966e-06	  2.6742e-02	  2.3519e-03	  6.3588e-04	  1.7232e-03	  7.7982e+03	  0.0000e+00	  1.4998e-01	  8.2698e-02	
  7.0577e+00	  8.8857e-03	  5.2558e-04	  1.2828e-02	  2.7957e-03	  1.4165e-06	  2.6974e-02	  2.3752e-03	  6.3772e-04	  1.7397e-03	  7.8538e+03	  0.0000e+00	  1.4998e-01	  8.2576e-02	
  7.0525e+00	  8.9398e-03	  5.2740e-04	  1.2915e-02	  2.8146e-03	  1.4358e-06	  2.7197e-02	  2.3978e-03	  6.3949e-04	  1.7558e-03	  7.9074e+03	  0.0000e+00	  1.4998e-01	  8.2455e-02	
  7.0476e+00	  8.9921e-03	  5.2915e-04	  1.2998e-02	  2.8329e-03	  1.4547e-06	  2.7413e-02	  2.4195e-03	  6.4119e-04	  1.7713e-03	  7.9592e+03	  0.0000e+00	  1.4998e-01	  8.2335e-02	
  7.0429e+00	  9.0427e-03	  5.3083e-04	  1.3078e-02	  2.8505e-03	  1.4730e-06	  2.7621e-02	  2.4405e-03	  6.4283e-04	  1.7864e-03	  8.0090e+03	  0.0000e+00	  1.4998e-01	  8.2217e-02	
  7.0383e+00	  9.0915e-03	  5.3246e-04	  1.3156e-02	  2.8675e-03	  1.4908e-06	  2.7822e-02	  2.4608e-03	  6.4440e-04	  1.8010e-03	  8.0572e+03	  0.0000e+00	  1.4998e-01	  8.2101e-02	
  7.0340e+00	  9.1387e-03	  5.3402e-04	  1.3231e-02	  2.8839e-03	  1.5082e-06	  2.8015e-02	  2.4803e-03	  6.4592e-04	  1.8152e-03	  8.1036e+03	  0.0000e+00	  1.4998e-01	  8.1987e-02	
  7.0298e+00	  9.1843e-03	  5.3553e-04	  1.3303e-02	  2.8998e-03	  1.5250e-06	  2.8202e-02	  2.4991e-03	  6.4738e-04	  1.8289e-03	  8.1483e+03	  0.0000e+00	  1.4998e-01	  8.1875e-02	
  7.0258e+00	  9.2284e-03	  5.3699e-04	  1.3373e-02	  2.9151e-03	  1.5414e-06	  2.8383e-02	  2.5173e-03	  6.4878e-04	  1.8422e-03	  8.1915e+03	  0.0000e+00	  1.4998e-01	  8.1764e-02	
  7.0219e+00	  9.2710e-03	  5.3839e-04	  1.3441e-02	  2.9299e-03	  1.5573e-06	  2.8557e-02	  2.5349e-03	  6.5013e-04	  1.8550e-03	  8.2332e+03	  0.0000e+00	  1.4998e-01	  8.1656e-02	
  7.0182e+00	  9.3121e-03	  5.3974e-04	  1.3506e-02	  2.9442e-03	  1.5728e-06	  2.8725e-02	  2.5518e-03	  6.5143e-04	  1.8675e-03	  8.2734e+03	  0.0000e+00	  1.4998e-01	  8.1551e-02	
  7.0147e+00	  9.3519e-03	  5.4104e-04	  1.3569e-02	  2.9580e-03	  1.5878e-06	  2.8888e-02	  2.5682e-03	  6.5269e-04	  1.8796e-03	  8.3122e+03	  0.0000e+00	  1.4998e-01	  8.1447e-02	
  7.0113e+00	  9.3903e-03	  5.4230e-04	  1.3629e-02	  2.9713e-03	  1.6024e-06	  2.9044e-02	  2.5840e-03	  6.5390e-04	  1.8913e-03	  8.3496e+03	  0.0000e+00	  1.4998e-01	  8.1346e-02	
  7.0080e+00	  9.4274e-03	  5.4351e-04	  1.3688e-02	  2.9841e-03	  1.6165e-06	  2.9196e-02	  2.5992e-03	  6.5506e-04	  1.9026e-03	  8.3857e+03	  0.0000e+00	  1.4998e-01	  8.1247e-02	
  7.0048e+00	  9.4633e-03	  5.4468e-04	  1.3744e-02	  2.9965e-03	  1.6303e-06	  2.9342e-02	  2.6139e-03	  6.5618e-04	  1.9135e-03	  8.4205e+03	  0.0000e+00	  1.4998e-01	  8.1150e-02	
