          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	       CaPO4	      Fe3PO4	     CaMgCO3	
  7.1884e+00	  1.3194e-02	  5.3736e-04	  1.8701e-03	  2.2270e-03	  7.7792e-05	  1.3938e-02	  8.3480e-04	  3.7512e-04	  1.1019e-03	  4.3635e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1885e+00	  1.3204e-02	  5.3772e-04	  1.8731e-03	  2.2305e-03	  7.7761e-05	  1.3950e-02	  8.3846e-04	  3.7537e-04	  1.1109e-03	  4.3684e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1886e+00	  1.3214e-02	  5.3808e-04	  1.8760e-03	  2.2340e-03	  7.7731e-05	  1.3962e-02	  8.4198e-04	  3.7561e-04	  1.1197e-03	  4.3732e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1887e+00	  1.3223e-02	  5.3842e-04	  1.8788e-03	  2.2373e-03	  7.7703e-05	  1.3973e-02	  8.4538e-04	  3.7584e-04	  1.1282e-03	  4.3779e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1888e+00	  1.3232e-02	  5.3875e-04	  1.8815e-03	  2.2405e-03	  7.7675e-05	  1.3984e-02	  8.4866e-04	  3.7607e-04	  1.1363e-03	  4.3823e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1890e+00	  1.3241e-02	  5.3906e-04	  1.8841e-03	  2.2436e-03	  7.7649e-05	  1.3995e-02	  8.5183e-04	  3.7629e-04	  1.1442e-03	  4.3866e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1891e+00	  1.3250e-02	  5.3937e-04	  1.8866e-03	  2.2466e-03	  7.7623e-05	  1.4005e-02	  8.5488e-04	  3.7650e-04	  1.1518e-03	  4.3908e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1892e+00	  1.3258e-02	  5.3967e-04	  1.8891e-03	  2.2495e-03	  7.7599e-05	  1.4015e-02	  8.5783e-04	  3.7670e-04	  1.1591e-03	  4.3948e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1892e+00	  1.3266e-02	  5.3995e-04	  1.8914e-03	  2.2523e-03	  7.7575e-05	  1.4024e-02	  8.6067e-04	  3.7689e-04	  1.1662e-03	  4.3987e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1893e+00	  1.3274e-02	  5.4023e-04	  1.8937e-03	  2.2550e-03	  7.7552e-05	  1.4033e-02	  8.6341e-04	  3.7708e-04	  1.1731e-03	  4.4024e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
